residual sugar,chlorides,quality
2.2,0.091,bad
2,0.083,bad
1.7,0.414,bad
2.6,0.094,bad
1.2,0.041,bad
1.8,0.058,bad
1.8,0.06,good
1.7,0.077,bad
1.7,0.077,bad
1.7,0.077,bad
1.7,0.077,bad
1.8,0.073,bad
2.1,0.083,bad
2.1,0.083,bad
3.8,0.107,bad
1.7,0.075,bad
2.2,0.079,bad
2,0.166,bad
2.4,0.069,bad
1.4,0.057,bad
1.4,0.057,bad
1.4,0.057,bad
1.7,0.084,bad
1.7,0.084,bad
1.7,0.084,bad
1.7,0.085,bad
1.7,0.084,bad
2.6,0.077,bad
2.3,0.063,bad
2.1,0.056,bad
1.8,0.078,bad
1.8,0.078,bad
2.8,0.081,bad
2,0.069,bad
2.3,0.065,bad
1.9,0.086,bad
1.9,0.086,bad
2.3,0.077,bad
1.8,0.086,bad
1.8,0.084,bad
2.5,0.078,bad
5.4,0.168,bad
1.4,0.091,bad
2.3,0.112,bad
2.5,0.093,bad
1.4,0.091,bad
2,0.08,bad
1.9,0.096,bad
2.2,0.115,bad
1.7,0.094,bad
2.2,0.088,bad
2.1,0.079,bad
1.6,0.069,bad
1.7,0.415,bad
3.1,0.153,bad
1.7,0.415,bad
3.8,0.11,bad
1.2,0.267,bad
2,0.083,bad
1.4,0.086,bad
2.3,0.09,bad
2,0.078,bad
2.6,0.077,bad
2.6,0.077,bad
1.8,0.074,bad
2.1,0.08,bad
2.1,0.08,bad
1.8,0.107,bad
3.4,0.076,bad
1.8,0.1,bad
1.8,0.1,bad
6.1,0.083,bad
2.2,0.08,bad
2.3,0.068,bad
2.4,0.094,bad
1.3,0.07,bad
2,0.078,bad
3.9,0.07,bad
1.6,0.092,bad
1.6,0.09,bad
2,0.08,bad
2.2,0.083,good
2.2,0.068,bad
2.1,0.08,bad
2.1,0.08,bad
2,0.052,bad
1.7,0.061,good
2.6,0.082,bad
2,0.062,good
5.1,0.062,bad
2.1,0.064,bad
2.2,0.048,good
2.1,0.064,bad
1.8,0.082,bad
2.4,0.071,bad
5.1,0.062,bad
2,0.104,bad
2.2,0.077,bad
1.6,0.065,bad
2.2,0.077,bad
2.5,0.064,good
1.6,0.077,bad
2.2,0.077,bad
1.6,0.077,bad
1.6,0.079,bad
2.1,0.079,bad
3.9,0.123,bad
1.4,0.076,bad
1.4,0.076,bad
1.8,0.046,bad
2.5,0.078,bad
1.9,0.072,bad
2.2,0.049,bad
1.8,0.066,bad
2.1,0.069,bad
1.6,0.042,bad
1.8,0.069,good
15.4,0.214,bad
15.4,0.214,bad
1.6,0.169,bad
4.8,0.07,bad
1.7,0.052,bad
2.2,0.072,bad
2,0.062,good
5.2,0.094,bad
1.9,0.078,bad
1.75,0.058,bad
2.2,0.072,bad
5.2,0.094,bad
1.9,0.078,bad
1.9,0.08,bad
1.9,0.08,bad
2,0.056,good
2,0.062,good
2.7,0.104,good
2,0.062,good
1.9,0.074,bad
2.2,0.073,bad
1.6,0.052,bad
1.8,0.05,bad
1.9,0.074,bad
1.7,0.067,bad
1.7,0.054,good
2.3,0.054,bad
2.1,0.06,bad
2.3,0.075,bad
2.4,0.076,bad
1.7,0.063,bad
1.7,0.063,bad
2.1,0.062,good
2.3,0.067,bad
2.1,0.062,good
2.1,0.061,bad
1.4,0.084,bad
3.75,0.067,bad
2.6,0.073,bad
1.8,0.071,bad
13.8,0.205,bad
2.2,0.048,good
13.8,0.205,bad
2.2,0.048,good
5.7,0.082,bad
3,0.104,bad
1.5,0.08,bad
3,0.104,bad
2.1,0.114,bad
1.5,0.042,bad
2,0.06,bad
2.1,0.074,bad
2.1,0.07,bad
1.9,0.066,bad
1.7,0.049,bad
2.1,0.048,bad
1.8,0.039,bad
1.7,0.049,bad
1.6,0.05,bad
1.9,0.089,bad
1.4,0.066,good
1.9,0.08,bad
1.9,0.089,bad
2.3,0.054,bad
2.3,0.068,bad
2.3,0.054,bad
1.5,0.076,bad
4.3,0.083,bad
2.4,0.078,bad
2.5,0.077,bad
2.3,0.106,bad
1.8,0.078,bad
2,0.07,bad
2.3,0.106,bad
2.1,0.074,bad
1.8,0.062,bad
2.2,0.047,bad
2.1,0.068,bad
2.2,0.061,bad
1.8,0.078,bad
4.1,0.074,bad
4.1,0.074,bad
2.3,0.071,bad
2,0.063,bad
2.2,0.114,bad
2.6,0.106,bad
2,0.063,bad
1.9,0.082,bad
2.3,0.071,bad
2,0.076,bad
2,0.075,bad
2.1,0.064,bad
2.2,0.064,bad
1.7,0.071,bad
2.2,0.096,bad
2.1,0.063,bad
2.2,0.063,bad
2.8,0.081,bad
2,0.058,bad
1.9,0.074,bad
2.4,0.064,good
2.2,0.075,bad
1.9,0.077,bad
1.9,0.059,bad
2.5,0.081,bad
1.8,0.065,bad
4.4,0.071,bad
2.2,0.054,good
1.9,0.064,bad
2.2,0.064,bad
2.3,0.063,good
1.8,0.059,bad
2,0.072,bad
1.6,0.048,bad
2,0.099,bad
1.8,0.074,good
2.3,0.087,bad
2.3,0.083,bad
3.7,0.103,bad
2.2,0.08,bad
2.4,0.062,bad
1.7,0.065,good
2.2,0.066,bad
2.4,0.062,bad
6.7,0.235,bad
2,0.08,bad
2,0.08,bad
2,0.08,bad
2,0.076,bad
2,0.076,bad
2,0.076,bad
1.9,0.061,bad
2.1,0.059,bad
2,0.076,bad
1.6,0.077,bad
1.9,0.056,bad
2.2,0.23,bad
2.2,0.038,bad
2.2,0.069,bad
2.4,0.075,bad
13.9,0.074,bad
2.2,0.06,bad
1.6,0.081,bad
5.1,0.076,bad
1.8,0.118,bad
1.7,0.053,bad
2.4,0.068,bad
1.7,0.053,bad
2.6,0.053,bad
2.1,0.074,bad
2.4,0.061,good
2.6,0.066,bad
2.4,0.065,bad
1.8,0.066,bad
2.5,0.068,bad
7.8,0.073,bad
1.8,0.077,bad
1.7,0.089,bad
2.3,0.076,bad
1.9,0.068,bad
2,0.09,bad
2.2,0.062,bad
2.3,0.076,bad
2,0.075,bad
3.6,0.067,bad
20.7,0.045,bad
1.6,0.049,bad
6.9,0.05,bad
8.5,0.058,bad
8.5,0.058,bad
6.9,0.05,bad
7,0.045,bad
20.7,0.045,bad
1.6,0.049,bad
1.5,0.044,bad
1.45,0.033,bad
4.2,0.035,bad
1.2,0.04,bad
1.5,0.044,good
19.25,0.04,bad
1.5,0.032,good
1.1,0.046,bad
1.2,0.029,good
1.1,0.033,bad
7.5,0.044,bad
1.2,0.029,good
2.9,0.038,good
1.7,0.049,good
1.5,0.074,bad
1.3,0.052,bad
9,0.046,bad
1,0.052,bad
8.7,0.051,bad
1.1,0.047,bad
2,0.033,good
10.4,0.044,bad
1.1,0.042,bad
2.05,0.05,bad
1.5,0.045,bad
14.95,0.044,bad
1.7,0.08,bad
5.4,0.051,bad
1.2,0.053,bad
17.95,0.057,bad
17.95,0.057,bad
2.5,0.172,bad
2.9,0.173,bad
7.4,0.069,bad
1.4,0.057,bad
1.4,0.06,bad
1.4,0.058,good
4.4,0.063,bad
4.4,0.066,bad
7.4,0.069,bad
5,0.067,bad
1.6,0.062,bad
1.1,0.068,good
1.1,0.057,good
1,0.045,bad
0.9,0.147,bad
1.3,0.039,bad
11.9,0.043,bad
12.4,0.048,bad
4.6,0.044,bad
1.2,0.038,bad
4.9,0.092,bad
12.4,0.048,bad
1.1,0.035,bad
4.6,0.044,bad
1.4,0.038,bad
1.2,0.064,bad
6.4,0.04,good
1.2,0.041,bad
2.1,0.046,good
10.1,0.05,bad
7.8,0.056,bad
4.6,0.061,bad
4.8,0.063,bad
1,0.054,bad
2.1,0.046,good
10.1,0.05,bad
1.4,0.043,good
1.3,0.042,good
8.8,0.064,bad
5.4,0.06,bad
1.4,0.053,bad
16,0.05,bad
6.1,0.063,bad
8.2,0.047,bad
11.8,0.045,bad
11.8,0.044,bad
11,0.044,bad
13.3,0.05,bad
11.8,0.045,bad
11.8,0.044,bad
11,0.044,bad
7.5,0.049,bad
1.7,0.035,good
1.8,0.034,good
1.7,0.04,good
12.4,0.044,bad
15.9,0.046,bad
1.2,0.034,good
10.5,0.038,bad
15.9,0.046,bad
13.5,0.06,bad
9.6,0.054,bad
12.1,0.05,bad
18.9,0.059,bad
13.5,0.06,bad
14.4,0.051,bad
9.6,0.054,bad
16.5,0.04,bad
16.5,0.04,bad
1.3,0.051,bad
8.5,0.082,bad
18.75,0.052,bad
13.3,0.056,bad
9.2,0.049,bad
9.2,0.049,bad
1.5,0.065,bad
3.3,0.041,bad
1.7,0.035,bad
13.3,0.056,bad
13.3,0.06,bad
5.7,0.046,bad
12.2,0.054,bad
6.85,0.059,bad
5,0.058,bad
1.6,0.092,bad
1.1,0.026,bad
7,0.033,bad
7.6,0.038,good
2.8,0.044,good
2.7,0.046,bad
10.4,0.02,bad
7.6,0.038,good
13.1,0.038,bad
15.8,0.035,bad
8.1,0.034,bad
15.7,0.036,bad
1.2,0.027,bad
10.5,0.045,bad
1.9,0.035,good
1.9,0.029,bad
2.2,0.045,bad
10.5,0.045,bad
1.2,0.039,bad
4.3,0.036,bad
2,0.037,bad
1.1,0.04,bad
1.4,0.044,bad
5.2,0.058,bad
4.6,0.034,good
4.1,0.054,bad
8,0.043,good
10.2,0.055,bad
4.1,0.054,bad
1.2,0.048,bad
7.5,0.049,bad
14,0.066,bad
14,0.066,bad
1.5,0.036,good
1.4,0.036,good
1.4,0.036,good
1.5,0.036,good
14.5,0.055,bad
4.8,0.049,bad
14,0.066,bad
13.1,0.05,bad
13,0.051,bad
8.7,0.048,bad
2.4,0.034,good
8.95,0.055,bad
9.85,0.034,bad
1.5,0.066,bad
1.5,0.045,bad
0.8,0.037,bad
4.55,0.038,good
17.7,0.051,bad
7.5,0.04,bad
5.1,0.044,bad
12.9,0.054,bad
1.2,0.06,bad
5.5,0.049,bad
5.5,0.048,bad
1.2,0.053,bad
22,0.048,bad
14,0.05,bad
11.9,0.043,bad
11.9,0.043,bad
9.4,0.04,bad
4.2,0.038,bad
3.8,0.034,good
8.5,0.047,bad
8.5,0.052,bad
22,0.048,bad
8,0.045,bad
5.1,0.055,bad
3.6,0.2,bad
3.5,0.197,bad
3.6,0.197,bad
7.8,0.052,bad
13.1,0.05,bad
7.8,0.052,bad
16.1,0.049,bad
13.1,0.05,bad
13.2,0.05,bad
13.9,0.034,bad
2.3,0.053,bad
11.6,0.042,bad
8.3,0.045,bad
6.2,0.049,bad
2.2,0.04,bad
0.9,0.048,bad
9.7,0.032,bad
1.4,0.038,good
8.3,0.045,bad
5.3,0.051,bad
1.4,0.03,good
9.2,0.044,bad
7,0.036,bad
9.2,0.044,bad
17.5,0.044,bad
7,0.036,bad
7,0.036,bad
9.5,0.07,bad
1.4,0.03,good
0.8,0.043,bad
1.8,0.046,bad
17.8,0.046,bad
2.4,0.048,bad
10.3,0.041,bad
2.4,0.048,bad
17.8,0.046,bad
9.7,0.062,bad
7.8,0.041,bad
7.8,0.039,bad
14.3,0.058,bad
14.3,0.058,bad
14.3,0.058,bad
14.3,0.058,bad
13.2,0.044,bad
1.4,0.037,good
15.55,0.039,bad
13.7,0.05,bad
7.8,0.031,bad
2.4,0.026,good
2.7,0.047,bad
11.2,0.043,bad
2,0.038,bad
2.1,0.03,good
1.4,0.031,good
1.4,0.03,good
10.4,0.037,bad
4.6,0.053,bad
16.2,0.074,bad
11.2,0.043,bad
3.5,0.029,bad
1.5,0.054,bad
1.1,0.04,good
5.7,0.035,good
5.7,0.035,good
1.8,0.032,bad
0.9,0.037,bad
5.4,0.048,bad
19.45,0.043,bad
8.2,0.036,bad
13.6,0.045,bad
1.2,0.038,bad
19.45,0.043,bad
8.3,0.053,bad
6.9,0.043,bad
7.1,0.044,bad
7,0.045,bad
8.3,0.053,bad
7,0.044,bad
13.1,0.051,bad
5.1,0.057,bad
10.7,0.046,bad
8.9,0.046,bad
9.1,0.044,bad
1.1,0.042,bad
1.2,0.044,bad
4.7,0.036,good
2.8,0.034,good
5,0.039,good
5.1,0.047,bad
15.6,0.054,bad
15.4,0.055,bad
7.2,0.056,bad
15.7,0.053,bad
14.2,0.058,good
14.2,0.058,good
14.2,0.058,good
14.2,0.058,good
5.8,0.041,bad
19.8,0.066,bad
7.3,0.041,good
1.6,0.066,bad
1.2,0.046,bad
10.6,0.045,bad
3.8,0.041,good
11.3,0.046,bad
2.1,0.043,bad
1.6,0.063,bad
0.9,0.05,bad
1.6,0.063,bad
1.3,0.055,bad
6.8,0.057,bad
6.8,0.057,bad
6.7,0.058,bad
6.7,0.058,bad
4.9,0.036,good
4.8,0.037,bad
2.1,0.035,good
8.3,0.032,good
3.7,0.042,bad
6.7,0.038,bad
6.6,0.04,bad
1.1,0.132,bad
4.7,0.031,bad
7.7,0.031,bad
7.85,0.03,good
3.3,0.04,bad
1.1,0.041,good
7.7,0.031,bad
4.7,0.031,bad
9.3,0.031,bad
2,0.046,bad
5.8,0.057,bad
15.15,0.04,bad
6.3,0.039,bad
15.4,0.042,bad
1.3,0.036,bad
4.8,0.03,good
4.6,0.032,bad
1.8,0.033,bad
9.9,0.038,bad
5.7,0.031,bad
1.8,0.033,bad
1.5,0.036,bad
12.3,0.045,bad
1.3,0.047,bad
1.5,0.049,good
7.8,0.045,good
1.5,0.047,bad
9.7,0.044,bad
3,0.053,bad
3,0.052,bad
4.6,0.05,bad
1.3,0.031,good
15.6,0.056,bad
13.6,0.052,bad
11.2,0.054,bad
2.1,0.044,good
6.85,0.038,good
2.5,0.071,bad
6.85,0.038,good
4.4,0.047,bad
14.3,0.063,bad
14.3,0.063,bad
1.1,0.05,bad
1.4,0.05,bad
4.7,0.04,bad
14.9,0.047,bad
1.2,0.055,bad
5.3,0.05,bad
14.3,0.063,bad
2.3,0.037,good
3.5,0.028,good
1.5,0.089,bad
1,0.053,bad
2.3,0.049,bad
12.5,0.044,bad
1,0.053,bad
2.3,0.049,bad
0.8,0.048,bad
2.4,0.048,bad
1.6,0.027,good
1.6,0.027,good
1.5,0.037,good
1.4,0.045,good
2.6,0.049,bad
1.5,0.037,good
1.4,0.045,good
12.5,0.046,bad
9.6,0.051,bad
2.4,0.048,bad
3.2,0.027,good
1.6,0.027,good
1.5,0.026,good
5.9,0.04,bad
5.4,0.047,bad
14.9,0.032,good
14.9,0.032,good
1.1,0.031,bad
9.8,0.031,bad
2,0.021,bad
11.8,0.044,bad
1.3,0.04,bad
1.8,0.031,bad
1.5,0.037,bad
18.2,0.048,bad
2.9,0.032,bad
1.5,0.037,bad
11.8,0.044,bad
1.4,0.069,bad
18.2,0.046,bad
6.3,0.035,bad
1.3,0.04,bad
4,0.031,good
1.2,0.049,bad
1.2,0.044,bad
1.8,0.031,bad
18.95,0.038,bad
12.7,0.04,bad
1.2,0.036,bad
1.2,0.036,bad
18.95,0.038,bad
12.7,0.04,bad
1.2,0.041,bad
7.7,0.047,bad
1.2,0.041,bad
1.6,0.05,bad
2.7,0.03,good
8.7,0.045,bad
8.6,0.045,bad
8.6,0.045,bad
8.3,0.047,good
8.7,0.045,bad
8.6,0.045,bad
13.3,0.053,bad
1.2,0.051,bad
13.6,0.056,bad
13.3,0.053,bad
1.1,0.048,bad
2.3,0.045,good
1.5,0.108,bad
7.1,0.028,good
6.2,0.027,good
2.5,0.042,bad
1.4,0.035,good
2.3,0.045,good
1.2,0.06,bad
1.6,0.028,good
6.6,0.033,bad
2.2,0.026,good
12.2,0.048,bad
20.8,0.031,bad
11,0.038,bad
2.6,0.054,bad
14,0.048,bad
14,0.048,bad
1.6,0.052,good
9.9,0.07,bad
1.2,0.038,bad
2.7,0.042,good
1.6,0.046,good
1.6,0.052,good
14,0.048,bad
1.5,0.022,good
8.6,0.056,bad
1,0.053,bad
9.1,0.059,bad
8.6,0.056,bad
15.2,0.047,bad
12.4,0.047,bad
2.2,0.044,bad
11,0.047,bad
10,0.081,bad
9,0.039,bad
2.2,0.044,bad
11,0.047,bad
18.15,0.047,bad
12.15,0.039,bad
3.4,0.036,bad
2,0.023,bad
4.8,0.034,good
4.5,0.03,bad
11,0.029,bad
1.1,0.028,good
1.5,0.037,bad
1.7,0.073,bad
1.7,0.041,bad
8.9,0.043,bad
1.3,0.047,bad
13.3,0.044,bad
8.9,0.043,bad
6.6,0.346,bad
1.5,0.028,bad
1.5,0.025,bad
1.3,0.035,bad
1.6,0.045,bad
7.6,0.047,bad
1,0.035,bad
1.6,0.032,good
8.9,0.039,bad
1.8,0.022,bad
4.7,0.04,bad
7,0.025,bad
10.8,0.041,bad
1.6,0.026,bad
1,0.04,bad
10.8,0.041,bad
16.7,0.045,bad
14.2,0.038,bad
2.25,0.038,bad
2.25,0.037,bad
12.2,0.053,bad
12.2,0.053,bad
3.3,0.09,bad
1.9,0.048,good
3.5,0.039,bad
1.9,0.048,good
1.3,0.041,bad
1.8,0.042,bad
5.2,0.04,bad
1.4,0.025,bad
9,0.036,good
2.2,0.051,bad
1.6,0.055,bad
1.7,0.045,bad
1.9,0.05,bad
12.6,0.048,bad
2.1,0.039,bad
2.1,0.039,bad
1.3,0.038,bad
1.7,0.033,bad
1,0.038,bad
3.3,0.114,bad
5,0.04,bad
1.8,0.034,bad
1.6,0.031,bad
4.5,0.03,bad
4.9,0.048,bad
4,0.186,bad
13.2,0.067,bad
13.2,0.067,bad
13.2,0.067,bad
15.3,0.047,bad
15.3,0.047,bad
13.2,0.067,bad
1.5,0.045,bad
4.55,0.053,bad
9.9,0.04,bad
10.4,0.05,bad
1.1,0.045,bad
8.7,0.036,bad
13.9,0.047,bad
1.4,0.04,bad
7.2,0.039,bad
1.9,0.052,bad
1.7,0.044,good
10.4,0.05,bad
13.6,0.05,good
1.2,0.026,good
1.6,0.028,good
13.6,0.05,good
1.6,0.028,good
1.2,0.026,good
12.2,0.046,bad
1.6,0.049,bad
12.1,0.044,bad
4.2,0.047,bad
9.1,0.049,good
1.6,0.057,bad
8.8,0.063,bad
1.4,0.046,good
4.2,0.066,bad
10.3,0.059,bad
12.4,0.051,bad
2.2,0.048,bad
2.2,0.05,bad
5.2,0.04,bad
10.8,0.051,bad
2.7,0.038,good
16.3,0.047,bad
2.7,0.032,good
1.9,0.035,good
1.8,0.047,bad
1.8,0.047,bad
2.8,0.033,good
2.7,0.038,good
6,0.034,good
10.8,0.051,bad
4.2,0.042,bad
6.4,0.056,bad
10.7,0.042,bad
1.6,0.046,good
10.7,0.042,bad
7.9,0.049,bad
1.7,0.034,good
2.1,0.036,good
5.8,0.04,bad
14.5,0.059,bad
1.2,0.037,bad
10.1,0.043,bad
1.1,0.03,bad
1,0.03,bad
0.9,0.051,good
10.1,0.043,bad
4.9,0.034,bad
11.4,0.036,good
1.4,0.036,good
1.4,0.18,bad
1.4,0.045,bad
1.1,0.03,bad
1,0.03,bad
1.5,0.052,bad
1.5,0.052,bad
7.5,0.049,bad
7.5,0.049,bad
17.75,0.044,bad
5.7,0.061,bad
3.2,0.037,good
4.3,0.032,bad
11,0.047,bad
10.9,0.045,bad
10.9,0.045,bad
11,0.047,bad
2.4,0.037,good
1.9,0.051,bad
1.8,0.051,bad
1.4,0.057,bad
16.8,0.084,bad
8.9,0.083,bad
6.6,0.043,bad
1.1,0.045,bad
1.4,0.066,bad
13.3,0.039,good
10.4,0.096,bad
6.2,0.048,bad
6.2,0.048,bad
1.2,0.036,bad
18.05,0.05,bad
18.05,0.05,bad
4.8,0.04,bad
12.6,0.045,bad
4.5,0.033,bad
4.5,0.027,bad
4.7,0.037,good
11.9,0.053,bad
5,0.046,bad
5.8,0.046,bad
1.2,0.047,good
12.9,0.054,bad
13.9,0.046,bad
11.5,0.05,bad
11.4,0.051,bad
7.8,0.058,bad
1.1,0.061,bad
12.2,0.05,bad
5.9,0.041,bad
14.4,0.067,good
14.4,0.067,good
14.4,0.067,good
14.4,0.067,good
12.3,0.053,bad
2.5,0.048,good
5.3,0.03,bad
4.9,0.028,bad
3.2,0.05,bad
3.1,0.052,bad
1.4,0.038,bad
1.9,0.049,bad
14,0.032,good
8.3,0.094,bad
1.9,0.049,bad
7.4,0.052,bad
1.4,0.056,bad
1.7,0.036,bad
7.4,0.052,bad
1.3,0.047,bad
11.6,0.047,bad
9.2,0.058,bad
1.7,0.038,bad
14.5,0.039,good
2.1,0.038,bad
10.7,0.047,bad
6.9,0.056,bad
12,0.057,bad
4.75,0.033,good
4.75,0.033,good
4.75,0.033,good
1.4,0.043,bad
1.3,0.058,bad
11.3,0.052,bad
4.5,0.24,bad
1.7,0.052,bad
13.2,0.051,bad
5.5,0.043,good
13,0.29,bad
10.7,0.044,bad
2,0.039,good
1.9,0.043,bad
6.4,0.037,bad
6.3,0.036,bad
6.3,0.036,bad
17.5,0.041,bad
14.7,0.047,bad
1,0.022,bad
14.8,0.039,bad
14.8,0.039,bad
14.2,0.042,bad
13.1,0.042,bad
2.4,0.03,good
1.2,0.042,bad
1.1,0.038,bad
3.6,0.037,bad
6.1,0.032,bad
6.3,0.041,bad
4.4,0.046,bad
13.9,0.05,bad
1,0.044,bad
12.1,0.046,bad
1.6,0.035,bad
1.6,0.035,bad
7.5,0.04,bad
2.7,0.038,bad
1.7,0.038,good
9.2,0.048,bad
18.75,0.042,bad
1.7,0.038,good
1.8,0.042,good
9,0.053,bad
1.5,0.046,bad
1.6,0.032,bad
1.3,0.02,good
1.8,0.028,good
1.2,0.041,bad
2.8,0.038,good
8,0.057,bad
5.3,0.043,bad
0.8,0.185,bad
13.8,0.042,bad
10,0.044,bad
6,0.022,good
14.4,0.052,bad
9.8,0.04,bad
5.5,0.038,bad
14.4,0.052,bad
9.8,0.04,bad
3.8,0.021,good
5.5,0.038,bad
4.6,0.022,bad
1.5,0.031,bad
2,0.03,bad
12.5,0.034,bad
7.5,0.041,bad
2.1,0.022,bad
8.5,0.033,bad
7.6,0.024,bad
8.1,0.049,bad
7.35,0.025,bad
7.6,0.024,bad
10,0.036,bad
14,0.038,bad
8.5,0.033,bad
2.2,0.11,bad
1.8,0.032,good
11.1,0.056,bad
15.2,0.051,bad
1.2,0.051,good
1.2,0.047,good
8.1,0.049,bad
8.1,0.05,bad
19.3,0.057,bad
18.6,0.039,bad
5,0.042,bad
1.6,0.05,bad
13.4,0.078,bad
1.6,0.028,bad
8.8,0.043,good
8.8,0.043,good
5.2,0.045,good
1.1,0.13,good
1.1,0.135,good
16.7,0.039,bad
10.6,0.035,good
2.2,0.115,bad
1.5,0.039,bad
13.7,0.052,bad
15,0.053,good
14.1,0.053,good
1.4,0.042,bad
9.5,0.056,bad
15,0.053,good
14.1,0.053,good
13.7,0.052,bad
10.6,0.039,bad
11,0.04,bad
11,0.04,bad
7,0.037,good
10.6,0.039,bad
11,0.04,bad
2,0.033,good
4.9,0.046,bad
2,0.033,good
1.4,0.049,bad
7.3,0.05,bad
8.8,0.054,bad
12.5,0.046,bad
4.8,0.041,bad
1.4,0.036,good
11.2,0.036,bad
6.8,0.048,bad
11.6,0.044,bad
11.4,0.039,good
6.6,0.032,bad
11.2,0.036,bad
13.2,0.046,bad
13.1,0.046,bad
12,0.046,bad
13.4,0.046,bad
6.8,0.048,bad
1.5,0.063,bad
1.1,0.055,good
16.5,0.045,bad
15.6,0.072,bad
2.8,0.04,bad
5.1,0.036,bad
8.9,0.034,bad
2.8,0.04,bad
8.9,0.034,bad
1.6,0.021,good
10.2,0.071,bad
5.4,0.053,bad
6.2,0.047,bad
5.1,0.036,bad
7.2,0.042,bad
8.1,0.046,bad
2,0.031,good
10.7,0.044,good
1.2,0.043,good
1.7,0.06,bad
5.5,0.037,bad
2.7,0.044,good
1.3,0.035,bad
1.7,0.06,bad
4.3,0.04,good
2.1,0.034,good
2.1,0.034,good
2.1,0.034,good
6,0.034,good
6.3,0.036,good
13.4,0.044,good
13.4,0.044,good
1.7,0.036,good
1.6,0.034,good
1.6,0.034,good
15.4,0.035,bad
1.2,0.026,bad
13.4,0.044,good
1.8,0.03,bad
1.7,0.036,good
13.6,0.042,bad
1.3,0.036,good
11.1,0.039,bad
1.3,0.036,good
2.1,0.038,good
13.6,0.042,bad
13.7,0.042,bad
10.2,0.038,good
4.8,0.17,bad
1.7,0.03,good
14.2,0.041,good
6.5,0.028,bad
1.7,0.029,bad
6.5,0.028,bad
2.2,0.021,bad
1.3,0.036,good
12.6,0.042,good
14.4,0.04,good
1.2,0.037,bad
9.7,0.08,bad
11.1,0.039,bad
4,0.03,bad
1.4,0.037,bad
1.3,0.029,bad
2.2,0.037,good
4.2,0.018,good
1.6,0.119,bad
1.4,0.126,bad
2.2,0.037,good
2.2,0.037,good
1.9,0.04,bad
6,0.022,bad
6,0.022,bad
12.2,0.035,bad
2.6,0.024,good
1.6,0.04,bad
2,0.044,good
1.6,0.04,bad
2,0.044,good
6.4,0.046,bad
1.2,0.031,good
1,0.036,bad
1.4,0.037,good
1.2,0.031,good
1.1,0.043,bad
8.7,0.047,bad
1.6,0.044,bad
1.4,0.039,bad
8.5,0.047,bad
7.9,0.052,good
13.2,0.046,bad
12.8,0.048,bad
7.7,0.047,bad
2.4,0.056,good
1.6,0.047,bad
1.3,0.048,bad
2.1,0.036,good
9.6,0.054,bad
13,0.049,bad
5.8,0.04,bad
5.6,0.042,bad
5.8,0.041,bad
0.8,0.038,bad
1.2,0.05,bad
0.8,0.038,bad
4.7,0.042,good
1.6,0.037,bad
1.4,0.031,bad
1.1,0.04,good
4.6,0.057,good
10.6,0.036,bad
10.6,0.036,bad
12.9,0.044,bad
2,0.044,good
2.9,0.047,bad
2.8,0.042,bad
2.9,0.057,good
12,0.055,bad
15,0.044,bad
5.9,0.017,good
12.6,0.033,bad
12.5,0.046,bad
7.4,0.037,bad
13,0.039,bad
6.7,0.041,bad
1.4,0.048,bad
15,0.044,bad
7.3,0.044,bad
15.3,0.044,good
7.5,0.034,bad
11.75,0.037,bad
1.6,0.039,good
3.5,0.03,good
8,0.051,good
5,0.058,good
18.2,0.047,bad
1.6,0.039,bad
3.2,0.048,bad
6.4,0.034,bad
1.9,0.043,bad
9.7,0.035,bad
1.4,0.028,bad
1.3,0.042,bad
9.7,0.035,bad
1.9,0.043,bad
1.8,0.042,bad
0.9,0.041,good
1.1,0.039,good
15.4,0.05,bad
15.4,0.05,bad
5,0.037,good
15.4,0.05,bad
4,0.023,bad
12.5,0.034,bad
3.2,0.035,bad
1.8,0.041,bad
17.5,0.039,bad
1.9,0.028,good
1.6,0.019,good
1.5,0.017,good
1.7,0.02,good
17.5,0.039,bad
1.9,0.028,good
1.8,0.046,bad
4.3,0.054,bad
4.9,0.058,bad
7.6,0.05,bad
6.7,0.037,good
1.6,0.15,bad
1.5,0.152,bad
6.7,0.037,good
1.7,0.027,bad
4.2,0.026,bad
1.6,0.043,bad
1.9,0.05,bad
5.3,0.054,bad
5.2,0.053,bad
1.6,0.043,bad
8.9,0.036,good
3.4,0.04,bad
1.3,0.046,bad
15.2,0.049,bad
1.3,0.046,bad
1.8,0.04,bad
1.6,0.046,bad
1.3,0.046,bad
9.8,0.062,bad
17.45,0.056,bad
2.1,0.046,good
1.8,0.05,good
6.8,0.045,bad
7.1,0.045,bad
1.3,0.063,good
3.3,0.038,bad
3.3,0.044,bad
3.3,0.038,bad
2.7,0.052,bad
1.2,0.059,good
1.3,0.055,bad
1.4,0.043,bad
1.7,0.048,good
1.7,0.057,bad
11.6,0.048,bad
12.6,0.064,bad
2.8,0.036,bad
11.2,0.071,bad
1.4,0.043,bad
1.4,0.045,bad
1.5,0.049,bad
1.5,0.041,good
1.5,0.041,good
7.05,0.019,good
10.6,0.06,bad
2.8,0.088,bad
1.6,0.039,bad
1.6,0.042,bad
8.2,0.04,bad
1.5,0.052,good
11,0.05,bad
2.1,0.054,bad
7.6,0.047,bad
6.8,0.055,bad
6.8,0.055,bad
10.6,0.244,bad
1.8,0.04,bad
1.5,0.06,bad
6,0.044,bad
