residual sugar,density,alcohol,quality
10,0.99655,9.5,bad
6,0.9934,11.1,good
14.4,0.998,9.1,bad
9.8,0.9971,9.2,bad
5.5,0.9948,9.6,bad
14.4,0.998,9.1,bad
9.8,0.9971,9.2,bad
3.8,0.99215,10.8,good
5.5,0.9948,9.6,bad
4.6,0.9915,12.6,bad
1.5,0.99115,11,bad
2,0.9932,10.2,bad
12.5,0.9977,9.4,bad
7.5,0.99535,10,bad
2.1,0.99165,12.2,bad
8.5,0.9953,10.5,bad
7.6,0.9928,11.5,bad
8.1,0.9958,9.8,bad
7.35,0.9928,11.4,bad
7.6,0.9928,11.5,bad
10,0.9964,10.2,bad
14,0.9987,9.4,bad
8.5,0.9953,10.5,bad
2.2,0.9932,9.1,bad
1.8,0.9907,12.2,good
11.1,0.99755,9.5,bad
15.2,0.99935,9.3,bad
1.2,0.9932,9.8,good
1.2,0.9932,9.8,good
8.1,0.9958,9.8,bad
8.1,0.99585,9.8,bad
19.3,1.00055,8.7,bad
18.6,0.9985,10.2,bad
5,0.99505,9.5,bad
1.6,0.992,11,bad
13.4,0.9988,9.2,bad
1.6,0.99175,10.9,bad
8.8,0.9962,9.3,good
8.8,0.9962,9.3,good
5.2,0.9942,9.8,good
1.1,0.9927,9.3,good
1.1,0.9927,9.3,good
16.7,0.99985,9.4,bad
10.6,0.997,10.4,good
2.2,0.9918,12.1,bad
1.5,0.99215,11,bad
13.7,0.99865,9,bad
15,0.9992,9.5,good
14.1,1.0006,8.8,good
1.4,0.99135,11.2,bad
9.5,0.99715,9.3,bad
15,0.9992,9.5,good
14.1,1.0006,8.8,good
13.7,0.99865,9,bad
10.6,0.99815,9.3,bad
11,0.99815,9.2,bad
11,0.99815,9.2,bad
7,0.9949,10,good
10.6,0.99815,9.3,bad
11,0.99815,9.2,bad
2,0.99225,10.9,good
4.9,0.99445,10,bad
2,0.99225,10.9,good
1.4,0.99335,9.3,bad
7.3,0.99625,9,bad
8.8,0.9971,9.2,bad
12.5,0.9983,9.6,bad
4.8,0.99445,9.4,bad
1.4,0.99085,11.1,good
11.2,0.9977,8.9,bad
6.8,0.9953,9.3,bad
11.6,0.99775,9.3,bad
11.4,0.99795,9.8,good
6.6,0.99505,9.8,bad
11.2,0.9977,8.9,bad
13.2,0.9975,9.6,bad
13.1,0.99745,9.6,bad
12,0.9976,9,bad
13.4,0.99775,9.5,bad
6.8,0.9953,9.3,bad
1.5,0.9932,9.2,bad
1.1,0.99405,9.1,good
16.5,1,9.5,bad
15.6,0.99785,10.5,bad
2.8,0.9939,9,bad
5.1,0.9939,11.7,bad
8.9,0.99675,9.1,bad
2.8,0.9939,9,bad
8.9,0.99675,9.1,bad
1.6,0.98965,12.4,good
10.2,0.9971,9.2,bad
5.4,0.99445,9.4,bad
6.2,0.9945,9.6,bad
5.1,0.9939,11.7,bad
7.2,0.9958,9.8,bad
8.1,0.9956,10.2,bad
2,0.99055,12.5,good
10.7,0.9959,10.9,good
1.2,0.9925,11,good
1.7,0.9963,10.5,bad
5.5,0.9935,11.5,bad
2.7,0.99105,12.8,good
1.3,0.99045,12.2,bad
1.7,0.9963,10.5,bad
4.3,0.99155,12.8,good
2.1,0.99085,11.9,good
2.1,0.99085,11.9,good
2.1,0.99085,11.9,good
6,0.9924,12,good
6.3,0.9924,12,good
13.4,0.99975,8.8,good
13.4,0.99975,8.8,good
1.7,0.99315,10.8,good
1.6,0.9917,11,good
1.6,0.9917,11,good
15.4,0.99845,9.3,bad
1.2,0.9921,10.8,bad
13.4,0.99975,8.8,good
1.8,0.9909,11.5,bad
1.7,0.99315,10.8,good
13.6,0.99855,9.4,bad
1.3,0.9934,9.5,good
11.1,0.9978,8.6,bad
1.3,0.9934,9.5,good
2.1,0.9949,10.3,good
13.6,0.99855,9.4,bad
13.7,0.9986,9.4,bad
10.2,0.99725,10,good
4.8,0.9946,9.4,bad
1.7,0.99255,10.4,good
14.2,0.9996,9.1,good
6.5,0.9939,9.9,bad
1.7,0.99,12.1,bad
6.5,0.9937,9.9,bad
2.2,0.9886,12.5,bad
1.3,0.9934,9.5,good
12.6,1,8.5,good
14.4,0.9994,9,good
1.2,0.9926,10.1,bad
9.7,0.9956,9.4,bad
11.1,0.9978,8.6,bad
4,0.9915,10.7,bad
1.4,0.9939,9.6,bad
1.3,0.9932,10.1,bad
2.2,0.993,10,good
4.2,0.9898,12.7,good
1.6,0.9921,10.2,bad
1.4,0.9932,8.9,bad
2.2,0.9919,11.9,good
2.2,0.993,10,good
1.9,0.9953,9.9,bad
6,0.9928,11.5,bad
6,0.9928,11.5,bad
12.2,0.9976,9.8,bad
2.6,0.9906,12.2,good
1.6,0.9918,11.4,bad
2,0.99185,11,good
1.6,0.9918,11.4,bad
2,0.99185,11,good
6.4,0.994,9.9,bad
1.2,0.9908,11,good
1,0.9928,9.4,bad
1.4,0.9896,12.2,good
1.2,0.9908,11,good
1.1,0.9918,10.3,bad
8.7,0.9952,10.5,bad
1.6,0.9923,10.5,bad
1.4,0.9915,10.9,bad
8.5,0.9952,10.5,bad
7.9,0.9947,11,good
13.2,0.9983,9.7,bad
12.8,0.9975,8.9,bad
7.7,0.995,9.6,bad
2.4,0.9944,8.8,good
1.6,0.994,11.1,bad
1.3,0.9944,10.3,bad
2.1,0.9908,12.2,good
9.6,0.99795,9.8,bad
13,0.9985,8.8,bad
5.8,0.99425,9.9,bad
5.6,0.99425,9.9,bad
5.8,0.9943,9.9,bad
0.8,0.9924,9.2,bad
1.2,0.9946,9.5,bad
0.8,0.9924,9.2,bad
4.7,0.995,10.3,good
1.6,0.9919,11,bad
1.4,0.99,11.9,bad
1.1,0.9923,10.2,good
4.6,0.9956,9.4,good
10.6,0.9978,8.9,bad
10.6,0.9978,8.9,bad
12.9,0.9967,10,bad
2,0.9934,10.7,good
2.9,0.9936,9.8,bad
2.8,0.9932,9.3,bad
2.9,0.9934,9.5,good
12,0.998,10,bad
15,0.9978,9,bad
5.9,0.9929,11.9,good
12.6,0.9974,8.9,bad
12.5,0.99685,10,bad
7.4,0.99495,9.6,bad
13,0.99745,8.9,bad
6.7,0.99505,8.9,bad
1.4,0.992,11.4,bad
15,0.9978,9,bad
7.3,0.9956,10,bad
15.3,0.9982,9.6,good
7.5,0.99485,9.7,bad
11.75,0.9971,9.5,bad
1.6,0.99265,10,good
3.5,0.9904,12.2,good
8,0.9965,8.7,good
5,0.9946,10.2,good
18.2,0.99965,9.6,bad
1.6,0.9935,10,bad
3.2,0.996,9.5,bad
6.4,0.9942,11.5,bad
1.9,0.9936,9.5,bad
9.7,0.9965,9.8,bad
1.4,0.9928,10.1,bad
1.3,0.9928,10,bad
9.7,0.9965,9.8,bad
1.9,0.9936,9.5,bad
1.8,0.9938,9.5,bad
0.9,0.9926,10.2,good
1.1,0.9926,10.2,good
15.4,0.9983,9,bad
15.4,0.9983,9,bad
5,0.992,12.3,good
15.4,0.9983,9,bad
4,0.9923,11.6,bad
12.5,0.9972,9.5,bad
3.2,0.9928,11.5,bad
1.8,0.9928,9.6,bad
17.5,0.9994,9,bad
1.9,0.991,12,good
1.6,0.9906,11.4,good
1.5,0.9894,12.3,good
1.7,0.9898,12.6,good
17.5,0.9994,9,bad
1.9,0.991,12,good
1.8,0.9925,11.7,bad
4.3,0.9956,9.2,bad
4.9,0.9946,10.3,bad
7.6,0.9966,8.6,bad
6.7,0.9951,10.7,good
1.6,0.9927,9.8,bad
1.5,0.9927,9.8,bad
6.7,0.9951,10.7,good
1.7,0.9894,12.5,bad
4.2,0.9907,11.9,bad
1.6,0.9925,10.8,bad
1.9,0.9928,10.5,bad
5.3,0.9941,10.3,bad
5.2,0.9941,10.3,bad
1.6,0.9925,10.8,bad
8.9,0.9935,12,good
3.4,0.9932,10.2,bad
1.3,0.9944,10.2,bad
15.2,0.9972,9.9,bad
1.3,0.994,10.1,bad
1.8,0.9956,9.5,bad
1.6,0.9927,10.5,bad
1.3,0.9924,10.4,bad
9.8,0.9966,9.5,bad
17.45,0.9997,9.2,bad
2.1,0.9936,10.1,good
1.8,0.9936,9.8,good
6.8,0.9952,9.4,bad
7.1,0.9952,9.4,bad
1.3,0.9928,10.4,good
3.3,0.9911,11.3,bad
3.3,0.993,10.8,bad
3.3,0.9911,11.3,bad
2.7,0.9932,9.3,bad
1.2,0.993,10.3,good
1.3,0.993,10.5,bad
1.4,0.9932,10.3,bad
1.7,0.9932,11.2,good
1.7,0.9943,10.3,bad
11.6,0.9968,9.5,bad
12.6,0.9994,8.9,bad
2.8,0.9926,10.2,bad
11.2,0.9968,9.2,bad
1.4,0.9932,10.3,bad
1.4,0.9916,10.5,bad
1.5,0.9946,9.5,bad
1.5,0.9925,11.4,good
1.5,0.9925,11.4,good
7.05,0.9935,11.1,good
10.6,0.9962,10.5,bad
2.8,0.9928,12,bad
1.6,0.993,9.7,bad
1.6,0.993,10.2,bad
8.2,0.9956,9.5,bad
1.5,0.9941,10.4,good
11,0.9972,9.3,bad
2.1,0.9948,10.5,bad
7.6,0.9955,10,bad
6.8,0.9972,10.2,bad
6.8,0.9972,10.2,bad
10.6,0.9983,9.1,bad
1.8,0.9942,10.2,bad
1.5,0.9936,10.7,bad
6,0.9956,9.7,bad
5.3,0.9953,9.3,good
1.4,0.9918,11,bad
2.1,0.995,10.8,bad
1,0.992,10.7,bad
5.2,0.9952,10.7,bad
19.45,1.001,8.8,bad
1.6,0.9924,10.9,good
2,0.9932,10.5,bad
1.3,0.9937,10,bad
1.7,0.9918,10.4,bad
1.1,0.9934,9.2,bad
4.7,0.991,12.6,bad
7.5,0.9962,9,bad
1.1,0.9932,9.2,bad
1.3,0.9908,11.3,bad
2.2,0.9962,10.3,bad
1.7,0.9918,10.4,bad
2.2,0.9941,10,bad
1.2,0.9931,10.7,bad
10,0.9981,9,bad
1.2,0.9931,10.7,bad
1.1,0.9944,8.7,bad
2,0.992,11.6,good
7.5,0.9966,9.4,bad
4,0.9956,9.5,bad
4.1,0.9956,9.5,bad
1.9,0.9949,10.9,bad
14.8,1.0002,9.7,bad
5.5,0.9942,9.1,bad
2.6,0.9923,11.1,good
6.35,0.9917,12.6,good
1.5,0.9931,11,bad
1.6,0.992,11.3,good
14.8,1.0002,9.7,bad
9.1,0.9953,10.9,good
8,0.9951,10.9,bad
12,0.9974,9.3,bad
3.2,0.9904,12.7,good
7.7,0.9974,10.1,bad
1.3,0.9944,10,bad
16.3,1.0004,9.8,bad
6.2,0.9952,10.1,bad
4.7,0.9956,9,good
5.8,0.995,9.4,bad
5.8,0.995,9.4,bad
16.95,0.9995,9.2,bad
5.1,0.9942,10.1,good
10.2,0.9977,8.6,bad
3.8,0.992,11.2,good
1.3,0.992,11.2,good
16.95,0.9995,9.2,bad
4,0.9934,10.6,good
17.1,1.0006,9.3,bad
14.5,0.9982,8.9,bad
1.2,0.9928,10.6,bad
6.7,0.9945,10.6,good
8.4,0.9963,8.8,bad
1.3,0.9906,11,good
8.8,0.9956,10.2,bad
5.1,0.9942,10.1,good
10.6,0.9962,10.1,bad
2.6,0.9894,14,good
5.8,0.995,9.4,bad
2.8,0.9908,11.8,bad
1.6,0.9914,11.4,bad
6.7,0.9938,10.7,bad
10.2,0.9977,8.6,bad
4.9,0.9922,11.5,good
3.8,0.992,11.2,good
2,0.9903,12.6,good
1.7,0.9893,12.6,good
2.4,0.9952,9.3,bad
2,0.9903,12.6,good
1.3,0.9912,12.1,bad
12,0.9983,9.9,bad
1.6,0.9937,10.7,bad
1.4,0.9932,10,bad
2.2,0.9928,10.4,good
1.4,0.9922,10.5,bad
8.3,0.9976,9.7,bad
1.4,0.9922,10.5,bad
12.9,0.9974,9,bad
12.4,0.998,9.2,bad
1.6,0.9931,10.1,bad
1.45,0.9911,11.4,good
1.6,0.9944,10.8,bad
1.5,0.9937,10.9,bad
13,0.9974,9.2,bad
1.95,0.989,12.9,good
5.85,0.992,12,good
1.3,0.9928,9.5,bad
5.3,0.9918,11.8,good
1.2,0.9936,9.1,bad
4,0.9944,9.7,bad
14.35,0.9988,9.1,bad
2.3,0.994,10,bad
4.7,0.9953,10.4,bad
12.85,0.9986,9.5,bad
5.2,0.9914,12.3,good
8.4,0.9934,11.7,good
3.2,0.996,9.5,bad
6.9,0.9937,11.5,bad
1,0.9921,10.6,bad
7.3,0.998,10.2,bad
3.2,0.996,9.5,bad
1.6,0.9933,10.5,bad
1.5,0.9933,10.5,bad
7.5,0.9959,8.9,bad
1.1,0.9936,10.6,bad
1.3,0.9953,9.5,bad
5.7,0.9938,10.8,bad
7.2,0.9952,9.5,bad
7.6,0.9959,8.9,bad
7.5,0.9959,8.9,bad
1.3,0.9937,9.4,bad
1.3,0.992,10.6,bad
4.8,0.9967,9,bad
2.1,0.9944,10.5,bad
16.85,0.9998,9,bad
16.85,0.9998,9,bad
4.1,0.9942,9.4,bad
16.85,0.9998,9,bad
1.3,0.9945,9.6,bad
16.85,0.9998,9,bad
7.4,0.9946,10.2,good
4.1,0.9942,9.4,bad
0.9,0.9928,10.4,bad
6.3,0.9946,10.4,bad
0.8,0.9927,9.5,bad
1.4,0.9938,10.6,bad
1,0.9918,11,bad
1.3,0.9945,9.6,bad
4.5,0.9966,9.9,bad
5.4,0.9954,9.6,bad
1.9,0.9913,12.8,bad
2,0.9931,11.4,bad
12.7,0.9986,10,bad
8.6,0.9965,9.1,bad
11.1,0.9984,9.4,good
2,0.9952,10.2,bad
2.8,0.9956,9.2,bad
4.5,0.9949,9.4,bad
5.4,0.9954,9.6,bad
9.1,0.996,10.1,bad
2,0.9931,11.4,bad
2.2,0.992,10.6,bad
4.1,0.9912,12.8,good
11.8,0.9978,8.9,bad
1.2,0.9938,9.3,bad
2.2,0.9914,11.1,good
1.4,0.9932,9.9,bad
1.6,0.9944,9.6,bad
1.9,0.9913,12.8,bad
5.2,0.9948,10.7,good
14.45,0.998,9.2,bad
14.75,0.9998,9.1,good
8.3,0.9964,9.6,bad
14.2,0.9992,9.2,bad
5.2,0.9948,10.7,good
14.75,0.9998,9.1,good
14.45,0.998,9.2,bad
6.9,0.9939,10.7,good
1.5,0.992,10.8,bad
1.5,0.9922,10.8,good
7.8,0.9955,9,bad
1.5,0.9917,10.7,bad
1.5,0.9917,10.7,bad
1.5,0.9954,9.4,bad
15.55,0.9986,8.8,bad
7.8,0.9955,9,bad
1.7,0.9917,11.5,bad
1.5,0.9907,12.5,bad
1,0.9922,10.5,bad
6.7,0.9958,9.7,bad
1.6,0.993,11.3,bad
1.5,0.9917,10.7,bad
1.2,0.9926,10.8,bad
7.1,0.9959,10.6,bad
1,0.9906,11.7,good
12.1,0.9993,9.2,bad
7.1,0.993,11.1,good
1,0.9906,11.7,good
1.15,0.992,11,bad
6,0.992,12.5,good
1.2,0.994,10,bad
7.1,0.9959,10.6,bad
2.3,0.9908,12.3,good
3.4,0.9902,12.7,bad
2.3,0.9908,12.3,good
6.5,0.9943,10.5,bad
1.2,0.9921,12.5,bad
1.15,0.9911,12.4,bad
13,0.9986,8.7,bad
4.5,0.992,12.4,good
5.85,0.992,12.6,good
5.2,0.9943,11,bad
1.3,0.9937,10.1,bad
1.7,0.993,10.5,bad
3.4,0.9902,12.7,bad
3.6,0.9928,10.9,bad
2.7,0.9896,13.5,good
2.2,0.998,9.7,bad
1.8,0.9954,9.2,bad
2.1,0.9938,10.6,good
6.6,0.9918,13.3,good
2.7,0.9896,13.5,good
5.1,0.9944,10.1,bad
17.55,0.9999,9.4,bad
5.2,0.9953,10.6,good
1.1,0.992,11.3,bad
1.1,0.9925,10.8,good
10.7,0.9981,10.4,bad
5.15,0.9952,10.5,good
1.1,0.9927,9.3,bad
1.1,0.9927,9.3,bad
1.8,0.9911,12.2,good
1,0.9936,9.2,bad
1.8,0.9959,10.3,bad
1.4,0.9946,9.4,bad
6.7,0.9948,10.2,bad
6.8,0.9955,9,bad
6.8,0.9951,9.3,bad
7.1,0.9952,9.2,bad
1.5,0.9946,9.4,bad
1.4,0.9946,9.4,bad
1.45,0.9944,9.5,bad
1.2,0.9938,9.9,bad
7.4,0.9963,11.1,good
4.2,0.991,12.3,good
14.6,1.0003,8.6,good
10.5,0.9966,9.4,bad
13.8,0.9993,9.4,bad
14.6,1.0003,8.6,good
1.1,0.9938,10.9,bad
5.3,0.9965,9.4,bad
1.1,0.9938,10.9,bad
13.8,0.9993,9.4,bad
1.5,0.9938,9.2,bad
14.6,1.0003,8.6,good
10.5,0.9966,9.4,bad
4.9,0.9942,10.8,bad
1.9,0.9928,10.5,bad
1.7,0.991,12.5,bad
1.8,0.9911,12.1,good
10.7,0.9977,8.7,bad
8.8,0.9927,12.7,good
1.8,0.9911,12.1,good
1.7,0.991,12.5,bad
1.8,0.9912,11.4,good
1.6,0.9907,12.9,good
1.4,0.9902,12.8,good
1.6,0.992,11.2,bad
1.5,0.994,9.7,bad
9.2,0.9966,9.7,bad
1.1,0.993,10.3,bad
4.3,0.993,11.6,bad
4.2,0.993,11.6,bad
9.2,0.9966,9.7,bad
5,0.9942,10.9,bad
6.8,0.9925,12.6,good
5.2,0.9925,12.4,bad
4.75,0.9928,11.5,bad
5.9,0.995,10.2,bad
7.7,0.9939,11.4,bad
6.4,0.9958,9.6,bad
8.1,0.9952,10.3,bad
17.35,1,9.3,bad
1.8,0.9948,10.7,good
1.8,0.99,12.8,good
1.5,0.9958,9.5,bad
1.6,0.9948,10.4,bad
1.6,0.9949,10.3,bad
13.5,0.997,9.9,bad
3.75,0.9927,10.7,bad
1.3,0.9938,10.5,bad
1.3,0.9949,9.6,bad
6.2,0.9953,9.3,bad
9.7,0.997,10,bad
2,0.9932,11.2,bad
1.4,0.9927,10.8,bad
1.1,0.9932,10.3,bad
6.6,0.9955,8.8,bad
1.5,0.9914,12.8,bad
4.6,0.991,13.2,bad
0.9,0.992,10.1,bad
1.7,0.9924,11,bad
1.3,0.9927,10.8,bad
2.3,0.9911,12.8,good
6.8,0.9958,9.2,bad
1.5,0.9928,10.5,bad
1.2,0.9902,11.7,bad
2.1,0.994,9.5,bad
2.2,0.994,9.5,bad
8.8,0.9972,8.8,bad
17,1.0004,9.3,good
1.8,0.991,12.6,good
1.2,0.9918,12.4,bad
2.3,0.995,10.1,bad
7,0.9941,11.2,good
6.4,0.9956,10,bad
6.4,0.9956,10,bad
12.15,0.9959,10.8,bad
0.8,0.9922,10,bad
2,0.9931,10.4,bad
12.15,0.9959,10.8,bad
12.4,0.9984,9.8,bad
1.9,0.9908,12.2,good
1.1,0.991,12.7,good
6.2,0.9928,12.2,good
6.3,0.9936,11.9,good
7,0.9941,11.2,good
0.9,0.9924,10.4,bad
3.9,0.9917,12.8,good
3.9,0.9906,12.7,good
2.3,0.995,10.1,bad
6.4,0.9956,10,bad
1.8,0.9955,9,bad
1.1,0.9907,11.4,bad
15.4,1,8.9,bad
6.5,0.9953,9.3,bad
2.4,0.9911,12,good
1.4,0.9922,10.8,good
5.7,0.9951,10.5,bad
5.7,0.9948,10.6,good
1.4,0.9906,11.3,good
1.4,0.994,9.5,bad
1.1,0.9907,11.4,bad
1.2,0.9927,10.1,good
0.9,0.9914,10.9,bad
3.8,0.9958,8.9,bad
15.4,1,8.9,bad
14.15,0.9984,9.3,bad
1.9,0.9941,10.4,bad
9.2,0.9944,12,good
8.2,0.998,9.5,bad
8.2,0.998,9.5,bad
2.7,0.9902,12.4,good
1.7,0.9911,11.2,good
1.7,0.9929,11.4,bad
1.7,0.993,11.4,bad
1.6,0.9918,11.1,good
0.9,0.992,10.4,bad
8.5,0.9932,12,good
5.7,0.992,12.3,good
3.1,0.994,9.1,bad
1.3,0.9923,10.5,bad
1.6,0.993,11.4,bad
1.3,0.9956,9.5,bad
4.5,0.9907,13.7,good
2.8,0.99,13.4,bad
1.2,0.9918,11.3,good
0.9,0.9926,10,bad
7.4,0.995,10.1,bad
1.4,0.99,12.2,bad
2.8,0.99,13.4,bad
4.6,0.9946,9.3,bad
4.5,0.9907,13.7,good
1.6,0.9898,12.3,good
1.2,0.9918,11.3,good
13.1,0.9986,8.9,good
13.1,0.9986,8.9,good
5.7,0.9928,11.5,bad
13.1,0.9986,8.9,good
12.6,0.9979,9.3,bad
5.4,0.994,11.1,good
2.2,0.9937,10.9,good
6.6,0.9938,11.6,bad
6.9,0.9942,10.2,bad
6.8,0.9944,10.5,good
3.6,0.993,11.4,bad
13.1,0.9986,8.9,good
1.2,0.9932,10.6,bad
5.9,0.9934,11.6,bad
5.7,0.9928,11.5,bad
4.1,0.9925,12.3,good
7.1,0.9944,10.8,bad
1.4,0.9909,11.3,bad
0.8,0.9932,9.3,bad
1.3,0.9934,10,bad
15.55,1.0001,11,bad
1,0.992,10.2,bad
1.6,0.9916,10.8,good
11.8,0.998,10.1,bad
4.5,0.9919,11.6,bad
1.1,0.9925,9.1,bad
10,0.9977,10,bad
7.1,0.9944,10.8,bad
0.9,0.991,11.4,bad
1,0.99,12.7,bad
1.1,0.9917,11.3,bad
1.1,0.9923,10.4,good
1.5,0.9928,9.6,bad
1,0.9923,10.1,bad
1.5,0.9928,9.6,bad
2.9,0.9902,12.1,good
1.2,0.9893,12.2,bad
1.1,0.9917,11.3,bad
14.2,0.9982,9.6,bad
17.85,1.0005,9.2,bad
1.1,0.9923,10.4,good
7.1,0.9951,9.5,bad
7.6,0.9956,8.9,bad
13.6,0.998,8.8,bad
1.4,0.9928,10.5,bad
1.2,0.9938,9.4,bad
5.3,0.9914,12.2,bad
13,0.9955,11.3,bad
4.45,0.9924,12.2,bad
1.2,0.9911,12.2,bad
1.2,0.9917,11.2,bad
1.2,0.9917,11.2,bad
6.6,0.9932,11.5,bad
13,0.9955,11.3,bad
1.1,0.9929,9.3,bad
13,0.9955,11.3,bad
14,0.9958,11.8,good
19.8,1.0012,9.2,bad
11.2,0.9968,9.2,bad
1.2,0.9911,12.2,bad
4.45,0.9924,12.2,bad
2.7,0.991,12.2,bad
4.5,0.9946,10.6,bad
3.6,0.9928,12.4,bad
5.4,0.9946,10.8,bad
1.2,0.9917,11.2,bad
1.2,0.9918,11,bad
9.1,0.9926,12.7,good
0.8,0.9931,10.2,bad
6.6,0.9932,11.5,bad
3,0.9903,12.3,good
1.6,0.9928,9.8,bad
1.1,0.9929,9.3,bad
14,0.9958,11.8,good
13,0.9955,11.3,bad
1.35,0.9911,11.4,bad
5.9,0.9938,10.8,bad
3.6,0.9942,9.5,bad
1.3,0.9945,10.2,bad
8.7,0.9962,10.7,bad
1.2,0.992,10.8,bad
4.6,0.9927,11.5,bad
2,0.9948,10.7,bad
1.3,0.9945,10.2,bad
1.7,0.9942,10.1,bad
2.4,0.9952,10.4,bad
3.6,0.9942,9.5,bad
4.6,0.9958,9.1,bad
1.5,0.9918,10.6,bad
0.9,0.9932,9.4,bad
19.4,1.0004,9.8,bad
13.3,0.9972,9.5,bad
17.85,0.9998,9.3,bad
1.1,0.9918,10.3,bad
1.3,0.9918,11.1,bad
9.4,0.9964,10,bad
9,0.9936,12.3,good
8.65,0.9931,12.4,good
9.6,0.9938,12.3,good
1.1,0.9934,10.4,bad
1.2,0.99,12.1,good
1.8,0.9914,12.5,bad
2.1,0.9904,13,bad
9.3,0.994,11,good
1.7,0.9938,10.1,bad
1.2,0.9933,9.2,bad
4.6,0.9909,12.6,good
12.8,0.9942,12.2,good
1.5,0.9945,9.8,good
8.1,0.9954,11,bad
7.5,0.996,10,bad
14.5,0.9991,9.8,bad
1.6,0.993,10.5,bad
1.8,0.9942,10,bad
3.2,0.9934,11.2,bad
9.4,0.9939,11,good
9.9,0.9937,11.2,bad
9.3,0.994,11,good
1.3,0.9926,10.5,bad
9.6,0.9951,10.6,bad
9.3,0.9952,10.6,bad
7.8,0.9935,12,bad
1.7,0.9938,10.1,bad
1.7,0.9939,10.1,bad
1.2,0.9933,9.2,bad
1.4,0.9927,11,bad
9,0.998,10,bad
18.15,0.9997,8.7,bad
12.5,0.9981,8.7,bad
1.1,0.992,11.1,bad
7.7,0.9954,11,bad
1.1,0.992,11.1,bad
18.15,0.9997,8.7,bad
12.5,0.9981,8.7,bad
8.1,0.9943,11.2,good
7.7,0.9941,11.1,good
5,0.9936,10.8,bad
15.6,0.9996,9,bad
1.5,0.9932,10.3,bad
1,0.9926,9.9,bad
1,0.9936,10,bad
1,0.992,9.8,bad
5,0.9936,10.8,bad
15.6,0.9996,9,bad
0.8,0.993,9.1,bad
1.3,0.9924,10.6,bad
1.1,0.9928,10.6,bad
1,0.9926,9.9,bad
5.2,0.9952,10.6,bad
4.7,0.9945,9.9,bad
4.8,0.9945,9.9,bad
1.8,0.9903,12.8,bad
1.5,0.9932,10.3,bad
5.2,0.9953,10.6,bad
1.2,0.9936,8.7,bad
1.8,0.9912,12.6,good
7.6,0.9962,11,good
8.2,0.9965,11.2,good
1.3,0.9932,10.7,good
10,0.9967,9.6,bad
5.2,0.9953,10.6,bad
6.4,0.9963,9,bad
1,0.992,10.5,bad
1.8,0.991,12.8,bad
2,0.9958,10.1,bad
1.5,0.99,12.2,good
1.8,0.991,12.8,bad
2,0.9958,10.1,bad
3.5,0.9938,10.1,bad
18.05,0.9996,9.2,bad
1.8,0.9946,9.9,bad
8.2,0.9974,9.7,bad
5,0.9945,9.9,bad
4.6,0.9946,9.9,bad
8.2,0.9974,9.7,bad
7,0.9957,10.3,bad
3.1,0.9931,10.3,bad
8.8,0.9947,10.5,bad
2.4,0.9953,10.5,bad
1.4,0.9931,9.8,bad
1.8,0.9946,10.6,bad
11.9,0.9978,10.1,bad
13.4,0.9989,9,bad
15.4,1.0004,9.5,bad
7.2,0.9938,11.5,bad
7.4,0.9934,11.9,good
11.9,0.9978,10.1,bad
7.8,0.9956,9.2,bad
13.5,0.9982,8.7,bad
1.3,0.9948,9.8,bad
7.8,0.9956,9.2,bad
13.5,0.9982,8.7,bad
1.5,0.9926,11.2,bad
1.2,0.991,12.3,bad
6.4,0.9945,10.4,bad
1.2,0.9916,10.7,bad
7.3,0.9953,10.5,bad
3.8,0.9938,9.4,bad
7.3,0.9956,9.2,bad
2.7,0.9906,11.9,bad
7.3,0.9956,9.2,bad
1.4,0.9932,9.9,bad
1.6,0.9914,11.4,bad
3.8,0.9938,9.4,bad
8,0.996,10.7,bad
4.7,0.9906,12.7,bad
1.9,0.98815,13.5,good
2.8,0.9942,9.5,bad
2.2,0.9903,12.9,good
1.7,0.9906,12.5,bad
4.9,0.9935,9.5,good
23.5,1.0024,8.6,bad
11.8,0.9968,10,good
1.7,0.9906,12.5,bad
5.2,0.9941,10.1,bad
3.2,0.9919,11.3,good
1.5,0.9928,10.6,good
11.7,0.9958,10.8,bad
1.6,0.9932,10.7,bad
7.3,0.9957,9,bad
1.6,0.9937,9.2,bad
13.3,0.9982,8.5,bad
6,0.9928,11.3,good
3.2,0.9919,11.3,good
1.6,0.9956,9.4,bad
7.7,0.9957,8.7,bad
5.9,0.9954,9.4,bad
1,0.993,10.5,good
6.4,0.9954,9.7,bad
10.4,0.9987,10.2,bad
1.6,0.9956,9.4,bad
3.5,0.9928,11.5,bad
7.7,0.9951,9.6,bad
1.8,0.993,11.4,bad
3.5,0.9928,11.5,bad
6.5,0.9926,12.2,good
6.7,0.9938,11,good
16.8,1.0001,9.2,bad
1.6,0.9933,10.2,bad
7,0.9952,10,bad
1.2,0.9934,9.7,bad
13,0.9988,9.2,bad
3.8,0.993,10.5,bad
7,0.9952,10,bad
7.5,0.9948,10.1,bad
15.55,0.9998,9.1,good
12.3,0.9971,10.2,good
15.55,0.9998,9.1,good
9.4,0.9962,10.5,good
7.5,0.9948,10.1,bad
1.2,0.99,12.1,good
1.6,0.9942,10.2,bad
1.6,0.9965,9.4,bad
3.95,0.9912,12.8,good
12.8,0.9978,9,bad
1,0.9928,10.9,bad
31.6,1.0103,8.8,bad
