fixed acidity,volatile acidity,citric acid,pH,quality
7.6,0.54,0.13,3.39,bad
8.3,0.65,0.1,3.29,bad
7.8,0.48,0.68,3.09,bad
7.8,0.91,0.07,3.51,bad
6.3,0.98,0.01,3.6,bad
8.1,0.87,0,3.25,bad
8.1,0.87,0,3.25,bad
8.8,0.42,0.21,3.19,bad
9,0.58,0.25,3.23,bad
9.3,0.655,0.26,3.25,bad
8.8,0.7,0,3.31,bad
9.3,0.655,0.26,3.25,bad
9.1,0.68,0.11,3.31,bad
9.2,0.67,0.1,3.31,bad
8.8,0.59,0.18,3.14,bad
7.5,0.6,0.32,3.45,bad
7.1,0.59,0.02,3.55,bad
7.9,0.72,0.01,3.39,bad
7.1,0.59,0.02,3.55,bad
9.4,0.685,0.26,3.28,bad
9.5,0.57,0.27,3.27,bad
7.9,0.4,0.29,3.3,bad
7.9,0.4,0.3,3.31,bad
7.2,1,0,3.43,bad
6.9,0.765,0.18,3.4,bad
6.9,0.635,0.17,3.4,bad
8.3,0.43,0.3,3.36,bad
7.1,0.52,0.03,3.5,bad
7,0.57,0,3.31,bad
6.5,0.46,0.14,3.66,bad
9,0.82,0.05,3.36,bad
6.5,0.46,0.14,3.66,bad
7.1,0.59,0.01,3.55,bad
9.9,0.35,0.41,3.21,bad
9.9,0.35,0.41,3.21,bad
10,0.56,0.24,3.18,bad
10,0.56,0.24,3.18,bad
8.6,0.63,0.17,3.09,bad
7.4,0.37,0.43,3.33,bad
8.8,0.64,0.17,3.23,bad
7.1,0.61,0.02,3.48,bad
7.7,0.6,0,3.38,bad
10.1,0.27,0.54,3.17,bad
10.8,0.89,0.3,2.99,bad
8.7,0.46,0.31,3.1,bad
9.3,0.37,0.44,3.24,good
9.4,0.5,0.34,3.29,bad
9.4,0.5,0.34,3.29,bad
7.2,0.61,0.08,3.25,bad
8.6,0.55,0.09,3.23,bad
5.1,0.585,0,3.56,good
7.7,0.56,0.08,3.24,bad
8.4,0.52,0.22,3.26,bad
8.2,0.28,0.4,3.33,good
8.4,0.25,0.39,3.27,good
8.2,0.28,0.4,3.33,good
7.4,0.53,0.12,3.26,bad
7.6,0.48,0.31,3.22,bad
7.3,0.49,0.1,3.3,bad
12.9,0.5,0.55,3.09,bad
10.8,0.45,0.33,3.24,bad
6.9,0.39,0.24,3.44,bad
12.6,0.41,0.54,3.21,bad
10.8,0.45,0.33,3.24,bad
9.8,0.51,0.19,3.23,bad
10.8,0.29,0.42,3.28,bad
7.1,0.715,0,3.29,bad
9.1,0.66,0.15,3.28,bad
7,0.685,0,3.34,bad
4.9,0.42,0,3.71,good
6.7,0.54,0.13,3.61,bad
6.7,0.54,0.13,3.61,bad
7.1,0.48,0.28,3.24,bad
7.1,0.46,0.14,3.36,bad
7.5,0.27,0.34,3.4,good
7.1,0.46,0.14,3.36,bad
7.8,0.57,0.09,3.46,good
5.9,0.61,0.08,3.56,bad
7.5,0.685,0.07,3.38,bad
5.9,0.61,0.08,3.56,bad
10.4,0.44,0.42,3.38,bad
11.6,0.47,0.44,3.38,bad
8.8,0.685,0.26,3.32,bad
7.6,0.665,0.1,3.39,bad
6.7,0.28,0.28,3.26,good
6.7,0.28,0.28,3.26,good
10.1,0.31,0.35,3.24,good
6,0.5,0.04,3.46,bad
11.1,0.42,0.47,3.24,good
6.6,0.66,0,3.45,bad
10.6,0.5,0.45,3.23,bad
7.1,0.685,0.35,3.28,bad
9.9,0.25,0.46,3.18,bad
6.4,0.64,0.21,3.59,bad
6.4,0.64,0.21,3.59,bad
7.4,0.68,0.16,3.5,bad
6.4,0.64,0.21,3.59,bad
6.4,0.63,0.21,3.58,bad
9.3,0.43,0.44,3.28,bad
9.3,0.43,0.44,3.28,bad
8,0.42,0.32,3.22,bad
9.3,0.36,0.39,3.47,bad
9.3,0.36,0.39,3.47,bad
7.6,0.735,0.02,3.51,good
9.3,0.36,0.39,3.47,bad
8.2,0.26,0.34,3.4,good
11.7,0.28,0.47,3.15,good
6.8,0.56,0.22,3.4,bad
7.2,0.62,0.06,3.51,bad
5.8,1.01,0.66,3.66,bad
7.5,0.42,0.32,3.24,bad
7.2,0.62,0.06,3.51,bad
7.2,0.62,0.06,3.51,bad
7.2,0.635,0.07,3.51,bad
6.8,0.49,0.22,3.41,bad
6.9,0.51,0.23,3.4,bad
6.8,0.56,0.22,3.4,bad
7.6,0.63,0.03,3.44,bad
7.7,0.715,0.01,3.41,bad
6.9,0.56,0.03,3.53,bad
7.3,0.35,0.24,3.43,bad
9.1,0.21,0.37,3.23,good
10.4,0.38,0.46,3.12,good
8.8,0.31,0.4,3.31,good
7.1,0.47,0,3.4,bad
7.7,0.715,0.01,3.41,bad
8.8,0.61,0.19,3.22,bad
7.2,0.6,0.04,3.53,bad
9.2,0.56,0.18,3.15,bad
7.6,0.715,0,3.48,bad
8.4,0.31,0.29,3.22,bad
7.2,0.6,0.04,3.53,bad
8.8,0.61,0.19,3.22,bad
8.9,0.75,0.14,3.34,bad
9,0.8,0.12,3.33,bad
10.7,0.52,0.38,3.15,good
6.8,0.57,0,3.43,bad
10.7,0.9,0.34,3.22,bad
7.2,0.34,0.24,3.44,bad
7.2,0.66,0.03,3.53,bad
10.1,0.45,0.23,3.22,bad
7.2,0.66,0.03,3.53,bad
7.2,0.63,0.03,3.53,bad
7.1,0.59,0.01,3.42,bad
8.3,0.31,0.39,3.31,good
7.1,0.59,0.01,3.42,bad
8.3,0.31,0.39,3.31,good
8.3,1.02,0.02,3.48,bad
8.9,0.31,0.36,3.4,bad
7.4,0.635,0.1,3.58,good
7.4,0.635,0.1,3.58,good
6.8,0.59,0.06,3.41,good
6.8,0.59,0.06,3.41,good
9.2,0.58,0.2,3.23,bad
7.2,0.54,0.27,3.39,bad
6.1,0.56,0,3.59,bad
7.4,0.52,0.13,3.43,bad
7.3,0.305,0.39,3.29,bad
9.3,0.38,0.48,3.23,bad
9.1,0.28,0.46,3.18,bad
10,0.46,0.44,3.33,bad
9.4,0.395,0.46,3.27,good
7.3,0.305,0.39,3.29,bad
8.6,0.315,0.4,3.27,bad
5.3,0.715,0.19,3.62,bad
6.8,0.41,0.31,3.38,bad
8.4,0.36,0.32,3.3,bad
8.4,0.62,0.12,3.38,bad
9.6,0.41,0.37,3.24,bad
8.4,0.36,0.32,3.3,bad
8.4,0.62,0.12,3.38,bad
6.8,0.41,0.31,3.38,bad
8.6,0.47,0.27,3.18,bad
8.6,0.22,0.36,3.47,good
9.4,0.24,0.33,3.47,bad
8.4,0.67,0.19,3.2,bad
8.6,0.47,0.27,3.18,bad
8.7,0.33,0.38,3.3,good
6.6,0.61,0.01,3.69,bad
7.4,0.61,0.01,3.48,bad
7.6,0.4,0.29,3.45,bad
7.4,0.61,0.01,3.48,bad
6.6,0.61,0.01,3.69,bad
8.8,0.3,0.38,3.39,bad
8.8,0.3,0.38,3.39,bad
12,0.63,0.5,3.07,bad
7.2,0.38,0.38,3.34,good
6.2,0.46,0.17,3.61,bad
9.6,0.33,0.52,3.36,good
9.9,0.27,0.49,3.19,good
10.1,0.43,0.4,3.22,good
9.8,0.5,0.34,3.24,good
8.3,0.3,0.49,3.27,good
10.2,0.44,0.42,3.14,good
10.2,0.44,0.58,3.29,good
8.3,0.28,0.48,3.26,good
8.9,0.12,0.45,3.41,good
8.9,0.12,0.45,3.41,good
8.9,0.12,0.45,3.41,good
8.3,0.28,0.48,3.26,good
8.2,0.31,0.4,3.31,good
10.2,0.34,0.48,3.2,good
7.6,0.43,0.4,3.44,bad
8.5,0.21,0.52,3.36,bad
9,0.36,0.52,3.31,bad
9.5,0.37,0.52,3.29,bad
6.4,0.57,0.12,3.47,good
8,0.59,0.05,3.36,bad
8.5,0.47,0.27,3.16,bad
7.1,0.56,0.14,3.27,bad
6.6,0.57,0.02,3.38,bad
8.8,0.27,0.39,3.15,bad
8.5,0.47,0.27,3.16,bad
8.3,0.34,0.4,3.34,bad
9,0.38,0.41,3.13,good
8.5,0.66,0.2,3.13,bad
9,0.4,0.43,3.2,bad
6.7,0.56,0.09,3.46,bad
10.4,0.26,0.48,3.33,bad
10.4,0.26,0.48,3.33,bad
10.1,0.38,0.5,3.22,good
8.5,0.34,0.44,3.52,bad
8.8,0.33,0.41,3.3,good
7.2,0.41,0.3,3.44,bad
7.2,0.41,0.3,3.44,bad
8.4,0.59,0.29,3.15,bad
7,0.4,0.32,3.28,good
12.2,0.45,0.49,3.13,bad
9.1,0.5,0.3,3.32,bad
9.5,0.86,0.26,3.25,bad
7.3,0.52,0.32,3.34,bad
9.1,0.5,0.3,3.32,bad
12.2,0.45,0.49,3.13,bad
7.4,0.58,0,3.45,bad
9.8,0.34,0.39,3.19,good
7.1,0.36,0.3,3.44,bad
7.7,0.39,0.12,3.16,bad
9.7,0.295,0.4,3.14,bad
7.7,0.39,0.12,3.16,bad
7.1,0.34,0.28,3.45,bad
6.5,0.4,0.1,3.36,bad
7.1,0.34,0.28,3.45,bad
10,0.35,0.45,3.15,bad
7.7,0.6,0.06,3.39,bad
5.6,0.66,0,3.71,good
5.6,0.66,0,3.71,good
8.9,0.84,0.34,3.12,bad
6.4,0.69,0,3.47,bad
7.5,0.43,0.3,3.44,good
9.9,0.35,0.38,3.26,good
9.1,0.29,0.33,3.26,good
6.8,0.36,0.32,3.36,good
8.2,0.43,0.29,3.25,bad
6.8,0.36,0.32,3.36,good
9.1,0.29,0.33,3.26,good
9.1,0.3,0.34,3.26,good
8.9,0.35,0.4,3.23,good
9.6,0.5,0.36,3.18,bad
8.9,0.28,0.45,3.25,good
8.9,0.32,0.31,3.17,bad
7.7,1.005,0.15,3.23,bad
7.5,0.71,0,3.38,bad
8,0.58,0.16,3.22,bad
10.5,0.39,0.46,3.06,bad
8.9,0.38,0.4,3.27,good
8,0.18,0.37,2.89,bad
8,0.18,0.37,2.89,bad
7,0.5,0.14,3.53,bad
11.3,0.36,0.66,3.2,bad
11.3,0.36,0.66,3.2,bad
7,0.51,0.09,3.35,bad
8.2,0.32,0.42,3.27,bad
7.7,0.58,0.01,3.32,good
8.6,0.83,0,3.33,bad
7.9,0.31,0.32,3.41,bad
6.4,0.795,0,3.49,bad
7.2,0.34,0.21,3.37,bad
7.7,0.58,0.01,3.32,good
7.1,0.59,0,3.42,good
7.3,0.55,0.01,3.35,good
8.1,0.82,0,3.36,bad
7.5,0.57,0.08,3.3,bad
8.9,0.745,0.18,3.2,bad
10.1,0.37,0.34,3.17,good
7.6,0.31,0.34,3.22,good
7.3,0.91,0.1,3.35,bad
8.7,0.41,0.41,3.24,good
8.9,0.5,0.21,3.33,bad
7.4,0.965,0,3.58,bad
6.9,0.49,0.19,3.38,bad
8.9,0.5,0.21,3.33,bad
9.5,0.39,0.41,3.29,good
6.4,0.39,0.33,3.36,bad
6.9,0.44,0,3.32,bad
7.6,0.78,0,3.31,bad
7.1,0.43,0.17,3.49,bad
9.3,0.49,0.36,3.27,bad
9.3,0.5,0.36,3.27,bad
7.1,0.43,0.17,3.49,bad
8.5,0.46,0.59,3.03,bad
5.6,0.605,0.05,3.56,bad
8.3,0.33,0.42,3.38,good
8.2,0.64,0.27,3.13,bad
8.2,0.64,0.27,3.13,bad
8.9,0.48,0.53,3.21,good
7.6,0.42,0.25,3.15,bad
9.9,0.53,0.57,3.19,good
8.9,0.48,0.53,3.21,good
11.6,0.23,0.57,3.14,bad
9.1,0.4,0.5,3.21,good
8,0.38,0.44,3.3,bad
10.2,0.29,0.65,3.22,bad
8.2,0.74,0.09,3.28,bad
7.7,0.61,0.18,3.29,bad
6.6,0.52,0.08,3.4,good
11.1,0.31,0.53,3.02,good
11.1,0.31,0.53,3.02,good
8,0.62,0.35,3.31,bad
9.3,0.33,0.45,3.18,good
7.5,0.77,0.2,3.2,bad
7.2,0.35,0.26,3.4,bad
8,0.62,0.33,3.31,bad
7.5,0.77,0.2,3.2,bad
9.1,0.25,0.34,3.44,good
9.9,0.32,0.56,3.15,bad
8.6,0.37,0.65,3.27,bad
8.6,0.37,0.65,3.27,bad
7.9,0.3,0.68,3.01,good
10.3,0.27,0.56,3.16,bad
7.9,0.3,0.68,3.01,good
7.2,0.38,0.3,3.42,bad
8.7,0.42,0.45,3.33,bad
7.2,0.38,0.3,3.42,bad
6.8,0.48,0.08,3.12,bad
8.5,0.34,0.4,3.38,good
7.9,0.19,0.42,3.29,bad
11.6,0.41,0.54,3.02,good
11.6,0.41,0.54,3.02,good
10,0.26,0.54,2.98,good
7.9,0.34,0.42,3.35,bad
7,0.54,0.09,3.43,bad
9.2,0.31,0.36,3.33,good
6.6,0.725,0.09,3.35,bad
9.4,0.4,0.47,3.15,bad
6.6,0.725,0.09,3.35,bad
8.6,0.52,0.38,3.2,bad
8,0.31,0.45,3.15,good
8.6,0.52,0.38,3.2,bad
8.4,0.34,0.42,3.11,bad
7.4,0.49,0.27,3.35,bad
6.1,0.48,0.09,3.45,bad
7.4,0.49,0.27,3.35,bad
8,0.48,0.34,3.28,bad
6.3,0.57,0.28,3.41,bad
8.2,0.23,0.42,3.21,bad
9.1,0.3,0.41,3.27,good
8.1,0.78,0.1,3.36,bad
10.8,0.47,0.43,3.17,bad
8.3,0.53,0,3.25,bad
5.4,0.42,0.27,3.78,good
7.9,0.33,0.41,3.29,bad
8.9,0.24,0.39,3.12,bad
5,0.4,0.5,3.49,bad
7,0.69,0.07,3.38,bad
7,0.69,0.07,3.38,bad
7,0.69,0.07,3.38,bad
7.1,0.39,0.12,3.3,bad
5.6,0.66,0,3.52,bad
7.9,0.54,0.34,3.2,good
6.6,0.5,0,3.44,bad
6.3,0.47,0,3.45,bad
10.7,0.4,0.37,3.12,bad
6.5,0.58,0,3.62,bad
8.8,0.24,0.35,3.14,good
5.8,0.29,0.26,3.39,bad
6.3,0.76,0,3.51,bad
10,0.43,0.33,3.22,bad
10.5,0.43,0.35,3.21,bad
9.1,0.6,0,3.18,bad
5.9,0.19,0.21,3.32,bad
7.4,0.36,0.34,3.38,good
7.2,0.48,0.07,3.37,good
8.5,0.28,0.35,3.3,good
8,0.25,0.43,3.38,bad
10.4,0.52,0.45,3.22,bad
10.4,0.52,0.45,3.22,bad
7.5,0.41,0.15,3.14,bad
8.2,0.51,0.24,3.34,bad
7.3,0.4,0.3,3.41,bad
8.2,0.38,0.32,3.27,bad
6.9,0.45,0.11,3.3,bad
7,0.22,0.3,3.61,bad
7.3,0.32,0.23,3.43,bad
8.2,0.2,0.43,3.53,bad
7.8,0.5,0.12,3.28,bad
10,0.41,0.45,3.21,good
7.8,0.39,0.42,3.39,bad
10,0.35,0.47,3.23,bad
8.2,0.33,0.32,3.3,good
6.1,0.58,0.23,3.46,bad
8.3,0.6,0.25,3.15,bad
9.6,0.42,0.35,3.23,bad
6.6,0.58,0,3.59,bad
8.3,0.6,0.25,3.15,bad
8.5,0.18,0.51,3.33,good
5.1,0.51,0.18,3.46,good
6.7,0.41,0.43,3.42,bad
10.2,0.41,0.43,3.16,bad
10.6,0.36,0.57,3.14,good
8.8,0.45,0.43,3.21,bad
8.5,0.32,0.42,3.14,good
9,0.785,0.24,3.29,bad
9,0.785,0.24,3.29,bad
8.5,0.44,0.5,3.01,bad
9.9,0.54,0.26,2.94,bad
8.2,0.33,0.39,3.32,good
6.5,0.34,0.27,3.21,bad
7.6,0.5,0.29,3.32,bad
9.2,0.36,0.34,3.2,bad
7.1,0.59,0,3.42,bad
9.7,0.42,0.46,3.27,bad
7.6,0.36,0.31,3.46,bad
7.6,0.36,0.31,3.46,bad
6.5,0.61,0,3.61,bad
6.5,0.88,0.03,3.58,bad
7.1,0.66,0,3.35,good
5.6,0.915,0,3.68,bad
8.2,0.35,0.33,3.27,bad
8.2,0.35,0.33,3.27,bad
9.8,0.39,0.43,3.19,bad
10.2,0.4,0.4,3.38,bad
6.8,0.66,0.07,3.29,bad
6.7,0.64,0.23,3.36,bad
7,0.43,0.3,3.33,bad
6.6,0.8,0.03,3.52,bad
7,0.43,0.3,3.33,bad
6.7,0.64,0.23,3.36,bad
8.8,0.955,0.05,3.3,bad
9.1,0.4,0.57,3.28,bad
6.5,0.885,0,3.56,bad
7.2,0.25,0.37,3.52,good
6.4,0.885,0,3.56,bad
7,0.745,0.12,3.22,bad
6.2,0.43,0.22,3.52,bad
7.9,0.58,0.23,3.21,bad
7.7,0.57,0.21,3.16,bad
7.7,0.26,0.26,3.15,bad
7.9,0.58,0.23,3.21,bad
7.7,0.57,0.21,3.16,bad
7.9,0.34,0.36,3.27,good
8.6,0.42,0.39,3.35,good
9.9,0.74,0.19,3.14,bad
7.2,0.36,0.46,3.4,good
7.2,0.36,0.46,3.4,good
7.2,0.36,0.46,3.4,good
9.9,0.72,0.55,3.35,bad
7.2,0.36,0.46,3.4,good
6.2,0.39,0.43,3.45,good
6.8,0.65,0.02,3.35,bad
6.6,0.44,0.15,3.32,bad
6.8,0.65,0.02,3.35,bad
9.6,0.38,0.42,3.15,bad
10.2,0.33,0.46,3.1,bad
8.8,0.27,0.46,3.26,bad
7.9,0.57,0.31,3.29,bad
8.2,0.34,0.37,3.23,bad
8.2,0.4,0.31,3.24,bad
9,0.39,0.4,3.2,bad
10.9,0.32,0.52,3.28,bad
10.9,0.32,0.52,3.28,bad
8.1,0.53,0.22,3.26,bad
10.5,0.36,0.47,3.23,bad
12.6,0.39,0.49,3.07,bad
9.2,0.46,0.23,3.15,bad
7.5,0.58,0.03,3.02,bad
9,0.58,0.25,3.27,bad
5.1,0.42,0,3.68,good
7.6,0.43,0.29,3.4,bad
7.7,0.18,0.34,3.37,bad
7.8,0.815,0.01,3.38,bad
7.6,0.43,0.29,3.4,bad
10.2,0.23,0.37,3.23,bad
7.1,0.75,0.01,3.39,bad
6,0.33,0.32,3.3,bad
7.8,0.55,0,3.26,bad
7.1,0.75,0.01,3.39,bad
8.1,0.73,0,3.38,bad
6.5,0.67,0,3.45,bad
7.5,0.61,0.2,3.1,bad
9.8,0.37,0.39,3.16,bad
9,0.4,0.41,3.22,bad
8.3,0.56,0.22,3.37,bad
5.9,0.29,0.25,3.33,bad
7.4,0.55,0.19,3.49,bad
7.4,0.74,0.07,3.12,bad
7.4,0.55,0.19,3.49,bad
6.9,0.41,0.33,3.41,bad
7.1,0.6,0.01,3.4,bad
7.1,0.6,0.01,3.4,bad
7.5,0.58,0.14,3.28,bad
7.1,0.72,0,3.45,bad
7.9,0.66,0,3.43,bad
7.8,0.7,0.06,3.4,bad
6.1,0.64,0.02,3.47,bad
7.5,0.59,0.22,3.1,bad
7,0.58,0.28,3.32,bad
6.8,0.64,0,3.44,bad
6.8,0.64,0,3.44,bad
8.6,0.635,0.68,3.02,bad
6.3,1.02,0,3.59,bad
9.8,0.45,0.38,3.15,bad
8.2,0.78,0,3.37,bad
8.5,0.37,0.32,3.38,bad
7.2,0.57,0.05,3.38,bad
7.2,0.57,0.05,3.38,bad
10.4,0.43,0.5,3.1,bad
6.9,0.41,0.31,3.47,bad
5.5,0.49,0.03,3.5,good
5,0.38,0.01,3.7,bad
7.3,0.44,0.2,3.38,bad
5.9,0.46,0,3.5,bad
7.5,0.58,0.2,3.1,bad
7.8,0.58,0.13,3.24,bad
8,0.715,0.22,3.24,bad
8.5,0.4,0.4,3.28,bad
7,0.69,0,3.35,bad
8,0.715,0.22,3.24,bad
9.8,0.3,0.39,3.14,good
7.1,0.46,0.2,3.37,bad
7.1,0.46,0.2,3.37,bad
7.9,0.765,0,3.33,bad
8.7,0.63,0.28,3.26,bad
7,0.42,0.19,3.39,bad
11.3,0.37,0.5,3.15,bad
7.1,0.16,0.44,3.35,bad
8,0.6,0.08,3.22,bad
7,0.6,0.3,3.3,bad
7,0.6,0.3,3.3,bad
7.6,0.74,0,3.36,bad
8.2,0.635,0.1,3.29,bad
5.9,0.395,0.13,3.62,bad
7.5,0.755,0,3.34,bad
8.2,0.635,0.1,3.29,bad
6.6,0.63,0,3.2,bad
6.6,0.63,0,3.2,bad
7.2,0.53,0.14,3.35,bad
5.7,0.6,0,3.45,bad
7.6,1.58,0,3.5,bad
5.2,0.645,0,3.78,bad
6.7,0.86,0.07,3.6,bad
9.1,0.37,0.32,3.3,bad
8,0.28,0.44,3.36,bad
7.6,0.79,0.21,3.12,bad
7.5,0.61,0.26,3.3,bad
9.7,0.69,0.32,3.29,bad
6.8,0.68,0.09,3.41,bad
9.7,0.69,0.32,3.29,bad
7,0.62,0.1,3.28,bad
7.5,0.61,0.26,3.3,bad
6.5,0.51,0.15,3.33,bad
8,1.18,0.21,3.34,bad
7,0.36,0.21,3.4,bad
7,0.36,0.21,3.4,bad
7.5,0.63,0.27,3.26,bad
5.4,0.74,0,4.01,bad
9.9,0.44,0.46,3.18,bad
7.5,0.63,0.27,3.26,bad
9.1,0.76,0.68,2.9,bad
9.7,0.66,0.34,3.26,bad
5,0.74,0,4.01,bad
9.1,0.34,0.42,3.18,bad
9.1,0.36,0.39,3.18,good
6.7,0.46,0.24,3.39,bad
6.7,0.46,0.24,3.39,bad
6.7,0.46,0.24,3.39,bad
6.7,0.46,0.24,3.39,bad
6.5,0.52,0.11,3.34,bad
7.4,0.6,0.26,3.29,bad
7.4,0.6,0.26,3.29,bad
7.8,0.87,0.26,3.26,bad
8.4,0.39,0.1,3.09,bad
9.1,0.775,0.22,3.18,bad
7.2,0.835,0,3.39,bad
6.6,0.58,0.02,3.38,bad
6,0.5,0,3.36,bad
6,0.5,0,3.36,bad
6,0.5,0,3.36,bad
7.5,0.51,0.02,3.36,bad
7.5,0.51,0.02,3.36,bad
7.5,0.51,0.02,3.36,bad
7.6,0.54,0.02,3.37,bad
7.5,0.51,0.02,3.36,bad
11.5,0.42,0.48,3.09,bad
8.2,0.44,0.24,3.25,bad
6.1,0.59,0.01,3.52,bad
7.2,0.655,0.03,3.34,bad
7.2,0.655,0.03,3.34,bad
6.9,0.57,0,3.41,bad
9,0.6,0.29,3.34,bad
7.2,0.62,0.01,3.32,bad
7.6,0.645,0.03,3.37,bad
7.6,0.645,0.03,3.37,bad
7.2,0.58,0.03,3.35,bad
6.1,0.32,0.25,3.36,bad
6.1,0.34,0.25,3.36,bad
7.3,0.43,0.24,3.6,bad
7.4,0.64,0.17,3.28,bad
11.6,0.475,0.4,3.07,bad
9.2,0.54,0.31,3.24,bad
8.3,0.85,0.14,3.36,bad
11.6,0.475,0.4,3.07,bad
8,0.83,0.27,3.29,bad
7.2,0.605,0.02,3.46,bad
7.8,0.5,0.09,3.18,bad
7.3,0.74,0.08,3.24,bad
6.9,0.54,0.3,3.25,bad
8,0.77,0.32,3.27,bad
6.6,0.61,0,3.33,bad
8.7,0.78,0.51,3,bad
7.5,0.58,0.56,3.21,bad
8.7,0.78,0.51,3,bad
7.7,0.75,0.27,3.24,bad
6.8,0.815,0,3.32,bad
7.2,0.56,0.26,3.26,bad
8.2,0.885,0.2,3.11,bad
5.2,0.49,0.26,3.71,bad
7.2,0.45,0.15,3.29,bad
7.5,0.57,0.02,3.36,bad
7.5,0.57,0.02,3.36,bad
6.8,0.83,0.09,3.38,bad
8,0.6,0.22,3.3,bad
8,0.6,0.22,3.3,bad
7.1,0.755,0.15,3.19,bad
8,0.81,0.25,3.19,bad
7.4,0.64,0.07,3.3,bad
7.4,0.64,0.07,3.3,bad
6.6,0.64,0.31,3.35,bad
6.7,0.48,0.02,3.1,bad
6,0.49,0,3.58,bad
8,0.64,0.22,3.37,bad
7.1,0.62,0.06,3.17,bad
8,0.52,0.25,3.3,bad
6.4,0.57,0.14,3.32,bad
8.6,0.685,0.1,3.31,bad
8.7,0.675,0.1,3.31,bad
7.3,0.59,0.26,3.28,bad
7,0.6,0.12,3.52,good
7.2,0.67,0,3.42,bad
7.9,0.69,0.21,3.25,bad
7.9,0.69,0.21,3.25,bad
7.6,0.3,0.42,3.44,bad
7.2,0.33,0.33,3.23,good
8,0.5,0.39,3.43,bad
7.7,0.28,0.3,3.28,good
8.2,0.24,0.34,3.22,bad
6,0.51,0,3.54,bad
8.1,0.29,0.36,3.27,good
6,0.51,0,3.54,bad
6.6,0.96,0,3.5,bad
6.4,0.47,0.4,3.56,bad
8.2,0.24,0.34,3.22,bad
9.9,0.57,0.25,3.04,bad
10,0.32,0.59,3.2,bad
6.2,0.58,0,3.56,bad
10,0.32,0.59,3.2,bad
7.3,0.34,0.33,3.35,good
7.8,0.53,0.01,3.16,bad
7.7,0.64,0.21,3.27,bad
7.8,0.53,0.01,3.16,bad
7.5,0.4,0.18,3.34,bad
7,0.54,0,3.39,bad
6.4,0.53,0.09,3.5,bad
8.3,0.26,0.37,3.26,bad
8.3,0.26,0.37,3.26,bad
7.7,0.23,0.37,3.41,bad
7.6,0.41,0.33,3.3,bad
7.8,0.64,0,3.31,bad
7.9,0.18,0.4,3.33,bad
7.4,0.41,0.24,3.37,bad
7.6,0.43,0.31,3.26,bad
5.9,0.44,0,3.48,bad
6.1,0.4,0.16,3.42,good
10.2,0.54,0.37,3.18,bad
10.2,0.54,0.37,3.18,bad
10,0.38,0.38,3.15,bad
6.8,0.915,0.29,3.53,bad
7,0.59,0,3.41,bad
7.3,0.67,0.02,3.32,bad
7.2,0.37,0.32,3.23,good
7.4,0.785,0.19,3.16,bad
6.9,0.63,0.02,3.4,bad
6.9,0.58,0.2,3.38,bad
7.3,0.67,0.02,3.32,bad
7.4,0.785,0.19,3.16,bad
6.9,0.63,0.02,3.4,bad
6.8,0.67,0,3.4,bad
6.9,0.58,0.01,3.4,bad
7.2,0.38,0.31,3.23,good
7.2,0.37,0.32,3.23,good
7.8,0.32,0.44,3.33,good
6.6,0.58,0.02,3.35,good
7.6,0.49,0.33,3.41,bad
11.7,0.45,0.63,3.21,bad
6.5,0.9,0,3.5,bad
6,0.54,0.06,3.3,bad
7.6,0.49,0.33,3.41,bad
8.4,0.29,0.4,3.39,bad
7.9,0.2,0.35,3.32,good
6.4,0.42,0.09,3.41,bad
6.2,0.785,0,3.59,bad
6.8,0.64,0.03,3.36,bad
6.9,0.63,0.01,3.34,bad
6.8,0.59,0.1,3.41,bad
6.8,0.59,0.1,3.41,bad
7.3,0.48,0.32,3.3,good
6.7,1.04,0.08,3.52,bad
7.3,0.48,0.32,3.3,good
7.3,0.98,0.05,3.31,bad
10,0.69,0.11,2.88,bad
6.7,0.7,0.08,3.43,bad
7.6,0.35,0.6,3.38,bad
6.1,0.6,0.08,3.38,bad
9.9,0.5,0.5,3.16,bad
5.3,0.47,0.11,3.54,good
9.9,0.5,0.5,3.16,bad
5.3,0.47,0.11,3.54,good
7.1,0.875,0.05,3.4,bad
8.2,0.28,0.6,3.39,bad
5.6,0.62,0.03,3.66,bad
8.2,0.28,0.6,3.39,bad
7.2,0.58,0.54,3.33,bad
8.1,0.33,0.44,3.35,bad
6.8,0.91,0.06,3.53,bad
7,0.655,0.16,3.37,bad
6.8,0.68,0.21,3.38,bad
6,0.64,0.05,3.52,bad
5.6,0.54,0.04,3.72,bad
6.2,0.57,0.1,3.44,bad
7.1,0.22,0.49,3.39,bad
5.6,0.54,0.04,3.72,bad
6.2,0.65,0.06,3.57,bad
7.7,0.54,0.26,3.26,bad
6.4,0.31,0.09,3.42,good
7,0.43,0.02,3.35,bad
7.7,0.54,0.26,3.26,bad
6.9,0.74,0.03,3.45,bad
6.6,0.895,0.04,3.53,bad
6.9,0.74,0.03,3.45,bad
7.5,0.725,0.04,3.26,bad
7.8,0.82,0.29,3.16,bad
7.3,0.585,0.18,3.31,bad
6.2,0.44,0.39,3.51,bad
7.5,0.38,0.57,3.36,bad
6.7,0.76,0.02,3.55,bad
6.8,0.81,0.05,3.51,bad
7.5,0.38,0.57,3.36,bad
7.1,0.27,0.6,3.38,bad
7.9,0.18,0.4,3.28,bad
6.4,0.36,0.21,3.47,bad
7.1,0.69,0.04,3.44,bad
