Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes
The Douglas Tilden,Mo Hodges & Brian Felley,Benjamin Cooper,San Francisco,"2 oz Junipero Gin, .5 oz Lacuesta Blanco Vermouth, .25 oz Salers Gentiane Aperitif, 1 bsp Luxardo Maraschino Liqueur, 1 bsp Germain-Robin Absinthe, 2 dash Scrappy’s Lime Bitters","Lemon Twist, Edible Flower ",Cocktail Glass,"Combine all ingredients in a mixing glass with ice, stir and strain into a chilled cocktail glass. Garnish with a lemon twist and the edible flower of your choice.",Junipero Gin 20th Anniversary Signature Cocktail
Willow,Carl Wenger,Shady Lady Saloon,Sacramento,"1 oz Old Potrero Straight Rye Whiskey, 1.5 oz BarSol Perfecto Amor (Aperitif Wine), 1 bsp Luxardo Amaro Abano, 1 dash Angostura bitters",Luxardo Cherry,Coupe,"Combine all ingredients in a mixing glass, add ice and stir. Strain into a chilled coupe glass and garnish with a Luxardo Maraschino Cherry.",
Sahara Glowing Heart,John Codd,Tradition,San Francisco,"1.5 oz Junipero Gin, .75 oz Apricot Eau-de-Vie, .25 oz Grenadine, 2 dash Lemon Bitters, 2 dash Absinthe",Lemon Twist,Nick & Nora,"Combine all ingredients in a mixing glass, add ice and then stir. Strain into a Nick & Nora glass and garnish with a lemon twist.",Junipero Gin 20th Anniversary Signature Cocktail
Nori & Islay,Anthony Parks,Mourad,San Francisco,"1.5 oz Junipero Gin, 1.5 oz Nori-Infused Sake*, 1 dash Celery Bitters, 3 dash Islay Scotch",Picked Cucumber Ribbon,Nick & Nora,"Combine all ingredients in a mixing glass, stir, and strain into a chilled Nick & Nora glass. Garnish with a picked cucumber ribbon.

*Nori-Infused Sake: 
-- Ginjo Sake
-- Nori Seaweed Sheet

Using an Oji Style Cold Brew Coffee Maker, drip Ginjo sake through a 0.5 gram of nori seaweed sheet that has been hand-shredded. It takes 3 hours to infuse a 750 ml bottle.",Junipero Gin 20th Anniversary Signature Cocktail
You Bet Your Ascot,Jason Rager,AQ,San Francisco,"1.5 oz H by HINE, .75 oz Bonal, .5 oz Luxardo Amaro Abano, .25 oz Nocino",Orange peel,N/A,Combine all ingredients in a mixing glass. Stir until 2 oz water is diluted. Strain into a sherry or nosing glass. Flame and discard an orange peel. Drink deeply.,
Speyside Orchard,Brian MacGregor,,San Francisco,"1 oz Glenrothes Bourbon Reserve, 1.5 oz C. Drouin Pommeau de Normandie, .5 oz Chamomile Tea Syrup*, .75 oz Lemon Juice",Apple Slices,Collins,"Combine all ingredients in a mixing tin. Shake and strain into a collins glass full of crushed ice. Garnish with apple slices.

*Chamomile Tea Syrup: 
-- 2 c water
-- 1 c chamomile flower
-- 1 c sugar
Bring 1 cup water to boil.
Add 1 cup chamomile flower and 1 more cup of water, bring back to a boil.
Add 1 cup sugar, bring to boil. 
Let it rest. When cool, the syrup is ready.",
Chippendale Rosetone,,,,"1.5 part Gin, .25 part Luxardo Apricot Liqueur, .75 part Casoni 1814, .5 part Dry Vermouth, 1 part Unfiltered Apple Juice, 1 part Fresh Lemon Juice, .5 part Rich Simple Syrup (2:1), 2 part Jasmine Green Tea","Lemon Wheels, Apple Slices",Punch Bowl,"Combine all ingredients in a punch bowl, add a large chunk or block of ice, garnish with lemon wheels and apple slices. Serve when punch is chilled.",
La Hops Vie,,,,"2 oz Hophead Vodka, .75 oz Fresh Lemon Juice, .75 oz Fresh Grapefruit Juice, .5 oz Simple Syrup,   Gin Barrel Aged Orange Bitters,   Fresh Basil Leaves",Fresh Basil Leaves,Martini,"Combine all ingredients in a shaker and shake until proper dilution. Double strain into a chilled martini or coupe glass and garnish with 2 fresh basil leaves that have been lightly ""spanked"" to release aromatics.",
Cap't of the Seven Seas,Tyler Chauvin,Treo,New Orleans,"2 oz Ypioca Brasilizar Cachaca Ouro Reserva Especial, 1 oz Jalapeno-Orange Simple Syrup, 1 oz Coconut Milk, 4 dash Orange Flower Water, 9 drops Mole Bitters",,Lager,Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.,
Boko Buku,Tyler Chauvin,Treo,New Orleans,"1.5 oz Mezcal, .75 oz Don Ciccio & Figli Concerto, .125 oz Vanilla Marinade, 8 dash Mole Bitters",,Highball Glass,Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.,
Chapman Cobbler,Caitlin Laman,Trick Dog,San Francisco,"1 oz Applejack, 1 oz Amontillado Sherry, .75 oz Orgeat, .75 oz Fresh Lemon Juice, 1 bsp Tempus Fugit Creme de Noyaux",Lemon Wheel,Old Fashioned Glass,Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.,Photo credit: Allison Webber
Baile de Verano,Tyler Chauvin,Treo,New Orleans,"2 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Penny Blue Mauritian Rum, 6 dash Celery Shrub, 3 dash House-made Tarragon Tincture",,Highball Glass,"Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.",
Peter Pumpkin,John Weyrich,La Mar Cebicheria Peruana,San Francisco,"1.5 oz Junipero Gin, .5 oz Orange Liquor, 1.5 oz House-made Spiced Pumpkin Puree, .5 oz Lemon Juice, .5 oz Ginger Syrup, 1  Egg White,  top Apple Cider","Shaved Cinnamon, Nutmeg",N/A,"Combine all ingredients in a shaker, except the apple cider. Shake vigorously. Strain over ice. Top with apple cider. Garnish with shaved cinnamon and nutmeg.",
A Botanical Garden,Danny Louie,Alembic,San Francisco,"1.5 oz Hophead Vodka, .75 oz Zirbenz Stone Pine, .75 oz Fresh Strawberry Juice w/ Xanthan Gum*, .75 oz Lemon Juice, .5 oz Simple Syrup",Mint Sprig,Old Fashioned Glass,"Combine all ingredients in a shaking tin and give it a short shake, five seconds. Strain into an old fashined glass with three medium sized ice cubes.",*Fresh strawberry juice with xanthan gum for texture and mouthfeel: Set your digital scale to grams. Juice a pint of strawberries. Weigh the rendered liquid from the strawberries. Add .01% grams of xanthan gum to your total weight of rendered liquid and mix with an immersion blender. Fine strain the liquid.
The Bossa Nova,Chris Lane,Lolinda,San Francisco,"2 oz Chinaco Blanco Tequila, .5 oz Lemon Juice, .5 oz Small Hand Foods Pineapple Gum Syrup, .25 oz Vanilla Syrup*, .5 oz Coconut Cream**, .5 oz Egg White",Cinnamon (Grated),Rocks Glass,"Combine all ingredients in a shaking tin or mixing glass and vigorously shake without ice for 10 seconds. Add ice, and shake for another 8 seconds. Strain over larger ice cube or into a cocktail glass and add freshly grated cinnamon on top.

*Vanilla Syrup: 
Split 1 vanilla pod lengthwise and scrape interior into a heavy sauce pan. 
Add 2 c. raw sugar and 2 c. water. Bring to a simmer and reduce heat to low. 
Cook for 5 mins and stir occasionally. 
Remove from heat and keep unstrained for 24 hrs. 
Strain through a cheese cloth and bottle. Keeps for 2 weeks.

**Coconut Cream:
Combine 1 part Coco Lopez with 1 part rich coconut milk. Mix well.",
The Monte Rua,,,,"4 oz Ca' Secco Sparkling, 1 bsp Luxardo Cherry Syrup",Luxardo Cherry,Champagne Flute,Combine all ingredients in a sparkling wine glass.,Luxardo & Ca'Secco PR partnership Fall 2015
See ya Amaro!,Lynnette Marrero,,,"1.5 oz H by HINE, .75 oz Luxardo Amaro Abano, .5 oz Luxardo Apricot Liqueur, .25 oz Luxardo Amaretto di Saschira, .16 oz Luxardo Maraschino Liqueur, .5 oz Perfect Puree Apricot*, .5 oz Lemon Juice",,N/A,Combine all ingredients in a tall glass.,*Diluted 2:1 water
Rose Sangria,Lynnette Marrero,,,"1.5 oz Pink Pigeon Rum, .5 oz Fresh Lemon Juice, .75 oz Honey Syrup (1:1 honey & water), 1 oz Pomegranate Juice, 3 oz Rose Wine,   Cinnamon, grated,   Nutmeg, grated,   Cherries,   Strawberries,   Watermelon, cube",Luxardo Cherries,Wine Glass,"Combine all ingredients in a wine glass, stir to mix. Add ice and enjoy.  
Convert ounces to cups to make a larger pitcher for you and your guests.",
White Tie,Robby Cook,,Houston,"1 oz Luxardo Bitter Bianco, 2 oz No.3 London Dry Gin, 2 dash Orange Bitters, 1 bsp Luxardo Maraschino Liqueur",Lemon Peel,Nick & Nora,Combine all ingredients in mixing glass with ice and stir. Strain into chilled cocktail coupe or Nick & Nora. Expel lemon peel over cocktail then place in glass.,
The Italian Diplomat,Hal Brock,,Houston,"1 oz Luxardo Bitter Bianco, 1.5 oz BarSol Primero Quebranta Pisco, .25 oz Bay Leaf Syrup*, 2 dash Salt Tincture**","Lemon Zest, Yerba Mate Tea Sachet",Nick & Nora,"Combine all ingredients in mixing glass. Stir and strain into Nick & Nora cocktail glass. Garnish with lemon zest and yerba mate tea sachet.

*Bay Leaf Syrup:
-- 16 oz Water
-- 12 Bay Leaves
-- 1.5 C White Sugar

Bring water to boil with bay leaves. Lower heat to medium and simmer 15-20 mins. Stir in white sugar until dissolved, without bringing to a boil again. Remove from heat, let cool at room temperature. Remove bay leaves and enjoy.

**Salt Tincture:
-- .5 C Salt
-- 1 C Water
-- 2 C 100p Vodka

Stir salt with water and vodka. Stir until dissolved. Strain out extra salt, if any.",
Bunny Poison,,Alta CA,San Francisco,"2 oz Rhubarb Cucumber & Mint-Infused Junipero Gin, .75 oz Lemon Juice, .75 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Rhubarb Juice, .5 oz Grapefruit Juice, .5 oz Rhubarb Syrup, 2 dash Fee Brothers Celery Bitters",Cucumber Peel,Cocktail Glass,"Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise.",
See You T'Amaro,Jon Morales,,San Francisco,"1.5 oz Luxardo Amaro Abano, .5 oz Lemon juice, .25 oz Simple syrup, .5 oz Egg white, 1 dash Fee Bros Rhubarb bitters",Nutmeg,Small tumbler,"Combine all ingredients in shaker. Dry shake for 10 seconds, add ice and shake for 30 seconds. Strain into small tumbler. Garnish with a sprinkle of grated nutmeg.",
Cut To The Chase,,,,"2 oz J.H. Cutter Whisky, .75 oz Averna Amaro, .5 oz Alvear PX Sherry, 2 dash Angostura Bitters",Orange Twist,Coupe,"Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink.",
The Lover's Quarrel ,Russell Davis,Rickhouse,San Francisco,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .75 oz King's Ginger Liqueur, .5 oz Honey Jalapeño syrup, 1 oz Orange juice, .5 oz Lemon juice, 1 oz Soda water","Sliced Peaches, Jalapeños, Lemons and Oranges",N/A,Combine all ingredients into a large punch bowl and add large ice cube/cubes. Garnish liberally with slice fruits.,
Hophead Dirty Martini,,,,"4 oz Hophead Vodka, .5 oz Olive Juice, 1 dash Dry Vermouth",Olive,Martini,Combine all ingredients into a mixing glass and add ice. Shake and strain into a martini glass. Garnish with an olive.,
Newton's Theory,Brian Means,Fifth Floor,San Francisco,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz C. Drouin Pommeau de Normandie, .25 oz Luxardo Maraschino Liqueur, 4 dash Black Walnut Bitters",apple spheres,Coupe,"Combine all ingredients into a mixing glass and add ice. Stir for about 10 seconds and then strain into a chilled cocktail coupe. Garnish with skewered apple spheres and be thankful you're having a cocktail, and not having an apple shot off your head.",
West Coast Vesper,Russell Davis,,,"1 oz Hophead Vodka, 1 oz Junipero Gin, .5 oz Maurin Quina",Orange Peel,Coupe,Combine all ingredients into a mixing glass and add ice. Stir until proper dilution and strain into a chilled coupe. Garnish with an orange peel.,
Hophead Old Fashioned,,,San Francisco,"2 oz Hophead Vodka, .25 oz Simple syrup, 2 dash Angostura bitters, 1 dash Fee Brothers Gin Barrel Aged Bitters","Dukes Lemon Zest, Dukes Grapefruit Zest",Bucket,"Combine all ingredients into a mixing glass and stir until proper dilution. Strain into a chilled bucket glass over a large ice cube and garnish with a dukes lemon and dukes grapefruit zest.
",
Bacio Romana,Harold Madison,,Houston,"1.5 oz Luxardo Bitter Bianco, .5 oz BarSol Pisco, .5 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth","Cinnamon Stick, Orange Twist",Coupe,Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,
3 Degrees,,,,"1.75 oz No.3 London Dry Gin, .75 oz Velvet Falernum, .5 oz Lime juice, .5 oz Pear Sage Foam, 1 float Prosecco",Sage,Martini,"Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",
Jack Cherry Sour (2001 Remix),Russell David,Unlimited Liabilities,,"1.5 oz Jack Daniel's, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fresh Lemon Juice, .25 oz Cane Sugar Syrup*, 1 dash Angostura Orange Bitters","Orange Slice, Luxardo Cherry",Old Fashioned Glass,"Combine all ingredients, add ice, and shake. Double strain into an old fashioned glass and add fresh ice. Garnish with an orange slice (1/4 wheel) and Luxardo Cherry (both speared).

*0.25 - 0.50 oz Cane Sugar Syrup (to taste to allow variations in citrus flavor when batching)",
Spring Forward,Kim Rosselle,Trick Dog,San Francisco,"2 oz Old Tom Gin, .5 oz Noilly Prat Ambre Vermouth, .5 oz Pineapple Juice, .5 oz Lime Juice, .25 oz Rich Simple (2:1), .75 float Dry Sparkling Wine",Edible Flower Petal,Champagne Flute,"Combine all ingredients, minus the sparkling wine, into a tin. Shake and double strain into a flute glass. Top with a float of sparkling wine. Garnish with an edible flower petal.",
Three Flips,,,,"1.5 oz No.3 London Dry Gin, 1.5 oz Averna, .75 oz Honey, 1 whole Egg","Nutmeg, shaved",Snifter,"Combine all ingredients, shake for 20 seconds. Add ice and shake again. Strain into a snifter. Garnish with shaved nutmeg.",
Buenaventura,Matt Solario,Stookey's Club Moderne,San Francisco,".75 oz BarSol Primero Quebranta Pisco, .75 oz El Tesoro Reposado Tequila, .5 oz Grüner Veltliner, .5 oz Lime, .25 oz Pineapple Gum, 1 bsp Sweet Marmalade",Orange Peel,Cocktail Glass,Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.,
Nieux Carré,Sean McClure,,,"1.5 oz Karlsson's Gold Vodka, .75 oz Gran Duque d Alba Solera gran Reserva brandy, .75 oz Carpano Antica Vermouth, .25 oz Benedictine, 1 tincture Peychaud's Bitters, 1 tincture Angostura bitters",Lemon twist,Old Fashioned Glass,"Combine all liquid ingredients in a chilled mixing glass with cracked ice and stir for 20 seconds.
Double strain the cocktail over a large cube placed in an old-fashioned glass.
Garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail.","This cocktail is a spin on a classic cocktail called the ""Vieux Carré"" or ""Old Square"". The original cocktail was created by a bartender at The Hotel Monteleone in New Orleans. Though this drink may have been derived from a traditional vermouth cocktail created in the mid-1800s, many people who encounter the Vieux Carré today will equate it to a Manhattan variation, served on the rocks.

This new or ""Nieux"" version is a little nuttier and lighter in body. The nutty flavors of the sherry brandy really play off the savory earthy notes of the Karlsson's Gold Vodka. Enjoy this cocktail with some cheese or as an after dinner drink. It is perfect in front of a fireplace."
L.E.S. Is More,Sean McClure,,,"1.5 oz Karlsson's Gold Vodka, .75 oz Esprit de June, .5 oz Fresh lemon juice, .5 oz Simple syrup",Lemon Twist,Highball Glass,"Combine all liquid ingredients in a highball or Collins glass with ice.
Stir lightly and garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail.","This is a perfect spring or summer cocktail. The Esprit de June is a product that offers a touch of floral complexity. The brightness of the lemon really works well with the floral notes of the Esprit de June.

The name is a play on words stating that less is more or (L.E.S. is more). The L.E.S. is an abbreviation for two things. First being Lower East Side as it is a NYC inspired cocktail. Second being Lemon, Esprit de June, and Seltzer. The three ingredients used in the cocktail to complement the Karlsson's Vodka."
La Perle de Verre,Christa Havican,,Houston,"1 oz Luxardo Bitter Bianco, 1 oz Citadelle Gin, 2 dash Orange Bitters, .25 oz Rose Poached Pear Syrup*, 1 oz Topo Chico Mineral Water, 1 oz Fever-Tree Sparkling Lemon",Pear Slice,Collins,"Combine all liquids with exception of sodas, sir together. Strain into collins glass with singular large cube. Top with sodas. Garnish with sliver of poached pear from syrup (kept chilled).

*Rose Poached Pear Syrup:
-- 1.5 C Rose (La Vielle Ferme or similar)
-- 1.5 C Water 
-- 2 C Sugar
-- 1 Large Lemon
-- 1 Half Orange
-- 1 tsp Ground Ginger (not fresh)
-- 1 tsp Vanilla
-- 3-5 Whole Cloves

Combine Rose (La Vielle Ferme or similar), water, and sugar. Bring to a simmer. Add zest of lemon and an orange, ground ginger, vanilla, and cloves. Peel and halve pears, set gently into liquid. Keep just under a simmer for 15 mins. Remove from heat, let cool at least 20 mins. Pears will keep for 3 days refrigerated in syrup. The syrup itself will last longer.",
A Tall Tell,Brian Means,Dirty Habit,San Francisco,"9 oz C. Drouin Calvados Selection, 6 oz Marrakesh Mint Tea, 6 oz Prosecco, 3 oz King's Ginger Liqueur, 2 oz Lemon Juice, 1.5 oz Velvet Falernum, .5 oz Dale DeGroff's Pimento Aromatic Bitters","Orange wheels studded with cloves, Mint sprigs",N/A,Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,
Cut and Run,,,,"1.5 oz J.H. Cutter Whisky, 1 oz  Moroccan Mint Tea (chilled)*, .75 oz The King's Ginger, .5 oz Lemon Juice, .25 oz Rich Honey Syrup**","Lemon Wheel, Mint Sprig, Blackberry",Old Fashioned Glass,"Combine all the ingredients in a mixing glass and stir for about 10 seconds. Strain in to an Old Fashioned glass or glass of your choosing. Add large ice cubes. Garnish with a lemon wheel, mint sprigs and a blackberry.

*Moroccan Mint Tea (Numi Tea Brand):
-- 1 Moroccan Mint Tea Bag
-- 8 oz. Boiling Water
 
Combine the tea bag and the boiling water in a cup or a pot. Let steep for 5 minutes. Remove the tea bag and place the tea in the fridge to cool. Label and date the container. Will keep for 1 week.

**Rich Honey Syrup:
-- 10 oz. Honey
-- 5 oz. Hot Water

Combine both ingredients together in a container and stir until fully incorporated. Label and date the container. Will keep in the fridge for 2 weeks.","This can be served individually, but can also be made in to a punch and just served over one large block of ice. Just garnish with lots of lemon wheels, mint leaves and blackberries."
The Stand By,Vince Toscano,Rye,San Francisco,"2 oz Junipero Gin, .5 oz Luxardo Bitter, 1 bsp Kalani Coconut Liqueur, 1 dash Angostura Bitters, 1 dash Peychaud's Bitters",Lemon Peel,Old Fashioned Glass,Combine all the ingredients in an old-fashioned glass. Stir on the rocks. Garnish with lemon peel.,
Second City Sour,Patrick Poelvoorde,Park Tavern,San Francisco,"2 oz Hirsch Small Batch Reserve Bourbon, 1 oz Fresh Lemon Juice, .5 oz Orange-scented Maple Syrup*, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Lemon Twist,Collins,"Combine bourbon, lemon juice, and syrup in a shaker and add cold ice. Shake until chilled well (10-30 sec. depending on the quality of the ice). Strain into a collins glass and slowly pour the vermouth into the glass. Garnish with a lemon twist. 

*Orange-scented Maple Syrup:
combine 6 oz. of grade B maple syrup, 6 oz. filtered water and the peel of 1 orange, with a minimum amount of pith in a non-reactive pan. 
Simmer for 10 mins. Remove from heat and allow it to cool to room temp. before using. 
Syrup will keep for 1 month if refrigerated.",
California's Callin',Jeff Hollinger,,,"1.5 oz Junipero Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit Juice, .75 oz Lemon Juice, 1 dash Tempus Fugit Abbott's Bitters,  to fill Anchor California Lager",Grapefruit Peel,Collins,"Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel.",
End of Winter,Russell Davis,,San Francisco,"2 oz H by HINE (Brown Butter-Infused), 0.5 oz King's Ginger Liqueur, 3 dash Fee Brothers Black Walnut Bitters",Luxardo Cherries,N/A,"Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries.",
Hopped-Up Mule,Jeff Hollinger,,,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, .75 oz Lime Juice,  top Ginger Beer",Lime Wheel,Collins,"Combine Hophead Vodka, Kings Ginger, and lime juice in a Collins glass and fill with ice. Top with ginger beer. Stir. Garnish with a lime wheel.",
Bay City Shandy,,The Gladly,Phoenix,"1.5 oz Hophead Vodka, .75 oz Giffard Pamplemousse, .5 oz Lemon Juice, 2 dash Orange Bitters,  top IPA",,N/A,"Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.",
San Fran Shandy,,,San Francisco,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, 3 oz Breckle's Brown Ale, 1 oz Fresh Lemon Juice, .5 oz Honey Syrup, .5 oz Egg White, 2 dash Angostura Bitters",Half Orange Wheel,N/A,"Combine Hophead, lemon juice, King's Ginger, honey syrup, egg white, and bitters in a shaker and dry shake to emulsify egg whites. Add ice and shake vigorously until proper dilution. Strain into a chilled fizz glass. Empty ice out of shakers and fill shaker with ale to create a froth. Pour this froth over the drink and garnish with half an orange wheel.
	
",
West Bank,Claire Sprouse,The Bywater,Los Gatos,"1.5 oz HINE Rare VSOP, .5 oz Cynar, .5 oz Bywater Spice Mix*, 1 oz Cold-Brew Coffee",,Rocks Glass,"Combine ingredients and shake with ice. Strain into a rocks glass over fresh ice. Grate nutmeg on top.

*Bywater Spice Mix: Simple syrup infused with Vietnamese cinnamon, licorice root, and clove",
Hotaling White Manhattan,,,San Francisco,"2 oz Christmas Spirit, 1 oz Tempus Fugit Alessio Vermouth Bianco, .25 oz Luxardo Triplum (Triple Sec), 1 dash Fee Brother's Orange Bitters",Orange Twist,N/A,Combine ingredients in a mixing glass and stir with ice. Strain and serve up with an orange twist.,
Coffey Grain Manhattan,,,,"2 oz Nikka Coffey Grain Whisky, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Tempus Fugit Abbott's Bitters",Flamed Orange Peel,Coupe,Combine ingredients in a mixing glass with ice and stir. Strain into a coupe glass and garnish with a flamed orange peel.,
Shadowcat,Conal Nielsen,,Houston,"1 oz Luxardo Bitter Bianco, 1 oz Barr Hill Gin, .75 oz Falernum, 1 oz Topo Chico Mineral Water, 1 dash Lemon Bitters","Mint, Lemon Wedge",Coupe,"Combine ingredients in a pint glass, stir with ice to chill. Double strain into a coupe glass. Garnish with mint and lemon wedge flag.",
San Francisco Harvest,Megan Daniel,Whitechapel,San Francisco,"1.5 oz Junipero Gin, .75 oz Oloroso Sherry, .75 oz Lemon Juice, .75 oz Winter Spice Brown Sugar Syrup*, 1 oz Pineapple Juice",Nutmeg,Coupe,"Combine ingredients in a shaker with ice. Shake and double strain into a coupe glass. Garnish with nutmeg.

*Winter Spice Brown Sugar Syrup: 
-- 2 qt Brown Sugar
-- 2 qt Water
-- 3 Tbsp Ground Ginger
-- 3 Tbsp Ground Nutmeg
-- 1 Tbsp Clove

Heat and simmer the below ingredients in a medium pot for 15 minutes. Strain with cheesecloth.",Junipero Gin 20th Anniversary Signature Cocktail
Martinez,Jeff Hollinger,,,"2 oz Old Tom Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters",Lemon Peel,Cocktail Glass,"Combine ingredients in an ice-filled mixing glass and stir for 20 to 30 seconds, or until well chilled. Strain into a chilled cocktail glass and garnish with the lemon peel.",
Negroni D'Amore,Jeff Faile,,,"1.5 oz Old Tom Gin, 1 oz Barolo Chinato, 1 oz Tempus Fugit Kina L'Aero d'Or",Orange Peel,Old Fashioned Glass,"Combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel.",Photo credit: Brian Oh
Radice Amara,Elyse Blechman,,Houston,"1.5 oz Luxardo Bitter Bianco, 1 oz Reisetbauer Carrot Eau De Vie, .75 oz Genevieve Gin",Carrot Ribbon,Coupe,"Combine ingredients in mixing glass, and stir with ice to dilution. Strain into a coupe cocktail glass. Garnish with a trimmed carrot ribbon.",
Don't Rock the Boat Punch,Kevin Martin,Eastern Standard,Boston,"1 part No.3 London Dry Gin, 1 part Rooibus Tea (steeped and cooled), 1 part Mulled Cider (cooled), .5 part Clover Honey Syrup, .33 part Cava,   Angostura",,N/A,"Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally.",
Miyagikyo Kick,Brian Quinn,,,"1.5 oz Nikka Whisky Miyagikyo Single Malt 12 YO, .75 oz Rare Wine Co. Charleston Sercial Madeira, .75 oz Fresh lime juice, .625 oz Small Hands Food orgeat",,Coupe,"Combine ingredients into a cocktail shaker. 
Shake with ice vigorously for 10-15 seconds. 
Strain into a chilled coupe glass. No garnish.",http://www.foodrepublic.com/2014/11/07/miyagikyo-kick-cocktail-recipe
King's Toddy,Kevin Martin,,San Francisco,"1 oz No.3 London Dry Gin, .75 oz Lemon Juice, .5 oz King's Ginger Liqueur, .5 oz Clover Honey Syrup",Orange Twist,Mug,"Combine ingredients into a hot mug, top with hot water and garnish with a rough orange twist.",
Picadilly,,,,"1.5 oz No.3 London Dry Gin, .5 oz Pimms, 1 bsp Luxardo Amaretto di Saschira, 1 oz Fresh lime juice, .75 oz Simple syrup, 5 leaves Basil leaves",Cucumber wheel,Coupe,"Combine ingredients into a mixing glass, add ice and shake until properly diluted. Double strain into a glass over fresh ice, garnish with a cucumber wheel.",
Elgin Elixir,Alan Kropf,,San Francisco,"1 oz BenRiach Single Malt 12 YO, 1 oz C. Drouin Calvados Selection, 1 oz Luxardo Aperitivo",,Rocks Glass,Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.,
The Canevari Cocktail,Jeff Kinder,Bryant's Cocktail Lounge,Milwaukee,"1.5 oz Old Tom Gin, 1 oz Cocchi Vermouth di Torino, .5 oz Luxardo Bitter, 3 dash Angostura Bitters",Orange Twist,Cocktail Glass,"Combine ingredients, stir until well chilled, and strain in to a cocktail glass. Serve with an orange twist.",
Erasmus' Revenge,Keli Rivers,,,"2 oz Junipero Gin, .5 oz Carpano Antica, 1 bsp Calisaya, 3 dash The Bitter Truth Grapefruit Bitters",Grapefruit Peel,N/A,Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.,
The Sparkler,Laurie Sheddan,,Houston,".75 oz Luxardo Bitter Bianco, .75 oz Dolin Blanc, 2.5 oz Prosecco",Long Grapefruit Peel,Champagne Flute,Combine Luxardo Bitters and Dolin Blanc. Stir in mixing glass until chilled. Strain into flute. Top with prosecco. Zest with grapefruit. Garnish with long grapefruit zest.,
