Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
A Tall Tell;N/A;N/A;N/A;Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.;N/A;N/A;N/A;9 oz C. Drouin Calvados Selection, 6 oz Marrakesh Mint Tea, 6 oz Prosecco, 3 oz King's Ginger Liqueur, 2 oz Lemon Juice, 1.5 oz Velvet Falernum, .5 oz Dale DeGroff's Pimento Aromatic Bitters;Brian Means;Dirty Habit;San Francisco;Orange wheels studded with cloves, Mint sprigs;N/A
Cut and Run;N/A;N/A;Old Fashioned Glass;Combine all the ingredients in a mixing glass and stir for about 10 seconds. Strain in to an Old Fashioned glass or glass of your choosing. Add large ice cubes. Garnish with a lemon wheel, mint sprigs and a blackberry.  *Moroccan Mint Tea (Numi Tea Brand): -- 1 Moroccan Mint Tea Bag -- 8 oz. Boiling Water   Combine the tea bag and the boiling water in a cup or a pot. Let steep for 5 minutes. Remove the tea bag and place the tea in the fridge to cool. Label and date the container. Will keep for 1 week.  **Rich Honey Syrup: -- 10 oz. Honey -- 5 oz. Hot Water  Combine both ingredients together in a container and stir until fully incorporated. Label and date the container. Will keep in the fridge for 2 weeks.;N/A;N/A;N/A;1.5 oz J.H. Cutter Whisky, 1 oz  Moroccan Mint Tea (chilled), .75 oz The King's Ginger, .5 oz Lemon Juice, .25 oz Rich Honey Syrup;N/A;N/A;N/A;Lemon Wheel, Mint Sprig, Blackberry;This can be served individually, but can also be made in to a punch and just served over one large block of ice. Just garnish with lots of lemon wheels, mint leaves and blackberries.
The Stand By;N/A;N/A;Old Fashioned Glass;Combine all the ingredients in an old-fashioned glass. Stir on the rocks. Garnish with lemon peel.;N/A;N/A;N/A;2 oz Junipero Gin, .5 oz Luxardo Bitter, 1 bsp Kalani Coconut Liqueur, 1 dash Angostura Bitters, 1 dash Peychaud's Bitters;Vince Toscano;Rye;San Francisco;Lemon Peel;N/A
Second City Sour;N/A;N/A;Collins;Combine bourbon, lemon juice, and syrup in a shaker and add cold ice. Shake until chilled well (10-30 sec. depending on the quality of the ice). Strain into a collins glass and slowly pour the vermouth into the glass. Garnish with a lemon twist.   *Orange-scented Maple Syrup: combine 6 oz. of grade B maple syrup, 6 oz. filtered water and the peel of 1 orange, with a minimum amount of pith in a non-reactive pan.  Simmer for 10 mins. Remove from heat and allow it to cool to room temp. before using.  Syrup will keep for 1 month if refrigerated.;N/A;N/A;N/A;2 oz Hirsch Small Batch Reserve Bourbon, 1 oz Fresh Lemon Juice, .5 oz Orange-scented Maple Syrup*, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso;Patrick Poelvoorde;Park Tavern;San Francisco;Lemon Twist;N/A
California's Callin';N/A;N/A;Collins;Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel.;N/A;N/A;N/A;1.5 oz Junipero Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit Juice, .75 oz Lemon Juice, 1 dash Tempus Fugit Abbott's Bitters, 1 fill Anchor California Lager;Jeff Hollinger;N/A;N/A;Grapefruit Peel;N/A
End of Winter;N/A;N/A;N/A;Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries.;N/A;N/A;N/A;2 oz H by HINE (Brown Butter-Infused), 0.5 oz King's Ginger Liqueur, 3 dash Fee Brothers Black Walnut Bitters;Russell Davis;N/A;San Francisco;Luxardo Cherries;N/A
Hopped-Up Mule;N/A;N/A;Collins;Combine Hophead Vodka, Kings Ginger, and lime juice in a Collins glass and fill with ice. Top with ginger beer. Stir. Garnish with a lime wheel.;N/A;N/A;N/A;2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, .75 oz Lime Juice, 1 top Ginger Beer;Jeff Hollinger;N/A;N/A;Lime Wheel;N/A
Bay City Shandy;N/A;N/A;N/A;Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.;N/A;N/A;N/A;1.5 oz Hophead Vodka, .75 oz Giffard Pamplemousse, .5 oz Lemon Juice, 2 dash Orange Bitters, 1 top IPA;N/A;The Gladly;Phoenix;N/A;N/A
San Fran Shandy;N/A;N/A;N/A;Combine Hophead, lemon juice, King's Ginger, honey syrup, egg white, and bitters in a shaker and dry shake to emulsify egg whites. Add ice and shake vigorously until proper dilution. Strain into a chilled fizz glass. Empty ice out of shakers and fill shaker with ale to create a froth. Pour this froth over the drink and garnish with half an orange wheel.;N/A;N/A;N/A;2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, 3 oz Breckle's Brown Ale, 1 oz Fresh Lemon Juice, .5 oz Honey Syrup, .5 oz Egg White, 2 dash Angostura Bitters;N/A;N/A;San Francisco;Half Orange Wheel;N/A
West Bank;N/A;N/A;Rocks Glass;Combine ingredients and shake with ice. Strain into a rocks glass over fresh ice. Grate nutmeg on top.  *Bywater Spice Mix: Simple syrup infused with Vietnamese cinnamon, licorice root, and clove;N/A;N/A;N/A;1.5 oz HINE Rare VSOP, .5 oz Cynar, .5 oz Bywater Spice Mix*, 1 oz Cold-Brew Coffee;Claire Sprouse;The Bywater;Los Gatos;N/A;N/A
Hotaling White Manhattan;N/A;N/A;N/A;Combine ingredients in a mixing glass and stir with ice. Strain and serve up with an orange twist.;N/A;N/A;N/A;2 oz Christmas Spirit, 1 oz Tempus Fugit Alessio Vermouth Bianco, .25 oz Luxardo Triplum (Triple Sec), 1 dash Fee Brother's Orange Bitters;N/A;N/A;San Francisco;Orange Twist;N/A
Coffey Grain Manhattan;N/A;N/A;Coupe;Combine ingredients in a mixing glass with ice and stir. Strain into a coupe glass and garnish with a flamed orange peel.;N/A;N/A;N/A;2 oz Nikka Coffey Grain Whisky, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Tempus Fugit Abbott's Bitters;N/A;N/A;N/A;Flamed Orange Peel;N/A
Shadowcat;N/A;N/A;Coupe;Combine ingredients in a pint glass, stir with ice to chill. Double strain into a coupe glass. Garnish with mint and lemon wedge flag.;N/A;N/A;N/A;1 oz Luxardo Bitter Bianco, 1 oz Barr Hill Gin, .75 oz Falernum, 1 oz Topo Chico Mineral Water, 1 dash Lemon Bitters;Conal Nielsen;N/A;Houston;Mint, Lemon Wedge;N/A
San Francisco Harvest;N/A;N/A;Coupe;Combine ingredients in a shaker with ice. Shake and double strain into a coupe glass. Garnish with nutmeg.  *Winter Spice Brown Sugar Syrup:  -- 2 qt Brown Sugar -- 2 qt Water -- 3 Tbsp Ground Ginger -- 3 Tbsp Ground Nutmeg -- 1 Tbsp Clove  Heat and simmer the below ingredients in a medium pot for 15 minutes. Strain with cheesecloth.;N/A;N/A;N/A;1.5 oz Junipero Gin, .75 oz Oloroso Sherry, .75 oz Lemon Juice, .75 oz Winter Spice Brown Sugar Syrup*, 1 oz Pineapple Juice;Megan Daniel;Whitechapel;San Francisco;Nutmeg;Junipero Gin 20th Anniversary Signature Cocktail
Negroni D'Amore;N/A;N/A;Old Fashioned Glass;Combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel.;N/A;N/A;N/A;1.5 oz Old Tom Gin, 1 oz Barolo Chinato, 1 oz Tempus Fugit Kina L'Aero d'Or;Jeff Faile;N/A;N/A;Orange Peel;Photo credit: Brian Oh
Radice Amara;N/A;N/A;Coupe;Combine ingredients in mixing glass, and stir with ice to dilution. Strain into a coupe cocktail glass. Garnish with a trimmed carrot ribbon.;N/A;N/A;N/A;1.5 oz Luxardo Bitter Bianco, 1 oz Reisetbauer Carrot Eau De Vie, .75 oz Genevieve Gin;Elyse Blechman;N/A;Houston;Carrot Ribbon;N/A
Don't Rock the Boat Punch;N/A;N/A;N/A;Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally.;N/A;N/A;N/A;1 part No.3 London Dry Gin, 1 part Rooibus Tea (steeped and cooled), 1 part Mulled Cider (cooled), .5 part Clover Honey Syrup, .33 part Cava,   Angostura;Kevin Martin;Eastern Standard;Boston;N/A;N/A
Miyagikyo Kick;N/A;N/A;Coupe;Combine ingredients into a cocktail shaker.  Shake with ice vigorously for 10-15 seconds.  Strain into a chilled coupe glass. No garnish.;N/A;N/A;N/A;1.5 oz Nikka Whisky Miyagikyo Single Malt 12 YO, .75 oz Rare Wine Co. Charleston Sercial Madeira, .75 oz Fresh lime juice, .625 oz Small Hands Food orgeat;Brian Quinn;N/A;N/A;N/A;http://www.foodrepublic.com/2014/11/07/miyagikyo-kick-cocktail-recipe
King's Toddy;N/A;N/A;Mug;Combine ingredients into a hot mug, top with hot water and garnish with a rough orange twist.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, .75 oz Lemon Juice, .5 oz King's Ginger Liqueur, .5 oz Clover Honey Syrup;Kevin Martin;N/A;San Francisco;Orange Twist;N/A
Picadilly;N/A;N/A;Coupe;Combine ingredients into a mixing glass, add ice and shake until properly diluted. Double strain into a glass over fresh ice, garnish with a cucumber wheel.;N/A;N/A;N/A;1.5 oz No.3 London Dry Gin, .5 oz Pimms, 1 bsp Luxardo Amaretto di Saschira, 1 oz Fresh lime juice, .75 oz Simple syrup, 5 leaves Basil leaves;N/A;N/A;N/A;Cucumber wheel;N/A
Elgin Elixir;N/A;N/A;Rocks Glass;Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.;N/A;N/A;N/A;1 oz BenRiach Single Malt 12 YO, 1 oz C. Drouin Calvados Selection, 1 oz Luxardo Aperitivo;Alan Kropf;N/A;San Francisco;N/A;N/A
The Canevari Cocktail;N/A;N/A;Cocktail Glass;Combine ingredients, stir until well chilled, and strain in to a cocktail glass. Serve with an orange twist.;N/A;N/A;N/A;1.5 oz Old Tom Gin, 1 oz Cocchi Vermouth di Torino, .5 oz Luxardo Bitter, 3 dash Angostura Bitters;Jeff Kinder;Bryant's Cocktail Lounge;Milwaukee;Orange Twist;N/A
Erasmus' Revenge;N/A;N/A;N/A;Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.;N/A;N/A;N/A;2 oz Junipero Gin, .5 oz Carpano Antica, 1 bsp Calisaya, 3 dash The Bitter Truth Grapefruit Bitters;Keli Rivers;N/A;N/A;Grapefruit Peel;N/A
The Sparkler;N/A;N/A;Champagne Flute;Combine Luxardo Bitters and Dolin Blanc. Stir in mixing glass until chilled. Strain into flute. Top with prosecco. Zest with grapefruit. Garnish with long grapefruit zest.;N/A;N/A;N/A;.75 oz Luxardo Bitter Bianco, .75 oz Dolin Blanc, 2.5 oz Prosecco;Laurie Sheddan;N/A;Houston;Long Grapefruit Peel;N/A
Shroud of the Inca;N/A;N/A;Coupe;Combine Luxardo, BarSol, and tincture. Ice, stir, and strain into chilled coupe. Top with Prosecco. Gently set candied blood orange wheel (thinly sliced) garnish into drink and serve.  *Castillian Tincture: -- 750 ml Luxardo Grappa Euganea -- 20 g Sliced Blanched Almond -- 2 g Spanish Saffron -- 3 Sliced Madagascan Vanilla Beans -- 3 g Toasted Green Cardamom -- 4 Lemon Peels (pith removed) -- 2 Quartered Dried Pajarero Figs -- 2 Quartered Quartered Medjool Dates  Combine all ingredients, gently agitate twice daily for 14 days. Fine filter and store.  **Candied Blood Orange Wheels: -- 1 Blood Orange (sliced thin - approx. 10 slices/orange) -- .5 c Natural Sugar -- .25 c Water -- 2 Tbsp Corn Syrup  Combine sugar, water, and corn syrup in shallow saucepan. Slow simmer on low heat approx. 10 min. When thickened mixture begins to cling to sides of pan, add orange slices. Allow to simmer for 5 more min. and remove from hardening syrup. Place slices on parchment-lined oven rack. Air dry overnight, then bake 10 min. at 400°F (or dehydrate them).;N/A;N/A;N/A;1 oz Luxardo Bitter Bianco, .25 oz Castilian Tincture*, .75 oz BarSol Supremo Moste Verde Italia Pisco, 2 oz Prosecco;Arien Chabolla;N/A;Houston;Candied Blood Orange Wheel**;N/A
New Beginnings;N/A;N/A;Collins;Combine Luxardo, cachaca, gin, coconut water, tincture and almond extract in a yari (mixing glass). Add ice. Stir for proper dilution (30-40 revolutions). Pour in collins glass over a clarified ice sphere. Top cocktail with Fever-Tree. Add 3 almond slices for garnish.  *Toasted Coconut Tincture: -- 4 oz (by weight) Semisweet Coconut Flakes -- High-Proof Neutral Grain Spirit (preferably Everclear)  Lightly toast semisweet coconut flakes. Put in a small mason jar. Fill jar with high-proof neutral grain spirit. Let sit for 3 days then strain off.;N/A;N/A;N/A;.75 oz Luxardo Bitter Bianco, .75 oz Avua Cachaca Prata, .75 oz Broker's London Dry Gin, .75 oz Coconut Water, 2 dash Toasted Coconut Tincture*, 1 dash Almond Extract, 1 top Fever-Tree Mediterranean Tonic Water;Richard Bailey;N/A;Houston;Sliced Almonds;N/A
Fuji-La;N/A;N/A;Coupe;"Combine Luxardo, gin, apple water and citric acid solution into a shaker tin and shake to chill. Double strain into a coupe glass and garnish with a slice of Fuji apple lightly dusted with cinnamon.  *Apple Water: -- 1 Fuji Apple -- 2 c Water  Slice Fuji apple and combine with water. Vacuum seal and place in a sous-vide for 3-4 hrs at 130°F. Strain apples; water is ready for use.  **Citric Acid Solution: -- 1 ml gram Citric Acid -- 3 ml Water  Combine citric acid and water. Stir until dissolved.";N/A;N/A;N/A;.5 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, 1.5 oz Apple Water*, 1 ml Citric Acid Solution**;Qwesha Byrd;N/A;Houston;Fuji Apple Slice;N/A
The Cliffdiver;N/A;N/A;Collins;Combine rum, curacao, violettes, and lime juice in a shaker, add ice and shake vigorously. Double strain into a chilled collins glass. Add fresh ice in the collins glass and top with chilled ginger beer. Float 2-3 dashes of Angostura Bitters on top and garnish with a grilled pineapple wedge on rim of glass, and two Luxardo Cherries speared through a toothpick, and edible orchid placed on top hanging from the rim.;N/A;N/A;N/A;1.25 oz D'aristi 10 YR Rum, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Tempus Fugit Liqueur de Violettes, 1 oz Lime Juice, .5 oz Tahitian Vanilla Bean Syrup, 1 float Ginger Beer, 3 dash Angostura Bitters;N/A;N/A;N/A;Grilled Pineapple Wedge, Luxardo Cherries, Edible Orchid;*Ice: Bar Ice & Vintage Ice
Irish Goodbye;N/A;N/A;Irish Coffee glass;Combine the coffee and whiskey in a preheated cup. Top with Irish cream and pour the absinthe over the back of a spoon to float. Garnish.;N/A;N/A;N/A;1.5 oz Nikka Coffey Grain Whisky, .25 oz Absinthe, 4 oz Hot coffee, 2-3 oz Homemade Irish Cream;Ari & Micah Wilder;N/A;Washington DC;Star Anise;*this drink was served at Portland Cocktail Week 2013
Beachcomber;N/A;N/A;Cocktail Glass;Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.;N/A;N/A;N/A;1.5 oz Light Rum, .75 oz  Cointreau, .75 oz Lime Juice, .25 oz Luxardo Maraschino Liqueur, .125 oz Simple Syrup (optional);N/A;N/A;N/A;N/A;Photo credit: Roger Kamholz
Old Tom and The Sea;N/A;N/A;N/A;Combine the ingredients. Shake and strain over ice. Lemon and/or cherry flag garnish.  Add soda water if you'd like to water it down.;N/A;N/A;N/A;1.5 oz Old Tom Gin, 1 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice;Kelly McCarthy;N/A;N/A;Lemon, Cherry Flag;N/A
Salty Swede;N/A;N/A;Old Fashioned Glass;Combine the Karlsson's Gold Vodka and grapefruit in a shaker with ice. Shake for 15 seconds and strain over fresh ice in an old-fashioned glass that has a salted rim. Top the cocktail with the club soda.;N/A;N/A;N/A;2 oz Karlsson's Gold Vodka, 2 oz Fresh grapefruit juice, 1 oz Club soda, 1 tincture Grapefruit bitters;N/A;N/A;N/A;N/A;Play around with different kinds of salt. The salty swede uses yuzu salt.
The Last Tango;N/A;N/A;Cocktail Glass;"Combine the lime, elderflower, tincture and cherries into a shaker tin. Muddle the cherries and then add the Junipero Gin. Shake with ice. Double strain into a chilled cocktail glass. Garnish with a lime wheel.  *Chili Tincture: -- Chiles (Habaneros or Bird’s eye Chiles recommended) -- Grain Alcohol or Vodka  Fill a small jar with stemmed hot chili peppers and cover with grain alcohol or high-proof vodka. Let soak for 3 days; strain.";N/A;N/A;N/A;1.5 oz Junipero Gin, 1 oz Giffard Elderflower Liqueur, 1 oz Lime Juice, 8-9 drops Chili Tincture*, 6  Luxardo Maraschino Cherries;Kim Rosselle;Trick Dog;San Francisco;Lime Wheel;Junipero Gin 20th Anniversary Signature Cocktail
Pink & Black;N/A;N/A;Collins;Combine the Pink Pigeon, the cola, and the lime juice, in a tall Collins glass full of ice cubes.;N/A;N/A;N/A;2 oz Pink Pigeon Rum, 3 oz Coca-Cola, .5 oz Lime Juice;N/A;N/A;N/A;N/A;N/A
Pink & Ginger;N/A;N/A;Collins;Combine the Pink Pigeon, the ginger beer, and the lime juice, in a tall Collins glass full of ice cubes.;N/A;N/A;N/A;2 oz Pink Pigeon Rum, 3 oz Ginger Beer, .5 oz Lime Juice;N/A;N/A;N/A;N/A;N/A
A Regal Air;N/A;N/A;Martini Glass;Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.;N/A;N/A;N/A;3 oz Domingo Perez Marin 'la Guita' Manzanilla Sherry, .5 oz King's Ginger Liqueur, .25 oz Chartreuse , .25 oz Juice of an Orange;Amy Lewis;One Sixty Blue;Chicago, Ill;N/A;N/A
King's Mule;N/A;N/A;Collins;Combine vodka, ginger liqueur, lemon juice, ginger-cinnamon syrup and bitters in tins with ice and shake. Double strain into collins glass over fresh ice and top with club soda.  *Ginger-Cinnamon Syrup:  Equal parts demerara sugar, clover honey, fresh ginger juice, water. Combine demerara sugar and clover honey and top with boiling water. Stir to dissolve. Once cooled add fresh ginger juice and stir to mix.;N/A;N/A;N/A;1.5 oz Absolut Vodka, .5 oz King's Ginger Liqueur, 1 oz Fresh Lemon Juice , 1 oz Ginger-Cinnamon Syrup*, 2 dash Bar Keep Lavender Spice Bitters, 1 top Club Soda;Daniel Romero;Miles;Brooklyn;Lemon Twist;N/A
Caipirinha;Ordinary Drink;Alcoholic;N/A;Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.;Limette und Zucker in ein old-fashioned Glas geben und vermengen (die beiden Zutaten mit einem Mixer oder einem Holzlöffel vermengen). Füllen Sie das Glas mit Eis und geben Sie den Cacha dazu.;Mettere il lime e lo zucchero nel bicchiere vecchio stile e pestare (schiacciare i due ingredienti insieme usando un pestello o un cucchiaio di legno).Riempi il bicchiere di ghiaccio e aggiungi la Cachaça.;https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg;1/2 oz Cachaca, 1 Lime, 2 tsp Sugar;N/A;N/A;N/A;N/A;N/A
Bubbly Bird;N/A;N/A;Champagne Flute;Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.;N/A;N/A;N/A;1 oz Pink Pigeon Rum, 1 fill Champagne, 1 dash Angostura bitters, 1 dash Peach bitters, 1 dash Luxardo Fernet;Kate Grutman;N/A;N/A;Lemon twist;N/A
Framboise de Pigeon;N/A;N/A;Martini Glass;Double strain into a martini glass.;N/A;N/A;N/A;2 oz Pink Pigeon Rum, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Lemon juice, .25 oz Simple syrup*;Cristina Bini;N/A;New York;Sweet Paprika;*Simple syrup is infused with basil leaves and cherry tomato confit muddled.
Far From the Tree;N/A;N/A;Fizz Glass;Dry Shake (no ice), Wet Shake (with ice) & Double Strain.;N/A;N/A;N/A;1.5 oz C. Drouin Calvados Selection, .75 oz Orgeat, .5 oz Lemon Juice, 1 oz Pear & Celery Puree, .5  Egg white;Brian Means;Dirty Habit;San Francisco;Aged Kaffir Lime Zest;N/A
Luxardo Sour;N/A;N/A;Old Fashioned Glass;Dry shake all ingredients for 20-30 seconds. Then shake with ice. Double strain over fresh ice in an old fashioned glass. Garnish with wide lemon swath.;N/A;N/A;N/A;1.25 oz Luxardo Amaretto di Saschira, 1 oz Rye Whiskey, 1 oz Lemon Juice, .75 oz Angostura Bitters, 1  Egg White;Adam Fortuna;Artusi;Seattle;Lemon Twist;N/A
The Molino;N/A;N/A;Pilsner Glass;Dry shake all ingredients. Hard shake with ice. Double strain into small pilsner glass. Garnish with Luxardo Cherry.;N/A;N/A;N/A;1.5 oz Bourbon, .5 oz Luxardo Amaretto di Saschira, .5 oz Demerara Syrup (1:1), .75 oz Lemon Juice, 1  Egg White;N/A;Palizzi Social Club;Philadelphia;Luxardo Cherry;N/A
The King's Egg Nog;N/A;N/A;Goblet;Dry shake and then shake with hand cracked ice. Serve in a goblet with grated nutmeg.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, .25 oz English Harbour Rum, 3 spoon Sugar, 1 whole Egg, .5 oz Milk, .5 oz Cream;N/A;N/A;N/A;Nutmeg grated;N/A
White Walker Flip;N/A;N/A;Royal Coupette;Dry shake whole egg until emulsified. Then add Kold Draft ice and all ingredients except bitters and shake vigorously until cold. Strain into chilled royal coupette and garnish with apple wheels.;N/A;N/A;N/A;1 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Green Chartreuse, .75 oz Sweetened Apple Cider, 2 dash Baked Apple Bitters, 1 whole Egg;N/A;N/A;N/A;King's Ginger-Infused Apple Wheels;N/A
Hibiscus Pisco Sour;N/A;N/A;Coupe;Dry shake, add ice and shake again. Strain into a coupe glass.;N/A;N/A;N/A;2 oz BarSol Primero Quebranta Pisco, .75 oz Lime juice, .75 oz Hibiscus/rose syrup, 1  Egg white;Naren Young;Saxon & Parole;New York;N/A;N/A
Lux Japanese Lemonade;N/A;N/A;Copita Glass;Dry Shake, add ice and shake for 10 seconds. Double strain into a Copita Glass. Garnish with Dill.;N/A;N/A;N/A;1.5 oz No.3 London Dry Gin, .5 oz Jummai Ginjo Sake, .25 oz Luxardo Limoncello, .25 oz Dill Cordial, .5 oz Meyer Lemon Juice, .25 oz Yuzu Juice, .5 oz Fresh egg White;Carlo Splendorini;Michael Mina Restaurant Group;San Francisco;Dill;N/A
Flip and Flight;N/A;N/A;N/A;Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution.;N/A;N/A;N/A;30 ml Pink Pigeon Rum, 15 ml Dry Oloroso Sherry, 15 oz Grenadine, 1 whole Egg,   Vanilla-Salt Spray;Ryan Chetiyawardana;N/A;United Kingdom;N/A;N/A
Dry Mauritian Sour;N/A;N/A;N/A;Dry shake, shake with cubed ice, double strain into chilled glass.;N/A;N/A;N/A;40 ml Pink Pigeon Rum, 10 ml Campari, 10 ml Lavender syrup, 10 ml Lemon juice , 10 ml Orange juice, 25 ml Egg white;Ryan Chetiyawardana;N/A;United Kingdom;N/A;N/A
Platonic Snuggle;N/A;N/A;Shorty Beer;Dry shake, strain, top with porter.;N/A;N/A;N/A;.5 oz H by HINE, .5 oz El Dorado 12 Year Old Rum, .5 oz Hamilton Black Jamaican Pot Still Rum, .5 oz Cinnamon Syrup, .5 oz Heavy Cream, 1 tsp St. Elizabeth Allspice Dram, 1 whole Egg, 1 top Founders Porter;Natasha David;Nitecap;N/A;Orange Twist, Grated Nutmeg;N/A
The Brightside;N/A;N/A;Old Fashioned Glass;Dry shake, then serve old-fashioned glass with crushed ice. Drizzle Bitter on top to finish.;N/A;N/A;N/A;1.5 oz Pink Pigeon Rum, 2.5 oz Fresh orange juice, 1 Tbsp Luxardo Bitter, 1 dash Milk powder (or cream);Brian Floyd;N/A;N/A;N/A;N/A
The King's Froth & Frizz;N/A;N/A;Champagne Flute;Dry shake, then shake with ice. Double strain into flute or sour glass. Top with a Saison.  Zest orange over top and garnish with a star anise.;N/A;N/A;N/A;1 oz BarSol Selecto Italia Pisco, 1.25 oz King's Ginger Liqueur, .5 oz Peach Brandy, .5 oz Lemon juice, .5 oz Egg white;N/A;Jupiter Olympus;San Francisco;Star Anise;N/A
The Queen's A Redhead;N/A;N/A;Collins;Dry shake, then shake with ice. Double strain over cubed ice.;N/A;N/A;N/A;50 ml King's Ginger Liqueur, 4  Pink Peppercorns, 25 ml Fresh lemon juice, 15 ml Gomme syrup, 25 ml Egg white;N/A;N/A;United Kingdom;Small grind of black pepper;N/A
Delicious Sour;N/A;N/A;Coupe;Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice.;N/A;N/A;N/A;2 oz C. Drouin Calvados Selection, .75 oz Lemon Juice, .75 oz Giffard Abricot du Roussillon, .5 oz Egg White;Ken Luciano;The Forgery;San Francisco;Lemon Twist;N/A
Jalapeño Sour;N/A;N/A;Double Rocks Glass;dryshake/shake/dblrocks  garnish jalapeño slice;N/A;N/A;N/A;2 oz Chinaco Blanco Tequila, .5 oz Green Chartreuse, .5 oz Lime juice, 1 oz Pineapple juice, .5 oz Jalapeño Syrup, .5 oz Egg White;Kevin Diedrich;N/A;N/A;Jalapeño slice;N/A
Hanny's Hot Apple Toddy;N/A;N/A;Glass Mug;Fill a 10-oz mug with boiling water. When the mug is hot, pour out the water and add the amaretto and cider. Top with a layer of cream. Grate fresh cinnamon on top as a garnish.;N/A;N/A;N/A;1.5 oz Luxardo Amaretto di Saschira, 8 oz Apple Cider, 1 oz Heavy Cream, 1 oz Cinnamon;St. John Frizell;N/A;N/A;Cinnamon;N/A
The Alpine Mist;N/A;N/A;Martini Glass;Fill a cocktail shaker with ice. Add all ingredients except the garnish and shake well. Stain into a very chilled martini glass (martini glass should have a sugar rim on half of the glass) and top with a splash of ginger beer. Garnish with a mint leaf and orange peel. Right before serving drop in a chip of dry ice for the mist.;N/A;N/A;N/A;2 oz Mezcal, 2 oz Reed's Premium Ginger Brew, 1 tsp Seedless Blackberry Jam, 1  Lime, Juiced, 12  Mint Leaves, Muddled;Tineke Triggs;N/A;N/A;Mint Leaf, Orange Peel;Cocktail created by interior designer contest winner, Tineke Triggs.
Division Bell;N/A;N/A;Martini Glass;Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.;N/A;N/A;N/A;1 oz Mezcal, .75 oz Aperol, .5 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice;Phil Ward;N/A;N/A;Grapefruit Twist;Photo credit: Tina Rupp
Golden Gun;N/A;N/A;Collins;Fill a collins or highball glass with cracked or cubed ice. Add all the ingredients to a cocktail shaker filled with cracked or cubed ice. Shake and strain into the glass.  *SC Demerara Syrup: -- 2 C Water -- 1 C Demerara Sugar -- 3 C Granulated Sugar  Bring water to boil in a saucepan over high heat. Add the demerara sugar and stir vigorously with a whisk (or use an immersion blender) until sugar is dissolved, about 1 minute (the water should become clear). Add granulated sugar and stir vigorously until dissolved, about 1 minute. Remove from heat and let cool.;N/A;N/A;N/A;1 oz Blended Lightly Aged Rum, 1 oz Blended Aged Rum, .75 oz Lime Juice, .5 oz Luxardo Apricot Liqueur, .5 oz SC Demerara Syrup*, .5 oz Grapefruit Juice, 2 dash Angostura Bitters;N/A;N/A;N/A;N/A;N/A
