residual sugar,alcohol,density,quality
2.2,11.9,0.99512,bad
1.5,11,0.99395,bad
8.8,10.1,0.99824,bad
2.2,11,0.9964,bad
1.8,11.8,0.99504,bad
2.3,10.5,0.99786,bad
2.2,11,0.9964,bad
1.8,11.8,0.99504,bad
8.8,10.1,0.99824,bad
2.3,11.2,0.99516,bad
1.9,11,0.99604,good
2.3,10.2,0.99786,bad
2.2,9.2,0.99736,bad
2.3,11.2,0.99516,bad
3.3,12,0.99468,good
1.9,10.5,0.99746,bad
2,9.8,0.99748,bad
1.9,9.5,0.9971,bad
2,9.8,0.99748,bad
1.9,10.5,0.99746,bad
2.3,11.8,0.99543,bad
2.3,11.8,0.99543,bad
1.4,10.4,0.99791,bad
2.8,12.9,0.99356,good
1.6,11.4,0.99425,bad
2.2,12.4,0.99509,good
5,12.5,0.99484,good
2.6,10,0.99834,good
2.3,9.7,0.99864,good
3.8,12.1,0.99498,good
2,11.1,0.99566,good
4.1,12,0.99745,good
2.1,12.4,0.99408,good
1.8,11.9,0.99552,good
1.8,11.9,0.99552,good
1.8,11.9,0.99552,good
2.1,12.4,0.99408,good
2.2,11.2,0.99536,good
2.1,12.1,0.99458,good
2.7,12.2,0.99538,bad
1.9,10.4,0.99648,bad
2.1,11.3,0.99568,bad
2,11.1,0.99613,bad
2.3,11.3,0.99519,good
2,10,0.99735,bad
1.9,11.1,0.99518,bad
1.6,9.3,0.99592,bad
2.1,9.5,0.99654,bad
2,11.2,0.99546,bad
1.9,11.1,0.99518,bad
2.4,11,0.99554,bad
2.4,11.9,0.99604,good
2.1,9.2,0.99733,bad
2.4,12.2,0.9943,bad
2.9,10.2,0.99669,bad
1.9,10.9,0.99724,bad
1.9,10.9,0.99724,bad
2.4,11.6,0.99643,good
1.7,10.7,0.99605,bad
5.9,12.1,0.99658,good
2.1,9.4,0.997,bad
2.1,9.4,0.997,bad
2.6,9.1,0.99801,bad
3.6,11.3,0.99416,good
1.4,10.4,0.9969,bad
1.9,10.5,0.99774,bad
1.9,10,0.99712,bad
2.1,12.9,0.99418,bad
1.9,10.5,0.99774,bad
1.4,10.4,0.9969,bad
2,11.3,0.99562,bad
1.4,11.4,0.9947,good
1.6,9.4,0.99693,bad
1.7,9.4,0.99596,bad
1.5,10.9,0.99556,bad
1.7,9.4,0.99596,bad
2,9.4,0.99694,bad
2,9.4,0.99554,bad
2,9.4,0.99694,bad
2.5,9.4,0.99918,bad
2,10.1,0.99697,bad
2.2,12.8,0.99378,good
2.2,12.8,0.99378,good
1.4,9.1,0.99554,bad
1.65,12.9,0.99162,bad
2.2,11.5,0.99495,good
1.5,10.6,0.99676,good
2.05,11.7,0.99516,good
1.8,12.8,0.9928,good
1.6,10.3,0.99603,bad
1.8,12.8,0.9928,good
2.05,11.7,0.99516,good
2,11.7,0.99516,good
3.6,12,0.99549,good
2.8,10.9,0.99722,bad
1.7,12.3,0.99354,good
2,10.4,0.9957,bad
2.1,10,0.99604,bad
1.6,10,0.99635,bad
2,11.2,0.99454,bad
2.2,11.4,0.99598,bad
2.2,12.6,0.99486,good
0.9,12.7,0.99007,bad
0.9,12.7,0.99007,bad
1.8,10.4,0.99636,bad
2.4,11.9,0.99642,bad
2.4,11.9,0.99642,bad
2.1,10.5,0.99584,bad
2.3,12.3,0.99506,bad
1.8,10.5,0.99568,good
2.8,10.4,0.99822,bad
1.9,12.6,0.99364,bad
2.2,11.6,0.99378,bad
2.5,10.1,0.99586,bad
1.8,10.5,0.99568,good
2.1,11.5,0.99488,good
1.8,11,0.99514,good
4.1,9.6,0.99854,bad
2.6,10.4,0.99592,bad
2.5,9.7,0.99739,bad
2.4,10.6,0.99683,good
2.5,12.5,0.99356,good
1.8,9.2,0.99672,bad
6.2,12.6,0.9953,good
2.2,11.1,0.99692,bad
2.2,10.2,0.99756,bad
1.7,9.8,0.99547,bad
2.2,11.1,0.99692,bad
8.9,10.9,0.99859,good
3.3,12.2,0.99294,bad
1.4,11.4,0.99438,bad
1.7,10.7,0.99612,bad
1.8,10.4,0.99634,bad
1.7,10.9,0.99702,bad
1.8,10.8,0.99704,bad
1.8,10.4,0.99634,bad
1.4,9.2,0.99702,bad
2.4,12.9,0.99258,bad
2.3,12.7,0.99426,good
2,9.1,0.99747,bad
2,9.1,0.99747,bad
4,12.1,0.99586,good
3.9,9.1,0.99784,bad
2.4,11.6,0.9971,good
4,12.1,0.99586,good
1.8,9.9,0.9981,bad
1.8,12.5,0.99462,good
1.9,11.4,0.9956,bad
2.4,11.8,0.99565,bad
2,11.8,0.99418,bad
2.4,10.2,0.9963,bad
2.4,12.5,0.99358,good
2.2,10.9,0.99572,good
2.2,10.9,0.99572,good
2.8,10.8,0.997,bad
1.5,11.1,0.99498,good
8.1,9.2,0.99892,bad
1.8,9.5,0.9968,bad
2.7,10.7,0.9972,bad
8.1,9.2,0.99892,bad
2,10.2,0.99769,good
2,11.4,0.99534,bad
6.4,11,0.99817,bad
6.4,11,0.99817,bad
8.3,12.3,0.99316,good
1.4,11.8,0.99471,bad
8.3,12.3,0.99316,good
1.8,9.5,0.99685,bad
2.4,12,0.99617,bad
1.8,9.5,0.99685,bad
1.8,9.6,0.99529,bad
4.7,11.6,0.99738,good
1.6,11.2,0.994,bad
1.5,9.9,0.99735,good
1.5,9.9,0.99735,good
1.9,11.8,0.99451,good
2,11.4,0.99546,bad
2,11.5,0.99479,bad
2.2,12,0.99615,good
5.5,10.8,0.99655,bad
2.5,10.5,0.99772,bad
5.5,10.8,0.99655,bad
1.5,9.4,0.99666,bad
2.1,12.5,0.99358,good
1.5,9.4,0.99666,bad
2.1,12.4,0.99392,bad
2.1,12,0.99388,bad
1.7,11.2,0.99402,bad
2.1,12,0.99388,bad
2.2,12.4,0.9936,bad
2.1,12.8,0.99374,bad
1.9,12.3,0.99376,bad
2,11.7,0.99523,good
3.3,9.5,0.99855,bad
2.1,10.8,0.9982,bad
1.4,10,0.99593,bad
2,12.3,0.99471,good
1.5,11,0.99396,bad
1.6,9.5,0.99698,bad
4.3,13.6,0.9902,bad
2.5,11.3,0.99572,bad
2.5,11.3,0.99572,bad
2.5,11.3,0.99572,bad
2.1,13.3,0.99252,bad
2.5,12.9,0.99256,bad
2.5,13.1,0.99235,good
1.8,12.3,0.99352,bad
1.4,12.3,0.9922,bad
1.9,11.2,0.99674,bad
2.2,11.5,0.99557,bad
1.7,11.3,0.99394,good
1.7,13.5,0.9915,bad
2.9,11.5,0.99379,bad
2.7,10,0.9984,bad
3.3,10.5,0.99798,bad
1.9,10.4,0.9977,bad
1.7,9.5,0.99341,bad
1.8,13.6,0.9933,good
5.5,11.2,0.99684,good
1.7,11.8,0.99524,good
1.7,11.9,0.9946,bad
2,11.4,0.99774,bad
2,11.4,0.99774,bad
3.7,9.1,0.99786,bad
2,9.5,0.99764,bad
1.7,9.5,0.9969,bad
2.5,11,0.99624,bad
2.4,11.4,0.99354,bad
1.8,10,0.99672,bad
2.3,10.1,0.99588,bad
2.5,10.4,0.99672,bad
1.8,9.8,0.996,bad
6.2,11.8,0.99702,good
2,11.6,0.99526,bad
2,12,0.99585,bad
2.8,12.8,0.99473,good
2.5,12.5,0.99352,bad
2.2,9.8,0.99616,bad
2.1,11.1,0.99622,bad
2.2,11.4,0.99544,bad
2.2,9.8,0.99616,bad
1.75,11.8,0.99524,good
2.1,12.9,0.9924,good
2.8,10.6,0.99572,bad
2.2,10.8,0.99728,bad
2.3,11.1,0.99676,good
1.4,10.2,0.99551,bad
2.3,11.8,0.99434,good
1.7,10,0.99692,bad
1.7,10,0.99692,bad
1.9,9.4,0.99634,bad
2,10.2,0.99709,bad
2.5,12.4,0.99528,good
2.8,12,0.99384,bad
2.3,11.5,0.99502,bad
1.6,10.5,0.99667,bad
2.2,10.8,0.99522,bad
2.1,12.3,0.99649,bad
1.7,9.5,0.99716,bad
1.7,9.5,0.99716,bad
2.2,11.5,0.99541,bad
5.6,11.2,0.99572,bad
2.4,12.7,0.99318,good
2.1,11.4,0.99346,bad
2.4,11,0.99599,bad
2.4,11,0.99599,bad
1.65,11.4,0.99478,bad
2.5,10.5,0.99754,bad
1.6,9.3,0.99572,bad
2.1,10.9,0.99538,bad
2,11.9,0.99346,bad
7.8,12.2,0.9963,bad
2,11.9,0.99346,bad
2.1,10.9,0.99538,bad
1.8,9.6,0.99616,bad
4.6,12.5,0.99652,bad
2.3,10.8,0.99551,bad
2.5,12.4,0.99439,good
2.3,10.8,0.99551,bad
1.8,9.5,0.99588,bad
1.8,9.5,0.99633,bad
2.3,9.5,0.99686,bad
1.5,9.8,0.99458,bad
2,10.9,0.9951,bad
2.3,9.5,0.99686,bad
1.5,9.8,0.99458,bad
1.9,11.2,0.99419,good
1.8,11.7,0.99516,good
5.8,9.4,0.99878,bad
2.1,11,0.99534,good
2.1,11,0.99534,good
2.1,11,0.99534,good
1.7,10,0.99752,bad
2.1,11,0.99534,good
2,11.2,0.99428,good
2.1,10.4,0.99498,bad
2.1,9.3,0.9957,bad
2.1,10.4,0.99498,bad
1.9,10.5,0.99659,bad
1.9,10.4,0.99628,bad
2.1,11.3,0.99488,bad
2,9.5,0.99677,bad
1.9,12,0.99408,bad
1.9,10.6,0.996,bad
1.3,10.9,0.99478,bad
1.8,11.5,0.99734,bad
1.8,11.5,0.99734,bad
2.2,9.6,0.99678,bad
2.2,12,0.99638,bad
2.5,10.3,0.9992,bad
2.6,9.4,0.99922,bad
4.1,9.2,0.99592,bad
2,9.6,0.99769,bad
1.8,13.6,0.99157,good
2.1,9.5,0.99718,bad
2.7,11.8,0.9947,bad
2.6,10.8,0.99621,bad
2.1,9.5,0.99718,bad
2.2,9.3,0.99614,bad
2.2,12.8,0.99242,bad
12.9,11.5,0.99572,bad
1.7,9.4,0.99659,bad
2.2,12.8,0.99242,bad
2.5,9.6,0.99798,bad
4.3,11.8,0.99488,bad
1.7,9.3,0.99494,bad
2.5,9.8,0.99729,bad
2,12.2,0.99414,bad
2.4,9.5,0.9983,bad
13.4,10.3,0.99721,bad
1.8,10.5,0.99655,bad
1.7,10,0.99502,bad
1.8,10.5,0.99655,bad
2.2,11.1,0.9949,bad
2.3,10.9,0.99514,bad
2.3,10.9,0.99514,bad
2.2,9.8,0.9963,bad
1.8,9.8,0.99627,bad
1.4,9.5,0.99569,bad
1.9,10.9,0.99628,bad
2.4,11,0.99358,bad
1.8,9.2,0.99499,bad
4.8,11,0.99633,bad
2.7,11.3,0.99538,bad
2.7,11.3,0.99538,bad
1.8,9.3,0.99632,bad
2,11.2,0.99437,bad
2.5,9.8,0.99726,bad
2.2,9.6,0.9978,bad
1.8,11.8,0.99456,bad
2.3,10.3,0.99564,bad
2.3,10.3,0.99564,bad
2.3,11.4,0.996,bad
2,9.5,0.99668,bad
1.8,14,0.9908,good
1.6,14,0.99084,bad
1.6,11.7,0.9935,bad
1.9,11.2,0.99385,bad
2,9.3,0.99494,bad
2.1,11.2,0.9944,bad
2.3,9.5,0.99688,bad
6.3,12,0.99566,bad
1.9,9.7,0.99636,bad
2.3,9.5,0.99688,bad
1.7,11.5,0.9948,good
1.9,10.4,0.9956,bad
1.9,10.4,0.9956,bad
2,10.9,0.99619,bad
2.7,10.2,0.99734,bad
2.3,10.9,0.99476,bad
1.8,10.5,0.99734,bad
2.5,12.4,0.99328,bad
2.6,13,0.99286,bad
4.5,10.2,0.99914,bad
4.5,10.2,0.99914,bad
1.9,11,0.99521,bad
2.1,10.9,0.99638,bad
2.4,12.4,0.99362,bad
1.9,9.7,0.99672,bad
2.1,10.9,0.99638,bad
4.3,9.5,0.99558,bad
4.3,9.5,0.99558,bad
2.1,12.1,0.99323,bad
1.4,12.2,0.99191,bad
2.1,10.9,0.99476,bad
2.15,12.5,0.99444,bad
2,11.7,0.99598,bad
2.1,11.2,0.99576,bad
1.8,11.2,0.99501,bad
2.3,9.2,0.9955,bad
1.9,9.8,0.99612,bad
2.5,10.1,0.9979,bad
3.9,11.1,0.99524,bad
2.5,10.1,0.9979,bad
1.4,9.2,0.996,bad
1.9,9.8,0.99612,bad
3,12.8,0.9929,bad
1.9,10.5,0.99532,bad
2.3,10.1,0.99558,bad
2.4,10.1,0.99556,bad
2,9.8,0.99616,bad
1.2,12.5,0.99258,bad
2.2,11.9,0.99638,bad
2,9.8,0.99616,bad
1.7,9.1,0.99652,bad
2.6,10.1,0.99796,bad
1.2,12.5,0.99258,bad
1.8,11.4,0.99392,bad
1.8,11,0.99495,good
1.7,10.6,0.9948,bad
1.7,10.6,0.9948,bad
1.7,10.6,0.9948,bad
1.7,10.6,0.9948,bad
1.8,9.3,0.9955,bad
2.1,9.8,0.99616,bad
2.1,9.8,0.99616,bad
3.8,9.2,0.99668,bad
1.7,9.7,0.99581,bad
2.2,9.6,0.9976,bad
2,10,0.99608,bad
2.4,12.6,0.99387,bad
1.4,9.5,0.99448,bad
1.4,9.5,0.99448,bad
1.4,9.5,0.99448,bad
1.7,10.5,0.99538,bad
1.7,10.5,0.99538,bad
1.7,10.5,0.99538,bad
1.7,10.4,0.99589,bad
1.7,10.5,0.99538,bad
2.6,11,0.99852,bad
2.3,10.2,0.99613,bad
2.1,11.4,0.99472,bad
1.8,9.5,0.99587,bad
1.8,9.5,0.99587,bad
2.8,10.8,0.99518,bad
2,10,0.99654,bad
2.3,11.8,0.99332,bad
1.9,10.3,0.9969,bad
1.9,10.3,0.9969,bad
2.3,10,0.99568,bad
1.8,10.1,0.99464,bad
1.8,10.1,0.99464,bad
2.5,11.1,0.99648,bad
5.4,9.5,0.99736,bad
1.4,10.0333333333333,0.99704,bad
2.3,10.9,0.99699,bad
2.5,10.1,0.99724,bad
1.4,10.0333333333333,0.99704,bad
2,9.8,0.99652,bad
1.9,11.8,0.995,bad
2.2,9.5,0.9971,bad
1.7,9.8,0.99576,bad
2.2,10.5,0.99725,bad
2.1,9.8,0.99656,bad
1.6,10.4,0.99396,bad
1.7,9.2,0.99623,bad
3.1,11.6,0.99476,bad
1.7,9.2,0.99623,bad
3.8,9.3,0.99664,bad
1.2,9.8,0.99471,bad
2,9.9,0.99586,bad
1.4,10,0.9946,bad
2.3,12.2,0.9953,bad
2,9.9,0.99609,bad
2.6,10.8,0.99557,bad
2.6,10.8,0.99557,bad
1.8,9.6,0.99534,bad
2.1,9.9,0.99613,bad
2.1,9.9,0.99613,bad
1.8,9.5,0.99593,bad
3.4,9.2,0.99668,bad
1.8,9.6,0.9961,bad
1.8,9.6,0.9961,bad
6.1,10.3,0.99718,bad
2.2,9.7,0.99524,bad
2.3,12.5,0.99292,bad
2.4,11,0.99612,bad
1.3,9.8,0.9942,bad
2,10.2,0.99612,bad
3.9,9.2,0.99669,bad
1.6,9.55,0.99745,bad
1.6,9.55,0.99745,bad
2,9.9,0.99584,bad
2.2,10.2,0.9966,good
2.2,11.1,0.9956,bad
2.1,9.9,0.9962,bad
2.1,9.9,0.9962,bad
2,11.9,0.9963,bad
1.7,10,0.996,good
2.6,10.7,0.9985,bad
2,11.3,0.9952,good
5.1,10.9,0.9974,bad
2.1,10.7,0.995,bad
2.2,12.4,0.995,good
2.1,10.7,0.995,bad
1.8,11.9,0.9936,bad
2.4,10.6,0.9963,bad
5.1,10.9,0.9974,bad
2,10.1,0.9963,bad
2.2,9.6,0.9994,bad
1.6,9.4,0.9966,bad
2.2,9.6,0.9994,bad
2.5,12.1,0.9952,good
1.6,9.8,0.995,bad
2.2,9.9,0.9956,bad
1.6,9.8,0.995,bad
1.6,9.4,0.9965,bad
2.1,11.4,0.9956,bad
3.9,11,0.9968,bad
1.4,9.6,0.9974,bad
1.4,9.6,0.9974,bad
1.8,12.1,0.9971,bad
2.5,11.2,0.9957,bad
1.9,11,0.9962,bad
2.2,11.3,0.996,bad
1.8,10.4,0.9956,bad
2.1,9.9,0.9958,bad
1.6,11.7,0.9944,bad
1.8,10.1,0.9955,good
15.4,9,1.00369,bad
15.4,9,1.00369,bad
1.6,8.5,0.99914,bad
4.8,11.1,0.99577,bad
1.7,10.3,0.996,bad
2.2,11.0666666666667,0.99566,bad
2,11.3,0.9947,good
5.2,9.56666666666667,0.99713,bad
1.9,9.8,0.99712,bad
1.75,11.7,0.99322,bad
2.2,11.1,0.99566,bad
5.2,9.6,0.99713,bad
1.9,9.8,0.99712,bad
1.9,9.7,0.99701,bad
1.9,9.7,0.99683,bad
2,11.3,0.99472,good
2,11.3,0.9947,good
2.7,11,0.99732,good
2,11.6,0.99374,good
1.9,9,0.99706,bad
2.2,10.9,0.99974,bad
1.6,10.9,0.99467,bad
1.8,10.55,0.99236,bad
1.9,9,0.99706,bad
1.7,10.5,0.99603,bad
1.7,11.9,0.99458,good
2.3,10.4,0.99724,bad
2.1,10,0.99664,bad
2.3,10.4,0.99545,bad
2.4,10.8,0.99522,bad
1.7,9.7,0.9958,bad
1.7,9.7,0.9958,bad
2.1,10,0.99728,good
2.3,11,0.99648,bad
2.1,10,0.99728,good
2.1,9.7,0.99705,bad
1.4,9.7,0.99578,bad
3.75,12.6,0.99334,bad
2.6,11.1,0.99656,bad
1.8,11,0.99336,bad
13.8,8.8,1.00242,bad
2.2,13.5666666666667,0.99182,good
13.8,8.8,1.00242,bad
2.2,13.6,0.99182,good
5.7,10.2,0.99808,bad
3,10.6,0.99828,bad
1.5,10.1,0.99498,bad
3,10.6,0.99828,bad
2.1,10.3,0.99719,bad
1.5,10.7,0.99542,bad
2,10.9,0.99592,bad
2.1,9.7,0.99606,bad
2.1,10.3,0.99546,bad
1.9,10.6,0.99496,bad
1.7,11.4,0.9942,bad
2.1,10.8,0.99448,bad
1.8,12.4,0.99344,bad
1.7,11.4,0.9942,bad
1.6,11.95,0.99348,bad
1.9,9.7,0.99636,bad
1.4,10,0.99459,good
1.9,10.6,0.99492,bad
1.9,9.7,0.99636,bad
2.3,11.5,0.99508,bad
2.3,10.8,0.99582,bad
2.3,11.5,0.99508,bad
1.5,9.6,0.99508,bad
4.3,9.4,0.99642,bad
2.4,9.8,0.99638,bad
2.5,11,0.99555,bad
2.3,11.4,0.99605,bad
1.8,9.95,0.996,bad
2,10.8,0.99562,bad
2.3,11.4,0.99605,bad
2.1,10.6,0.99814,bad
1.8,11.1,0.9941,bad
2.2,9.7,0.99661,bad
2.1,9.8,0.99712,bad
2.2,10.4,0.99588,bad
1.8,10.5,0.99294,bad
4.1,9.23333333333333,0.99842,bad
4.1,9.25,0.99842,bad
2.3,10.6,0.99633,bad
2,10.3,0.99489,bad
2.2,10.5,0.99647,bad
2.6,10.2,0.99665,bad
2,10.3,0.99489,bad
1.9,9.05,0.99585,bad
2.3,10.6,0.99633,bad
2,10.4,0.9953,bad
2,10,0.99522,bad
2.1,9.7,0.99552,bad
2.2,9.6,0.99553,bad
1.7,10.8,0.9951,bad
2.2,10.1,0.99714,bad
2.1,10.2,0.99608,bad
2.2,11.3,0.99444,bad
2.8,10.2,0.99631,bad
2,9.9,0.99573,bad
1.9,9,0.99717,bad
2.4,11.7,0.99397,good
2.2,9.7,0.9959,bad
1.9,10.3,0.99528,bad
1.9,10.2,0.99484,bad
2.5,12,0.99538,bad
1.8,9.9,0.99714,bad
4.4,11.6,0.99646,bad
2.2,10.9,0.99666,good
1.9,10.75,0.99472,bad
2.2,10.4,0.99758,bad
2.3,11.2,0.9955,good
1.8,10.1,0.99531,bad
2,10.2,0.99575,bad
1.6,12.1,0.99306,bad
2,10.4,0.99783,bad
1.8,11.4,0.99419,good
2.3,9.5,0.99783,bad
2.3,9.4,0.99768,bad
3.7,11.3,0.99586,bad
2.2,9.4,0.99765,bad
2.4,11,0.99627,bad
1.7,10.55,0.99514,good
2.2,9.9,0.99636,bad
2.4,11,0.99627,bad
6.7,9.5,0.99787,bad
2,9.9,0.99622,bad
2,9.9,0.99622,bad
2,9.9,0.99622,bad
2,10.1,0.99546,bad
2,10.1,0.99546,bad
2,10.1,0.99546,bad
1.9,10.9,0.99489,bad
2.1,11.2,0.99494,bad
2,10.1,0.99546,bad
1.6,9.2,0.99629,bad
1.9,11.5,0.99396,bad
2.2,12.4,0.9934,bad
2.2,11.1,0.99514,bad
2.2,9.5,0.99632,bad
2.4,12.5,0.99467,bad
13.9,10.5,0.99677,bad
2.2,11.8,0.99474,bad
1.6,10.8,0.99588,bad
5.1,11.9,0.99622,bad
1.8,11.3,0.9954,bad
1.7,11.3,0.99402,bad
2.4,11.9,0.9947,bad
1.7,11.3,0.99402,bad
2.6,11.9,0.99362,bad
2.1,9.8,0.99578,bad
2.4,11.6,0.99484,good
2.6,11.5,0.99494,bad
2.4,11.4,0.99492,bad
1.8,10.9,0.99483,bad
2.5,12.8,0.99414,bad
7.8,9.2,0.9977,bad
1.8,11.6,0.99314,bad
1.7,11.6,0.99402,bad
2.3,11,0.99574,bad
1.9,9.5,0.99651,bad
2,10.5,0.9949,bad
2.2,11.2,0.99512,bad
2.3,11,0.99574,bad
2,10.2,0.99547,bad
3.6,11,0.99549,bad
20.7,8.8,1.001,bad
1.6,9.5,0.994,bad
6.9,10.1,0.9951,bad
8.5,9.9,0.9956,bad
8.5,9.9,0.9956,bad
6.9,10.1,0.9951,bad
7,9.6,0.9949,bad
20.7,8.8,1.001,bad
1.6,9.5,0.994,bad
1.5,11,0.9938,bad
1.45,12,0.9908,bad
4.2,9.7,0.9947,bad
1.2,10.8,0.992,bad
1.5,12.4,0.9912,good
19.25,9.7,1.0002,bad
1.5,11.4,0.9914,good
1.1,9.6,0.9928,bad
1.2,12.8,0.9892,good
1.1,11.3,0.9917,bad
7.5,9.5,0.9955,bad
1.2,12.8,0.9892,good
2.9,11,0.9912,good
1.7,10.5,0.993,good
1.5,9.3,0.9937,bad
1.3,10,0.9951,bad
9,10.4,0.9955,bad
1,10,0.993,bad
8.7,10.5,0.9961,bad
1.1,11.6,0.9914,bad
2,12.3,0.9906,good
10.4,10,0.9974,bad
1.1,10.2,0.9934,bad
2.05,10.8,0.992,bad
1.5,9,0.9939,bad
14.95,10.2,0.9962,bad
1.7,12.8,0.9905,bad
5.4,10,0.9934,bad
1.2,11.2,0.9906,bad
17.95,8.6,0.9999,bad
17.95,8.6,0.9999,bad
2.5,9.4,0.9937,bad
2.9,9.4,0.9937,bad
7.4,9.8,0.9954,bad
1.4,9.5,0.9934,bad
1.4,9.5,0.9934,bad
1.4,10,0.9931,good
4.4,9.8,0.994,bad
4.4,9.8,0.9939,bad
7.4,9.8,0.9954,bad
5,9.8,0.995,bad
1.6,11.7,0.9917,bad
1.1,11,0.9914,good
1.1,10.9,0.991,good
1,10.9,0.9911,bad
0.9,9.1,0.993,bad
1.3,11,0.9908,bad
11.9,9.6,0.9962,bad
12.4,8.9,0.9972,bad
4.6,10.2,0.9931,bad
1.2,9.9,0.9926,bad
4.9,8.6,0.9951,bad
12.4,8.9,0.9972,bad
1.1,10.5,0.991,bad
4.6,10.2,0.9931,bad
1.4,10.3,0.9927,bad
1.2,9.1,0.9934,bad
6.4,12.6,0.9903,good
1.2,9.8,0.992,bad
2.1,10.7,0.9926,good
10.1,9.5,0.9962,bad
7.8,9,0.9956,bad
4.6,9.5,0.9958,bad
4.8,10,0.9964,bad
1,9.1,0.9941,bad
2.1,10.7,0.9926,good
10.1,9.5,0.9962,bad
1.4,12.7,0.9898,good
1.3,12,0.9912,good
8.8,9.3,0.9961,bad
5.4,9,0.9949,bad
1.4,10.6,0.9929,bad
16,9.2,0.9985,bad
6.1,10,0.9946,bad
8.2,9.5,0.9966,bad
11.8,8.7,0.9974,bad
11.8,8.7,0.9975,bad
11,8.7,0.9974,bad
13.3,9.7,0.9972,bad
11.8,8.7,0.9974,bad
11.8,8.7,0.9975,bad
11,8.7,0.9974,bad
7.5,9,0.9957,bad
1.7,12.6,0.99,good
1.8,12.6,0.9899,good
1.7,11.5,0.9916,good
12.4,9.2,0.9969,bad
15.9,8.8,0.9979,bad
1.2,11.4,0.9913,good
10.5,10.1,0.9956,bad
15.9,8.8,0.9979,bad
13.5,9.1,0.9975,bad
9.6,9.4,0.9962,bad
12.1,9.4,0.997,bad
18.9,9,1,bad
13.5,9.1,0.9975,bad
14.4,9.2,0.9974,bad
9.6,9.4,0.9962,bad
16.5,9.1,0.999,bad
16.5,9.1,0.999,bad
1.3,10.3,0.9927,bad
8.5,8.8,0.9959,bad
18.75,8.9,1,bad
13.3,9.2,0.9982,bad
9.2,9.1,0.9968,bad
9.2,9.1,0.9968,bad
1.5,9.7,0.994,bad
3.3,11.3,0.9914,bad
1.7,11.8,0.9911,bad
13.3,9.2,0.9982,bad
13.3,9.2,0.9982,bad
5.7,10.2,0.9934,bad
12.2,8.8,0.9984,bad
6.85,9.7,0.9952,bad
5,9.1,0.9952,bad
1.6,9.8,0.9928,bad
1.1,11,0.9912,bad
7,10.5,0.994,bad
7.6,9.7,0.9958,good
2.8,10.9,0.9924,good
2.7,10.9,0.9924,bad
10.4,10.6,0.994,bad
7.6,9.7,0.9958,good
13.1,9,0.9979,bad
15.8,9.2,0.9982,bad
8.1,8.9,0.9961,bad
15.7,9.6,0.9979,bad
1.2,10.7,0.992,bad
10.5,8.7,0.9975,bad
1.9,10.8,0.9917,good
1.9,11.8,0.9923,bad
2.2,10.2,0.9927,bad
10.5,8.7,0.9975,bad
1.2,10.8,0.992,bad
4.3,9.7,0.9947,bad
2,11.2,0.9921,bad
1.1,10.9,0.9905,bad
1.4,10.1,0.9918,bad
5.2,9,0.9951,bad
4.6,12,0.9917,good
4.1,9.4,0.994,bad
8,11.5,0.9934,good
10.2,9.9,0.9968,bad
4.1,9.4,0.994,bad
1.2,10.4,0.9919,bad
7.5,9.7,0.9966,bad
14,8.9,0.9979,bad
14,8.9,0.9979,bad
1.5,12.4,0.9898,good
1.4,12.1,0.9894,good
1.4,12.1,0.9894,good
1.5,12.4,0.9898,good
14.5,9.1,0.998,bad
4.8,10.6,0.9932,bad
14,8.9,0.9979,bad
13.1,9.5,0.997,bad
13,9.8,0.9972,bad
8.7,9.6,0.9974,bad
2.4,12.6,0.9896,good
8.95,9.3,0.9968,bad
9.85,10,0.9958,bad
1.5,12.7,0.9906,bad
1.5,11,0.9917,bad
0.8,11.4,0.9902,bad
4.55,11.5,0.9918,good
17.7,10.2,0.999,bad
7.5,11.4,0.9927,bad
5.1,12.6,0.991,bad
12.9,9.4,0.9972,bad
1.2,8.7,0.9931,bad
5.5,9.2,0.995,bad
5.5,9.3,0.9951,bad
1.2,9.2,0.9936,bad
22,8.7,1.001,bad
14,9.6,0.9979,bad
11.9,9.3,0.997,bad
11.9,9.3,0.9972,bad
9.4,9.9,0.9954,bad
4.2,11,0.9924,bad
3.8,12.7,0.9906,good
8.5,8.9,0.9962,bad
8.5,8.9,0.9962,bad
22,8.7,1.001,bad
8,11.4,0.9928,bad
5.1,9.6,0.9942,bad
3.6,9.1,0.9942,bad
3.5,9.1,0.9942,bad
3.6,9.1,0.9942,bad
7.8,8.9,0.9961,bad
13.1,8.8,0.998,bad
7.8,8.9,0.9961,bad
16.1,9.3,0.9984,bad
13.1,8.8,0.998,bad
13.2,9.6,0.9973,bad
13.9,12,0.9949,bad
2.3,10.2,0.9924,bad
11.6,8.8,0.9972,bad
8.3,9.2,0.9958,bad
6.2,9.9,0.9968,bad
2.2,10.2,0.9938,bad
0.9,9.5,0.993,bad
9.7,10.5,0.994,bad
1.4,11.2,0.9918,good
8.3,9.2,0.9958,bad
5.3,9.7,0.9944,bad
1.4,11.1,0.9912,good
9.2,9.4,0.9961,bad
7,11,0.9939,bad
9.2,9.4,0.9961,bad
17.5,9.4,0.9989,bad
7,11,0.9938,bad
7,11,0.9939,bad
9.5,9.1,0.9971,bad
1.4,11.1,0.9912,good
0.8,9.1,0.9936,bad
1.8,10.4,0.9929,bad
17.8,8.7,0.9998,bad
2.4,9.7,0.9938,bad
