free sulfur dioxide,total sulfur dioxide,pH,sulphates,quality
62,178,3.02,0.45,bad
15,182,3.5,0.52,bad
23,128,3.37,0.47,bad
29,89,3.26,0.44,good
23,122,3.14,0.39,good
35,136,3.15,0.46,bad
41,114,3.37,0.66,good
19,101,2.99,0.59,bad
42,157,3.35,0.47,bad
12,188,3.12,0.62,bad
25,139,3.35,0.56,bad
78,240,3.25,0.47,bad
14,49,3.01,0.33,good
40,183,3.02,0.5,bad
28,191,3.28,0.61,bad
15,129,3.14,0.49,bad
40,183,3.02,0.5,bad
28,191,3.28,0.61,bad
40,142,3.17,0.39,good
15,129,3.14,0.49,bad
5,19,3.31,0.37,bad
21,57,3.44,0.55,bad
26,136,3.28,0.61,bad
38,152,3.33,0.43,bad
24,160,3.17,0.43,bad
34,113,3.26,0.55,bad
31,253,3.22,0.56,bad
56,177,3.04,0.32,bad
44,176,3.3,0.54,bad
51,175,3.04,0.32,bad
56,177,3.04,0.32,bad
78,167,3.15,0.55,bad
83,160,3.16,0.5,bad
31,253,3.22,0.56,bad
14,138,3.09,0.5,bad
32,107,3.25,0.48,good
45,175,3.42,0.43,bad
68,178,3.4,0.85,bad
55,136,3.3,0.96,good
54,134,3.3,0.97,good
44,176,3.3,0.54,bad
42,173,3.3,0.54,bad
55,247,3,0.56,bad
38,128,3.37,0.57,bad
36,168,3.22,0.69,bad
35,135,2.94,0.46,bad
81,238,3.08,0.44,bad
7,46,3.21,0.6,bad
41,113,3.42,0.4,good
41,113,3.42,0.4,good
29,120,3.41,0.46,good
58,140,3.12,0.39,good
61,144,3.12,0.39,good
49,172,3.4,0.45,bad
28,124,3.2,0.46,good
29,104,3.24,0.58,bad
18,98,3.02,0.56,bad
47,197,3.12,0.53,bad
59,178,3.37,0.82,good
43,145,3.28,0.75,good
7,55,3.37,0.38,bad
44,213,3.08,0.61,bad
59,178,3.37,0.82,good
43,145,3.28,0.75,good
47,197,3.12,0.53,bad
31,119,3.27,0.3,bad
31,117,3.27,0.29,bad
31,117,3.27,0.29,bad
26,116,3.46,0.45,good
31,119,3.27,0.3,bad
31,117,3.27,0.29,bad
28,92,3.39,0.69,good
34,144,3.1,0.56,bad
28,92,3.39,0.69,good
38,173,3.03,0.52,bad
37,157,3.09,0.43,bad
42,215,3.02,0.58,bad
47,153,3.28,0.77,bad
30,113,3.42,0.4,bad
14,75,3.34,0.58,good
44,161,3.06,0.41,bad
61,222,3.19,0.47,bad
57,220,3.07,0.53,bad
46,165,3.41,0.44,good
24,112,3.22,0.46,bad
44,161,3.06,0.41,bad
57,205,3.17,0.41,bad
55,204,3.16,0.41,bad
65,246,3.15,0.38,bad
57,206,3.17,0.43,bad
61,222,3.19,0.47,bad
17,120,3.21,0.56,bad
9,160,3.42,0.5,good
44,166,3.38,0.46,bad
44,229,3.03,0.59,bad
24,125,3.01,0.46,bad
7,77,3.16,0.52,bad
27,133,3.2,0.51,bad
24,125,3.01,0.46,bad
27,133,3.2,0.51,bad
24,85,3.41,0.61,good
28,212,2.96,0.58,bad
34,104,3.3,0.43,bad
36,117,3.34,0.43,bad
7,77,3.16,0.52,bad
36,167,3.26,0.56,bad
24,155,3.33,0.59,bad
27,139,3.28,0.48,good
20,90,3.16,0.44,good
21,90,3.16,0.42,good
34,110,3.72,0.69,bad
34,161,3.05,0.62,bad
34,108,3.36,0.53,good
27,82,3.18,0.44,bad
34,110,3.72,0.69,bad
34,108,3.14,0.45,good
30,177,3.25,0.4,good
30,177,3.25,0.4,good
30,177,3.25,0.4,good
12,126,3.16,0.39,good
12,126,3.16,0.39,good
35,169,3.12,0.47,good
35,169,3.12,0.47,good
33,101,3.21,0.54,good
29,118,3.3,0.5,good
29,118,3.3,0.5,good
62,153,3.02,0.4,bad
17,73,3.08,0.39,bad
35,169,3.12,0.47,good
30,105,3.31,0.47,bad
33,101,3.21,0.54,good
58,166,3.1,0.54,bad
40,117,3.27,0.95,good
41,151,3.06,0.49,bad
40,117,3.27,0.95,good
30,116,3.49,0.77,good
58,166,3.1,0.54,bad
59,169,3.1,0.52,bad
60,149,3.17,0.54,good
60,166,3.18,0.47,bad
38,103,3.22,0.63,good
57,182,3.29,0.75,good
33,163,3.36,0.61,bad
24,111,3.24,0.5,bad
34,163,3.35,0.61,bad
26,117,3.12,0.3,bad
40,117,3.27,0.95,good
41,143,3.24,0.76,good
49,173,3.28,0.82,good
37,97,3.19,0.7,bad
11,159,3.04,0.48,bad
41,151,3.06,0.49,bad
24,125,3.06,0.34,bad
5,33,2.89,0.28,bad
10,64,3.35,0.39,bad
28,141,3.2,0.57,good
57,119,3.28,0.36,good
33,104,3.19,0.38,bad
37,110,3.23,0.37,bad
18,111,3.41,0.82,good
28,141,3.2,0.57,good
9,121,3.19,0.48,bad
22,125,3.13,0.55,bad
22,125,3.13,0.55,bad
38,236,3.35,0.52,bad
20,105,3.4,0.67,good
39,173,3.19,0.51,bad
34,90,3.37,0.68,good
39,173,3.19,0.51,bad
34,90,3.37,0.68,good
43,166,3.3,0.63,bad
40,114,3.42,0.4,good
38,114,3.58,0.48,bad
33,128,3.12,0.36,good
40,114,3.42,0.4,good
17,67,3.23,0.53,bad
52,242,3.22,0.53,bad
12,87,3.08,0.46,bad
13,67,3.05,0.49,bad
52,242,3.22,0.53,bad
30,145,3.32,0.56,good
26,113,3.25,0.37,bad
63,229,3.08,0.4,bad
60,206,3.2,0.39,bad
49,159,3.02,0.47,good
9,101,3.06,0.65,bad
8,72,3.08,0.61,bad
30,124,3.28,0.43,good
23,159,3.32,0.47,bad
46,217,3.08,0.53,bad
24,144,3.15,0.63,bad
22,143,3.15,0.63,bad
22,145,3.15,0.63,bad
11,30,3.36,0.35,bad
11.5,88,3.24,0.37,bad
11,30,3.36,0.35,bad
36,137,3.36,0.56,good
23,124,2.93,0.33,bad
27,107,3.06,0.39,bad
20,107,2.94,0.32,good
59,144,3.55,0.44,good
56,153,3.13,0.44,bad
56,153,3.13,0.44,bad
69,215,3.17,0.43,bad
50,152,3.45,0.49,good
13,100,3.28,0.43,bad
26,80,3.36,0.38,bad
52,173,3.02,0.48,good
47,179,3.58,0.47,bad
42,115,3.15,0.51,bad
21,84,3.14,0.4,good
64,230,3.08,0.38,bad
80,225,3.18,0.41,bad
58,205,3.26,0.41,bad
64,233,3.08,0.38,bad
61,230,3.12,0.4,bad
10,67,3.08,0.41,bad
42,115,3.15,0.51,bad
56,244,3.36,0.55,bad
39,194,3.06,0.47,good
40,197,3.14,0.6,bad
61,212,3.25,0.53,bad
27,88,3.54,0.41,good
31,135,3.14,0.38,good
16,131,3.28,0.44,good
28,105,3.52,0.44,good
55,205,2.96,0.43,bad
24,147,2.96,0.36,bad
10,57,3.36,0.52,bad
8,84,3.18,0.46,bad
15,134,3.08,0.38,bad
26,143,3.08,0.49,bad
14,99,3.23,0.55,bad
39,117,2.99,0.36,bad
26,143,3.08,0.49,bad
15,134,3.08,0.38,bad
13,133,3.07,0.38,bad
25,79,3.39,0.54,good
25,78,3.39,0.54,good
38,174,3.03,0.42,bad
38,174,3.03,0.42,bad
34,101,3.13,0.57,good
38,174,3.03,0.42,bad
23,112,3.37,0.51,bad
36,152,3.28,0.43,bad
14,101,3.15,0.36,bad
43,188,3.13,0.37,bad
38,153,3.24,0.42,bad
23,93,3.34,0.7,good
18,68,3.33,0.51,good
25,102,3.38,0.36,good
24,110,3.32,0.47,good
38,153,3.24,0.42,bad
23,93,3.34,0.7,good
14,114,3.32,0.9,bad
22,111,3.12,0.49,bad
47,131,3.51,0.45,bad
53,189,3.25,0.49,bad
32,155,3.39,0.62,good
10,54,3.12,0.47,bad
9,55,3.12,0.46,bad
32,155,3.39,0.62,good
15,72,3.5,0.45,bad
21,77,3.41,0.45,bad
63,149,3.44,0.52,bad
29,122,3.42,0.52,bad
44,161,3.12,0.48,bad
45,163,3.12,0.45,bad
63,149,3.44,0.52,bad
8,117,3.06,0.38,good
41,143,2.95,0.39,bad
7,69,3.14,0.62,bad
75,217,3.19,0.39,bad
9,62,3.38,0.47,bad
24,187,3.25,0.55,bad
27,154,3.05,0.45,bad
6,29,3.29,0.63,bad
33,152,3.31,0.47,bad
43,184,3.05,0.5,bad
47,165,3.05,0.54,good
16,84,3.15,0.45,good
61,216,3.09,0.46,bad
60,221,3.09,0.45,bad
18,136,3.31,0.48,good
40,153,3.34,0.55,bad
18,91,3.42,0.64,bad
40,153,3.34,0.55,bad
30,79,3.32,0.43,bad
45,199,3.37,0.55,good
32,146,3.08,0.39,bad
25,109,3.11,0.75,bad
60,173,3.24,0.66,good
31,98,3.15,0.41,bad
62,210,3.19,0.5,bad
63,162,3.66,0.43,bad
19,113,3.03,0.29,bad
44,136,2.98,0.88,bad
25,109,3.11,0.75,bad
47,157,2.95,0.31,bad
56,189,3.21,0.62,bad
35,125,3.11,0.49,good
35,125,3.11,0.49,good
54,188,3.25,0.37,good
48,174,3.13,0.38,bad
23,185,3.51,0.7,bad
38,123,3.38,0.51,bad
47,140,3.32,0.51,bad
13,60,3.09,0.3,bad
51,128,3.41,0.59,good
50,245,3.19,0.57,bad
24,166,3.48,0.62,bad
45,232,3.35,0.62,bad
44.5,234,3.49,0.64,bad
44.5,234,3.49,0.64,bad
33,227,2.87,0.74,bad
39,148,3.16,0.67,bad
18,75,3.54,0.88,bad
11,77,3.21,0.56,bad
33,104,3.37,0.52,good
13,102,3.05,0.74,bad
17,138,3.22,0.71,bad
19,75,3.01,0.56,bad
18,104,3.24,0.45,bad
55,243,2.95,0.4,bad
23,94,3.16,0.48,good
24,92,3.14,0.45,bad
23,107,3.29,0.45,bad
5,61,3.07,0.43,bad
15,75,3.03,0.43,bad
36,116,3.31,0.62,bad
29,152,3.1,0.54,bad
52,123,3.03,0.39,bad
18,86,2.99,0.39,bad
17,119,3.12,0.69,bad
5,61,3.07,0.43,bad
29,111,2.96,0.44,bad
26,111,3.51,0.47,bad
35,197,3.41,0.47,bad
26,111,3.51,0.47,bad
48,166,3.3,0.54,bad
30,121,3.09,0.72,good
45,185,3.34,0.55,bad
35.5,216,3.31,0.68,bad
36,202,3.3,0.67,bad
48,159,3.37,0.7,bad
32,126,3.22,0.5,bad
62,172,3.08,0.45,bad
33,125,3.1,0.49,good
9,87,2.96,0.4,good
38,147,3.35,0.56,bad
32,166,3,0.55,good
32,126,3.22,0.5,bad
28,118,2.96,0.4,good
25,192,2.97,0.47,bad
27,186,3.17,0.5,bad
28,124,3.22,0.54,good
42,180,3.37,0.59,bad
43,132,3.18,0.65,bad
56,197,3.49,0.42,bad
29,227,3.29,0.53,bad
31,118,3.43,0.39,good
52,155,3.28,0.38,bad
52,155,3.28,0.38,bad
43,190,3.03,0.42,bad
29,142,3.36,0.33,good
58,160,3.06,0.45,bad
21,128,3.55,0.49,good
39,123,3.17,0.42,good
43,190,3.03,0.42,bad
17,127,3.19,0.39,good
62,213,3.01,0.51,bad
35,178,3.05,0.47,bad
24,156,3.42,0.43,bad
29,132,3.1,0.32,good
52,183,3.09,0.32,bad
25,97,3.59,0.38,good
44,139,3.32,0.37,bad
29,142,3.36,0.33,good
32,120,3.31,0.34,bad
12,120,3.39,0.79,good
52,155,3.28,0.38,bad
45,107,3.27,0.43,bad
59,148,3.44,0.53,bad
6,117,3.12,0.42,bad
58,160,3.06,0.45,bad
25,191,3.51,0.49,good
21,128,3.55,0.49,good
27,87,3.3,0.59,good
13,76,3.21,0.51,good
18,151,3.04,0.46,bad
27,87,3.3,0.59,good
15,96,3.06,0.61,bad
55,177,3.52,0.44,bad
22,102,3.28,0.44,bad
5,26,3.26,0.32,bad
33,96,3.13,0.39,good
11,64,3.29,0.52,bad
33,216,3.31,0.64,bad
11,64,3.29,0.52,bad
26,138,3.28,0.33,bad
34,106,3.54,0.45,bad
30,117,3.17,0.48,bad
40,89,3.35,0.4,good
11,124,2.93,0.46,bad
19,135,2.96,0.49,bad
33,182,3.2,0.46,bad
73,166,3.12,0.25,good
24,99,3.23,0.32,good
21,100,3.27,0.46,bad
33,117,3.06,0.32,good
36,159,3.19,0.43,bad
24,128,3.2,0.52,bad
28,162,3.17,0.54,bad
27,114,2.99,0.43,bad
19,127,3.25,0.42,bad
30,161,3.44,0.47,bad
70,178,3.4,0.4,good
70,170,3.42,0.4,good
39,133,3.14,0.58,bad
26,91,2.99,0.34,bad
17,57,3.14,0.46,bad
30,146,3.17,0.61,bad
39,133,3.14,0.58,bad
27,131,3.25,0.45,bad
27,132,3.26,0.44,bad
71,223,3.14,0.41,bad
15,151,3.03,0.41,bad
12,188,3.17,0.49,bad
29,111,3.2,0.49,bad
61,220,3.14,0.35,bad
69,219,3.13,0.4,bad
71,223,3.14,0.41,bad
24,79,3.31,0.38,bad
26,102,3.5,0.35,bad
37,171,3.47,0.44,bad
26,172,3.42,0.48,bad
23,135,3.16,0.38,bad
23,135,3.16,0.38,bad
73.5,189.5,3.27,0.38,bad
23,135,3.16,0.38,bad
50,153,3.29,0.8,bad
23,135,3.16,0.38,bad
29,151,3.15,0.6,good
73.5,189.5,3.27,0.38,bad
15,73,3.07,0.38,bad
34,129,3.52,0.41,bad
13,82,3.23,0.32,bad
22,113,3.22,0.62,bad
21,74,3.21,0.37,bad
50,153,3.29,0.8,bad
20,115,3.38,0.5,bad
15,118,3.14,0.34,bad
10,119,3.01,0.7,bad
31,101,3.42,0.55,bad
49,214,3.41,0.5,bad
57,173,3,0.44,bad
29,198,3.36,0.5,good
19,189,3.46,0.54,bad
35,167,2.97,0.39,bad
31,109,3.23,0.36,bad
15,118,3.14,0.34,bad
20,125,3.12,0.36,bad
31,101,3.42,0.55,bad
33,134,3.21,0.47,bad
40,138,3.18,0.44,good
65,225,3.12,0.51,bad
22,184,3.09,0.43,bad
40,104,3.25,0.4,good
45,143,3.13,0.33,bad
5,55,3.1,0.45,bad
10,119,3.01,0.7,bad
36,135,3.16,0.72,good
29,107,2.96,0.42,bad
44.5,129.5,3.36,0.41,good
36,216,3.33,0.6,bad
53,141,3.03,0.46,bad
36,135,3.16,0.72,good
44.5,129.5,3.36,0.41,good
29,107,2.96,0.42,bad
14,93,3,0.48,good
37,93,3.3,0.45,bad
26,75,3.3,0.46,good
35,192,3.1,0.37,bad
10,97,3.48,0.44,bad
10,97,3.48,0.44,bad
11,200,3.19,0.46,bad
61,171,2.94,0.35,bad
35,192,3.1,0.37,bad
48,134,3.42,0.49,bad
30,125,3.23,0.47,bad
14,59,2.96,0.25,bad
28,188,3.29,0.3,bad
32,155,3.23,0.52,bad
10,97,3.48,0.44,bad
11,59,2.74,0.47,bad
41,169,3.17,0.43,bad
17,93,3.04,0.32,good
24,220,2.94,0.48,bad
25,126,3.02,0.34,good
17,93,3.04,0.32,good
15.5,217.5,3.33,0.44,bad
50,127,3.51,0.58,good
21,115,3.16,0.67,bad
41,169,3.17,0.43,bad
29,102,3.26,0.54,good
19,87,3.14,0.53,bad
29,102,3.26,0.54,good
20,110,3.1,0.42,bad
25,109,3.23,0.28,bad
18,96,3.2,0.32,bad
46,238,3.06,0.41,bad
40,114,3.17,0.54,good
27,93,3.16,0.54,good
29,131,3.38,0.44,bad
47,155,3.42,0.5,bad
46,195,3.03,0.48,bad
19,87,3.14,0.53,bad
35,116,3.17,0.51,bad
35,128,3.07,0.43,good
28,164,3.19,0.59,bad
44,178,3.45,0.43,bad
33,187,3.4,0.41,good
36,141,2.98,0.39,good
35,128,3.07,0.43,good
23,131,3.29,0.32,bad
62,233,2.92,0.68,bad
41,167,3.18,0.4,good
25,80,3.25,0.4,bad
20,73,3.32,0.4,good
46,195,3.15,0.51,bad
48,160,3.82,0.51,good
28,150,3.13,0.42,bad
24,152,3.12,0.42,bad
52,165,3.29,0.39,good
58,150,3.08,0.3,bad
29,104,3.81,0.57,bad
28,157,3.33,0.62,bad
88,223,3.28,0.35,bad
65,212,3.08,0.39,bad
64,245,3.06,0.36,bad
63,236,3.06,0.34,bad
31,156,3.32,0.64,bad
28,157,3.33,0.62,bad
77.5,223,2.92,0.46,bad
15,73,3.46,0.39,bad
36,174,3.46,0.62,good
36,116,2.99,0.41,good
45,163,3.21,0.69,good
21,145,3.04,0.35,bad
55,190,3.07,0.58,bad
45,163,3.21,0.69,good
23,126,3.21,0.42,bad
32,162,3.2,0.48,bad
23,126,3.21,0.42,bad
55,190,3.07,0.58,bad
20,132,3.22,0.46,bad
45,163,3.21,0.69,good
21,145,3.04,0.35,bad
10,133,3.33,0.37,bad
14,153,3.29,0.62,bad
29,140,3.02,0.78,bad
26,168,2.99,0.48,good
51,147,3.02,0.43,bad
50,151,3.07,0.25,good
26,168,2.99,0.48,good
29,140,3.02,0.78,bad
40,147,3.06,0.44,good
35,110,3.02,0.6,good
29,109,3.15,0.51,good
15,78,3.38,0.44,bad
16,98,3.14,0.42,bad
54,191,3.04,0.56,bad
14,79,3.5,0.54,bad
10,102,3,0.87,bad
10,102,3,0.86,bad
54,191,3.04,0.56,bad
30,131,3.32,0.44,bad
29,122,3.19,0.37,good
45,163,3.3,0.47,bad
45,166,2.96,0.4,bad
52,159,2.93,0.35,bad
51,176,3.22,0.27,bad
39,212,3.3,0.33,bad
60,163,3.05,0.3,bad
61,228,2.95,0.75,bad
17,114,3.33,0.49,good
34,105,3.13,0.49,good
23,142,2.98,0.62,bad
22,130,3.02,0.45,bad
14,94,3.02,0.61,bad
37,142,3.46,0.39,bad
37,116,3.23,0.5,bad
16,160,2.94,0.43,bad
14,186,3.08,0.48,bad
46,169,3.15,0.46,bad
63,162,3.1,0.46,bad
40,190,3.04,0.39,bad
21,177,3.32,0.62,bad
25,96,3.54,0.51,bad
59,234,3.03,0.42,bad
6,114,3.04,0.74,bad
17,114,3.23,0.43,bad
28,152,3.54,0.56,bad
40,161,3.44,0.66,bad
21,182,3.25,0.62,bad
28,114,3.2,0.52,good
33,168,3.12,0.36,bad
44,167,3.12,0.44,bad
13,81,3.37,0.38,bad
20,104,2.85,0.46,bad
24,108,2.85,0.45,bad
24,110,3.4,0.4,bad
69,210,3.15,0.51,good
62,180,3.09,0.75,good
26,107,3.21,0.34,bad
60,189,3.65,0.72,bad
38,161,3.26,0.37,good
40,251,3.29,0.52,bad
40,251,3.29,0.52,bad
37,116,2.99,0.39,bad
50,121,3.27,0.33,bad
13,151,3.04,0.33,bad
37,116,2.99,0.39,bad
52,181,3.51,0.47,bad
51,165,3.26,0.4,good
36,113,3.39,0.48,good
46,163,3.21,0.35,good
35,162,3.15,0.34,good
38,161,3.26,0.37,good
15,61,2.96,0.28,bad
22,122,3.29,0.67,good
40,130,3.28,0.39,good
60,189,3.65,0.72,bad
40,251,3.29,0.52,bad
43,179,3.43,0.41,bad
38,143,2.92,0.42,bad
55,191,3.32,0.59,bad
43,167,3.15,0.44,bad
35,103,3.28,0.46,good
31,132,3.36,0.54,good
56,158,3.52,0.37,bad
56,189.5,3.59,0.43,good
42,115,3.19,0.48,good
15,96,3.22,0.38,bad
38,143,2.92,0.42,bad
35,140,3.33,0.33,good
22,95,3.25,0.43,bad
19,115,3.15,0.45,bad
55,191,3.32,0.59,bad
42,185,2.9,0.49,bad
23,116,3.25,0.4,bad
41,162,3.1,0.38,good
37,181,2.87,0.68,bad
37,181,2.87,0.68,bad
24,121,3.14,0.38,good
30,130,3.28,0.41,good
6,134,3.15,0.69,bad
10,136,3.16,0.71,bad
46,132,3.35,0.38,good
5,126,3.1,0.42,bad
36,152,3.38,0.35,good
24,98,3.54,0.61,good
28,92,3.12,0.35,bad
25,102,3.24,0.33,bad
5,133,3.23,0.7,bad
26,138,3.77,0.64,bad
17,116,3.42,0.9,good
15,85,3.28,0.51,bad
12,143,3.2,0.48,good
73,180,3.06,0.34,bad
33,123,3.49,0.42,bad
23,81,3.26,0.42,bad
15,85,3.28,0.51,bad
19,101,3.31,0.42,bad
17,116,3.42,0.9,good
27,98,3.09,0.46,good
12,143,3.2,0.48,good
35,200,3.04,0.46,good
35,200,3.04,0.46,good
32,83,3.19,0.46,bad
35,200,3.04,0.46,good
57,222,3.17,0.52,bad
31,122,3.3,0.5,good
29,128,3.34,0.64,good
11,73,2.9,0.38,bad
9,117,3.15,0.35,bad
12,90,3.01,0.38,good
16,78,2.91,0.78,bad
35,200,3.04,0.46,good
29,118,3.14,0.41,bad
39,97,3.31,0.4,bad
32,83,3.19,0.46,bad
26,155,3.25,0.79,good
22,124,3.14,0.41,bad
55,130,3.29,0.38,bad
22,63,3.36,0.36,bad
16,128,3.36,0.6,bad
35.5,366.5,3.04,0.63,bad
18,132,3.13,0.55,bad
27,103,3.07,0.4,good
29,137,3.1,0.34,bad
17,90,3.27,0.37,bad
25,105,3.32,0.47,bad
36,225,3.06,0.43,bad
22,124,3.14,0.41,bad
26,128,3.25,0.35,bad
34,140,3.05,0.34,bad
35,156,3.13,0.55,bad
28,81,3,0.68,good
18,87,3.3,0.46,bad
8,119,3,0.31,bad
18,87,3.3,0.46,bad
16,94,3.1,0.49,good
32,99,3.07,0.33,bad
35,156,3.13,0.55,bad
19,94,3.17,0.5,bad
51,243,2.99,0.7,bad
28,81,3,0.68,good
67,210,3.23,0.34,bad
67,226,3.16,0.47,bad
56,162,3.03,0.44,bad
17,117,3.16,0.35,bad
27,117,3.08,0.34,bad
34,125,3.24,0.4,bad
37,158,3.14,0.35,bad
33,130,3.25,0.42,bad
35,92,3.38,0.42,bad
18,150,3.23,0.47,bad
18,150,3.23,0.47,bad
49,172,3.2,0.27,bad
37,158,3.14,0.35,bad
11,138,3.01,0.42,bad
37,158,3.14,0.35,bad
37,156,3.14,0.38,good
50,231,2.99,0.54,bad
44,150,3,0.81,bad
35,92,3.38,0.42,bad
33,130,3.25,0.42,bad
42,144,3.31,0.41,bad
27,133,3.24,0.42,bad
29,128,3.28,0.4,bad
54,164,3.56,0.44,bad
18,150,3.23,0.47,bad
11,137,3.06,0.46,bad
46,151,3.16,0.27,good
19,163,3.46,0.53,bad
49,172,3.2,0.27,bad
30,96,3.13,0.39,good
15,60,3.19,0.39,bad
11,138,3.01,0.42,bad
37,156,3.14,0.38,good
37,158,3.14,0.35,bad
6,48,3.15,0.28,bad
39,128,3.21,0.48,bad
13,85,2.99,0.48,bad
18,148,3.46,0.44,bad
40,184,3.22,0.36,bad
10,104,3.05,0.29,bad
39,159,2.99,0.28,bad
20,124,3.32,0.49,bad
18,148,3.46,0.44,bad
26,124,3.37,0.6,bad
57,187,3.62,0.81,bad
13,85,2.99,0.48,bad
8,134,3.14,0.5,bad
20,126,2.98,0.39,bad
17,51,3.3,0.7,bad
44,169,3.51,0.45,bad
68,224,3.18,0.54,bad
52,187,2.99,0.41,bad
28,117,3.55,0.45,bad
8,97,3.06,0.62,bad
47,188,3.14,0.48,bad
39,180,3.13,0.38,good
42,186,3.14,0.38,good
45,197,3.13,0.38,good
6,62,3.41,0.32,bad
35,126,3.13,0.48,good
23,86,3.16,0.42,bad
14,155,3.22,0.6,bad
26,132,2.99,0.32,good
34,169,3.05,0.37,bad
17,121,3.13,0.36,bad
24,124,3.27,0.34,good
24,126,3.26,0.38,good
39,130,3.04,0.49,good
51,205,3.1,0.52,bad
59,160,3.22,0.64,bad
50,170,3.55,0.44,bad
15,144,3.16,0.47,bad
10,145,3.23,0.48,bad
15,126,3.02,0.51,bad
29,134,2.99,0.32,good
48,161,3.01,0.28,bad
26,132,2.99,0.32,good
34,136,3.14,0.77,bad
53,154,3.02,0.33,bad
52,163,3.02,0.33,bad
22,95,3.04,0.34,bad
34,169,3.05,0.37,bad
38,167,3.05,0.37,bad
17,121,3.13,0.36,bad
15,164,3.25,0.63,bad
31,185,3.34,0.49,bad
41,158,3.28,0.39,bad
47,156,3.04,0.44,bad
33,156,3.15,0.54,bad
48,195,3.04,0.55,bad
33,156,3.15,0.54,bad
41,158,3.28,0.39,bad
47,156,3.04,0.44,bad
26,174,3.1,0.3,good
61,209,3.14,0.3,good
32,107,3.24,0.54,bad
44,176,3.38,0.67,bad
17,122,3.03,0.4,bad
6,24,2.91,0.32,bad
32,148,3.13,0.41,bad
26,106,3.21,0.42,bad
32,107,3.24,0.54,bad
44,176,3.38,0.67,bad
29,86,3.16,0.32,bad
27,104,3.23,0.57,bad
28,99,3.2,0.72,bad
6,24,2.91,0.32,bad
33,152,3.18,0.47,bad
35,156,3.13,0.45,bad
36,158,3.12,0.45,bad
32,102,3.34,0.59,bad
17,122,3.03,0.4,bad
36,157,3.18,0.48,bad
45,129,3.09,0.31,bad
44,152,3.32,0.44,good
25,156,3.43,0.63,good
32,164,3.29,0.6,good
35,148,3.45,0.57,good
45,182,3.08,0.58,bad
36,157,3.18,0.48,bad
12,115,3.27,0.57,bad
14,56,2.96,0.33,bad
33,156,3.29,0.52,bad
10,112,3.15,0.46,bad
26,126,3.3,0.33,good
33,156,3.29,0.52,bad
10,112,3.15,0.46,bad
29,117,3.14,0.51,bad
36,158,3.06,0.41,bad
19,110,3.33,0.44,bad
49,188,3.52,0.58,bad
35,157,3.21,0.46,bad
36,159,3.21,0.45,bad
49,188,3.52,0.58,bad
50,168,3.54,0.5,bad
21,116,3.16,0.35,bad
23,108,2.88,0.34,bad
61,182,3.63,0.76,bad
20,74,3.32,0.44,bad
17,128,3.31,0.58,bad
54,168,3.58,0.68,bad
50,191,3.22,0.53,bad
13,119,3.18,0.45,bad
32,84,2.94,0.32,bad
46,108,3.03,0.33,good
54,168,3.58,0.68,bad
52,209,3.21,0.42,bad
46,165,3.02,0.4,bad
34,147,3.11,0.46,bad
52,209,3.21,0.42,bad
46,165,3.02,0.4,bad
27,122,3.35,0.48,bad
30,165,3.08,0.82,bad
49,161,3.34,0.44,bad
25,111,3.13,0.41,bad
9,63,3.13,0.59,bad
37,136,2.95,0.4,bad
53,206,3.24,0.43,bad
56,122,3.15,0.3,bad
53,206,3.24,0.43,bad
24,108,3.27,0.39,bad
20,94,3.11,0.5,bad
37,136,2.95,0.4,bad
55,223,3.08,0.52,bad
27,77,3.28,0.36,bad
10,53,3.32,0.5,good
39,137,3.24,0.35,bad
31,113,3.37,0.42,good
44,109,3.07,0.46,bad
44,118,3.34,0.38,good
59,235,2.98,0.47,bad
46,212,3.09,0.46,good
44,109,3.07,0.46,bad
19,100,3.12,0.34,bad
28,87,3.03,0.32,good
42,120,3.26,0.4,good
40,131,3.14,0.34,bad
42,140,3.4,0.47,bad
61,206,3.09,0.4,bad
17,143,3.22,0.52,bad
53,243,3.14,0.48,bad
31,128,3.41,0.36,good
28,87,3.03,0.32,good
17,131,3.13,0.34,bad
16,169,3.11,0.37,bad
22,118,3.36,0.36,bad
46,131,3.09,0.51,good
37,161,3.38,0.53,bad
52,195,3.31,0.44,bad
17,131,3.13,0.34,bad
14,108,3.19,0.35,bad
21,98,2.94,0.31,bad
6,121,3.23,0.7,bad
14,108,3.19,0.35,bad
28,111,3.41,0.58,good
15,110,3.2,0.38,good
50,228,3.03,0.52,bad
21,126,3.26,0.45,bad
29,149,3.21,0.33,bad
43,160,3.13,0.48,bad
42,220,2.96,0.51,bad
26,105,3.1,0.39,bad
29,149,3.21,0.33,bad
42,151,3.27,0.52,bad
50,134,3.42,0.36,good
50,144,3.09,0.57,good
50,134,3.42,0.36,good
50,149,3.17,0.59,good
42,151,3.27,0.52,bad
20,99,3.05,0.28,good
31,100,3.4,0.59,bad
39,166,3.65,0.52,bad
27,131,3.08,0.67,good
48,209,3.12,0.58,bad
29,118,3.24,0.36,bad
35,176,3.15,0.38,bad
19,184,3.11,0.38,bad
27,142,3.09,0.59,bad
21,98,3.19,0.48,bad
34,162,3.26,0.58,bad
52,220,3.12,0.45,bad
53,217,3.16,0.4,bad
62,217,3.17,0.45,bad
54,191,3.23,0.4,bad
30,114,2.92,0.42,good
35,176,3.15,0.38,bad
32,177,3.27,0.58,bad
48,114,3.41,0.51,good
